image_use,symbol_id,asset_id,x,y,width,height,center_x,center_y,region,review_status,transcript_file
IU-001,image-d302aa90bf5bae8fca5350ad517cff9157c6f2cf,A-067,1137.2135165682516,1340.3322310942112,713.0,515.0,1493.7135165682516,1597.8322310942112,R01,verified,regions/R01-contract-fields-validation.md
IU-002,image-6f4e2c074e55e1537d7d12d78abdbac1f7b4ce90,A-066,858.9913079093953,500.05785381249916,1247.0,181.0,1482.4913079093953,590.5578538124992,R01,verified,regions/R01-contract-fields-validation.md
IU-003,image-1213966d51228e5cfeb45051775ddc494e0f559f,A-065,854.9263478621874,950.4979333426108,1328.0,369.0,1518.9263478621874,1134.9979333426108,R01,verified,regions/R01-contract-fields-validation.md
IU-004,image-d7fac1f4f569e35352d9a4e700ca3699862cf19b,A-064,1063.4358066073141,1925.7028385005488,843.0,270.0,1484.9358066073141,2060.7028385005488,R01,verified,regions/R01-contract-fields-validation.md
IU-005,image-c19905cc165188ee6373de8f60584a4bedd8fdcd,A-063,4595.388589836858,523.6477389472075,741.0,482.0,4965.888589836858,764.6477389472075,R01,verified,regions/R01-contract-fields-validation.md
IU-006,image-4d23828b7e98ff10c5c34f04eef02a4588c36895,A-062,4513.2516716877335,1118.2642724990965,854.0,248.0,4940.2516716877335,1242.2642724990965,R01,verified,regions/R01-contract-fields-validation.md
IU-007,image-d1e967bd16b7c1b30ac3a073d6e48a417ca96550,A-061,4472.734523079137,1441.1080224990965,1068.0,482.0,5006.734523079137,1682.1080224990965,R01,verified,regions/R01-contract-fields-validation.md
IU-008,image-a0e5b8cda36b7f6a16abea80dcf2ceb7ccfa7a85,A-060,4549.089223601152,2103.351285980005,464.0,102.0,4781.089223601152,2154.351285980005,R01,verified,regions/R01-contract-fields-validation.md
IU-009,image-bb9c7ebd2a1241fb7070067e9ce80cdf4d00069c,A-059,4380.3989227949905,2328.631518908338,1099.0,348.0,4929.8989227949905,2502.631518908338,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-010,image-cb53eff6a0ddf463e24884bc500a0c585b4353cb,A-058,4284.861490913767,2720.8603217937634,1267.0,400.0,4918.361490913767,2920.8603217937634,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-011,image-364e55a59e7d7d0c04966a612da6e00151c887cb,A-057,4347.21583596422,3158.126358508782,975.0,385.0,4834.71583596422,3350.626358508782,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-012,image-d8e43e70402eff46029ec4ecae86fb44eef91f8b,A-056,4502.883549746244,3674.9948360209983,381.0,81.0,4693.383549746244,3715.4948360209983,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-013,image-23bef1f228c4c1894f56f0207ea349f08c84cb3d,A-055,4494.040102077608,2237.2690217188756,341.0,75.0,4664.540102077608,2274.7690217188756,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-014,image-4f8777d514e055f927f75622ff60806da751d6f6,A-054,4612.765746655232,4699.2372375197465,385.0,84.0,4805.265746655232,4741.2372375197465,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-015,image-ff14aad8b7e9e90a181d57efa96a2a3f7239d3b0,A-053,4437.4076908058205,4847.688171872747,795.0,176.0,4834.9076908058205,4935.688171872747,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-016,image-5a2d1a319d8f421f998aa3d94006fabe4b211036,A-052,4310.865178932569,5353.141717963839,1022.0,282.0,4821.865178932569,5494.141717963839,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-017,image-ad91d2fccdd36c97be3aac55dd093a0e7bc39b0a,A-051,4332.282993799383,5653.859239197913,761.0,373.0,4712.782993799383,5840.359239197913,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-018,image-32e2e77addcb2d2efb72d28a20bb3641a8c8c97c,A-050,4344.7529411320465,6596.9943302332995,727.0,335.0,4708.2529411320465,6764.4943302332995,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-019,image-769bcdd077f6b86ae600eed2cd3ae07fc5a62cb2,A-049,4290.355103470792,6482.858994132412,703.0,89.0,4641.855103470792,6527.358994132412,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-020,image-7eb80af561ca95559fe7168ef3bec7a0e52d647b,A-048,3561.062406435516,521.9380996180898,840.0,342.0,3981.062406435516,692.9380996180898,R01,verified,regions/R01-contract-fields-validation.md
IU-021,image-3a525fa7336e624affa8bfe9e50abb536abf3eae,A-047,3526.200622990187,892.2716712801102,909.0,242.0,3980.700622990187,1013.2716712801102,R01,verified,regions/R01-contract-fields-validation.md
IU-022,image-957c78830407b49482742740da03a2dc5d3cfc76,A-046,3511.941535563489,1224.5312999153848,889.0,482.0,3956.441535563489,1465.5312999153848,R01,verified,regions/R01-contract-fields-validation.md
IU-023,image-18fc5d0cf044193dcf053e51cfd64b833cf32997,A-045,3320.2321733256194,2040.2509049180717,756.0,458.0,3698.2321733256194,2269.2509049180717,R01,verified,regions/R01-contract-fields-validation.md
IU-024,image-f8538f40a28a6b3ffb9791fbfa3208ccfe455099,A-044,3241.8355823276115,2507.914760440819,847.0,386.0,3665.3355823276115,2700.914760440819,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-025,image-aed1e7655a372b356ac5fd04beee8fcee8567a87,A-043,4284.810001852011,3787.0115102579275,949.0,351.0,4759.310001852011,3962.5115102579275,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-026,image-94542a482975446a6c768283a061b39291203035,A-042,4225.631574332989,4160.752524707341,965.0,329.0,4708.131574332989,4325.252524707341,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-027,image-4e69b06b5470aa4cde6bab003fe50252c704eddb,A-041,4342.6458429810655,6085.658704638534,628.0,369.0,4656.6458429810655,6270.158704638534,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-028,image-955526008e3100535ba879fc9b2e2dda2307a3c9,A-040,3218.045455858135,2945.4891209001016,775.0,499.0,3605.545455858135,3194.9891209001016,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-029,image-5c91cab0a0fe56e5e926580f53111e45a56b9c95,A-039,3228.9371808846245,3507.963721631144,753.0,365.0,3605.4371808846245,3690.463721631144,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-030,image-bd869a396e480c9a07219eeb5cc273ce7f46b5d4,A-038,3246.1602168732943,3900.765082768403,633.0,376.0,3562.6602168732943,4088.765082768403,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-031,image-a71d70a4a561e28c3b696d6f9416e11af2b63c65,A-037,3182.7616152860264,4305.5568002977,835.0,219.0,3600.2616152860264,4415.0568002977,R02,verified,regions/R02-shaping-extensions-controller-flow.md
