source_id,image_use_id,symbol_id,sha256,sha1,x,y,width,height,pixel_width,pixel_height,region_id,previously_present,restored,coverage_status,assignment_count,visual_reviewed,candidate_region_hint_only,asset_path,evidence
S-001,IU-001,image-d3b00109983aa10d0dfa4d3bd8bd902722fd3f89,7c6948fa6abea713f3cd3ef8919ae5d5e10c164fe54d8d244c8d5ad8f46b933e,9f5c8b468691d22ea84ec8c2fd0eec6bf13ebbe2,5217.857580826222,259.0001220703198,837.0,442.0,837,442,R02,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-001.png,"Visually reviewed screenshot assigned to R02: Save suppression, alternate results, and side-channel outcome reporting"
S-002,IU-002,image-9d6abf56599afaed23a40421a0ca073ebf0e2766,143bf7a03d4fedf874c246550447be10424a8bd8586ec6d6c73e6cf6d1c8d2e8,bd897b7be8128371b0adf05b47a90abfff522a9e,10263.859046428759,1762.9339331259143,705.0,403.0,705,403,R04,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-002.png,"Visually reviewed screenshot assigned to R04: DbCommand categories, callbacks, and result shapes"
S-003,IU-003,image-54f86ad117f104bafbf93e2e8783ab221c29bb6d,5b1fed6bdab1e36d6469aa5f0e1f40616f36bc504c52cfa3da2284da33c394c4,8be11246184f2a44a257bb946009e310a8eb9e48,3194.8998108880924,1788.6938471361973,736.0,482.0,862,565,R01,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-003.png,"Visually reviewed screenshot assigned to R01: SaveChanges lifecycle, event data, and successful-save auditing"
S-004,IU-004,image-895fe3487e98d6aab04798c20033630b83463d1a,a6a44beb130c301043a289689c8e1272b40d058b17dae477b4bf224e35989bb3,36f1cee3e70d62346bef8fe1b1c07033ca8138d0,6168.346614926142,1966.5219239217731,658.0,340.0,658,340,R01,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-004.png,"Visually reviewed screenshot assigned to R01: SaveChanges lifecycle, event data, and successful-save auditing"
S-005,IU-005,image-8e1e2cef2ca39db0a95a75fe47d322d95c08ea22,f79d21f610a2243e41b7a5f3bcc67d32c951235afd3ce1332dd8602c0dffa8b2,82577f5006fa9b75cd43aa6b714b22b94931d20d,7695.876717725697,1967.1285751351643,849.0,453.0,849,453,R02,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-005.png,"Visually reviewed screenshot assigned to R02: Save suppression, alternate results, and side-channel outcome reporting"
S-006,IU-006,image-5727d9879cea76a6887dd380af2adb40802a857e,e14562db7a30103d2c3ff2df4632c7865629b35240041ad889c2d8a700783879,82973772627f3de169f4976917f8e0742b384b72,10231.359093378878,2170.4723946643753,850.0,351.0,850,351,R04,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-006.png,"Visually reviewed screenshot assigned to R04: DbCommand categories, callbacks, and result shapes"
S-007,IU-007,image-451a2b358a073e2ea8e8719dcea54a184ee903be,e83cc0c0c30350b61feeab1af6d0f3750dc5d1f08eaa81f028b9fb5870026040,374aa0aad1cc48295955de51a83ebe5e6c7a8ad9,3200.3971804589046,2275.553778234291,873.0,116.0,873,116,R02,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-007.png,"Visually reviewed screenshot assigned to R02: Save suppression, alternate results, and side-channel outcome reporting"
S-008,IU-008,image-88dee42eabf58a6ffd86391188dc3da35e199703,43525ab87a85b11d37cd91d5d649727064f9a7f8458876d97baba970ce1348b6,f21e3bfe88f5df8bb036ed5d55a6084a643df9db,6137.181617339269,2327.7465681740177,777.0,482.0,835,518,R01,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-008.png,"Visually reviewed screenshot assigned to R01: SaveChanges lifecycle, event data, and successful-save auditing"
S-009,IU-009,image-b8fadc3cd63d13c4fda5817f56b9446ec8c0b67a,c5e0fdf7e1ed3ab179b1b8ffe6ace71d5efb208e7c7a41cdb5b2636306edf081,db722667b8b034c072801a7fa05fd61b205e979d,3257.734850205882,2414.6197843649315,782.0,482.0,848,523,R01,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-009.png,"Visually reviewed screenshot assigned to R01: SaveChanges lifecycle, event data, and successful-save auditing"
S-010,IU-010,image-c2651b7627322cccd4b4834fa6013da5f2da0d2d,973f0d4fc09d1db0cf687edc1c9aa535bf191646018c1e688e3b6bd0cb8ed7eb,37ec1022a844c04d6d329501cc0af67542351dad,7691.543310410356,2440.764883285021,831.0,393.0,831,393,R04,False,True,processed-semantic-transcript,1,True,True,assets/source-images-restored-v002/S-010.png,"Visually reviewed screenshot assigned to R04: DbCommand categories, callbacks, and result shapes"
