label_id,text,candidate_region,final_region,status,transcript_file,open_issue
T-006,the real danger of not parameterised values included from,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-007,user input into sql,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-008,sql injection,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-009,raw vs interpolated,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-010,dynamic sql parts + parameterised values,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-016,bypassing chagetr,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-017,simple poco muation,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-018,setproperty,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-019,cant call methods,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-014,executeupdate/,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-015,executedelete,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-001,database.sqlquery for projections,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-002,scalars and other nontracking nonentity,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-003,results,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-004,fromsql is for tracked entity,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-005,result,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-011,type param is the,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-012,type of item in a collection,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-013,in a iqueryable,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
