item_type,item_id,secondary_id,sha256,region_id,status,previously_present,restored,assignment_count,evidence
image_use,S-001,IU-001,a5dbbc78887d2ea75672e44f221fc05a4d4fc46f8864161c7235a55bda8d05e9,R01,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R01: API families, immediate execution, and transaction boundaries"
image_use,S-002,IU-002,edf4313f5bb1c8071c33e5af154852a27c66ec96072244f26ad620c959964146,R02,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
image_use,S-003,IU-003,6cb3de333017b3c4da69a9f5752b67840256923d5318d74b7220a53149db75c1,R02,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
image_use,S-004,IU-004,c19bf28b65b3aeec19088b3d359760970b92141cd2372114f2f41f853ad52749,R01,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R01: API families, immediate execution, and transaction boundaries"
image_use,S-005,IU-005,23ecca28b6ebbc78f6064203d8b406722a1bdd1e6683eac73142cf112eae6ba7,R01,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R01: API families, immediate execution, and transaction boundaries"
image_use,S-006,IU-006,d6bbc4f4d70c19273d8bde158941b2e319f8636bd5444f081e206f02c61dc64b,R01,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R01: API families, immediate execution, and transaction boundaries"
image_use,S-007,IU-007,6fa54d4f6395efacafda2b46c54652fa9b4a8d203b100c7c1c82f3c36effbe01,R03,processed-semantic-transcript,False,True,1,Visually reviewed screenshot assigned to R03: Dynamic SQL structure and safe raw construction
image_use,S-008,IU-008,8166edeb498dd632a96526a9f7a363a72821c0969cc814ca4647e89f6fcabc8e,R02,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
image_use,S-009,IU-009,fcb279d2f906efd805acc989d409e3a74fa0de156023aa2dc52d784264321d79,R03,processed-semantic-transcript,False,True,1,Visually reviewed screenshot assigned to R03: Dynamic SQL structure and safe raw construction
image_use,S-010,IU-010,edfc159a57027e288dc5e92a9fdc158997e3661118cdc0ecd1605a89a582c3de,R02,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
image_use,S-011,IU-011,2f4ecd3c197d56c38c2ce3c162c3e731ebcc2dfa2dfe600a11326cb1531c7225,R02,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
image_use,S-012,IU-012,00fd20f1c75f74036ff6bbde9de383e9fe7345eba490492263029583b994ba8a,R02,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
image_use,S-013,IU-013,41bcd2c5ad2949d6e908973cfa8254429a726873607d21900a0859ad5fc1f36b,R02,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
image_use,S-014,IU-014,4beeb28c5aa48f0f9054a947de7988450851efadc323a1794030b2eb779fb002,R02,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
image_use,S-015,IU-015,d51c3b7fc3aca95bc22c235eaf49ee214091ff66212b836e4206cad4d9e40196,R02,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
image_use,S-016,IU-016,e4b49760706abae5cf35abde6f76a9a7718cf5ed309d6f55f1ff4cc125980eaf,R02,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
image_use,S-017,IU-017,db5d400ee603a9fd8acaed5b493f296e39361ada6a1635a22de80ba6ba860f5d,R02,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
image_use,S-018,IU-018,143fa1c8e0d35b26402bff710e5aff591e10ae92dae6810074dbff5e731370e5,R03,processed-semantic-transcript,False,True,1,Visually reviewed screenshot assigned to R03: Dynamic SQL structure and safe raw construction
image_use,S-019,IU-019,4b94770709b0580b1583221416057898c5af02f8a738d82d7ddca60e8ca9bc14,R02,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
image_use,S-020,IU-020,b9282c883b5ed14020d74b359d0e15b538a680b325710798f9bb46fc72ba2384,R02,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
image_use,S-021,IU-021,6b7b38808e7c351637bb6446caf6eecf093f65e6a0e065cadfd57f6155515309,R02,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R02: FromSql entity queries, tracking, and parameterized values"
image_use,S-022,IU-022,593f6847c5bc664bb735e8d35d9b49e4476b1f0b7ba912cb772f1f341c730212,R03,processed-semantic-transcript,False,True,1,Visually reviewed screenshot assigned to R03: Dynamic SQL structure and safe raw construction
image_use,S-023,IU-023,605e7021349652c18174c40f6d76f6dc7b9db20709735b606fa5205bc581529c,R04,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R04: Database.SqlQuery for scalar, DTO, and non-entity results"
image_use,S-024,IU-024,df9c3be68392c8389125cb4f09bae2e398f666741f3fc7fb3380fd420dc00b9a,R04,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R04: Database.SqlQuery for scalar, DTO, and non-entity results"
image_use,S-025,IU-025,ba12e0fc744ef6d13c2ec89d3a64d773e94719dbd99265a49a01bc9e8c8507dc,R03,processed-semantic-transcript,False,True,1,Visually reviewed screenshot assigned to R03: Dynamic SQL structure and safe raw construction
image_use,S-026,IU-026,96e35ba26ad39cc9e83c2d956d2b3fb19ba7ed1926914e64f50abc03229b14a5,R04,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R04: Database.SqlQuery for scalar, DTO, and non-entity results"
image_use,S-027,IU-027,1eb90bdc259b0ebbb42988ebda2245d331764ea29cd1c6ab8c6fad3e36233878,R04,processed-semantic-transcript,False,True,1,"Visually reviewed screenshot assigned to R04: Database.SqlQuery for scalar, DTO, and non-entity results"
image_use,S-028,IU-028,f359eef14b8f5b8e946ea8e659973cec8939ab7f878e841f301a0f6859d7a94c,R03,processed-semantic-transcript,False,True,1,Visually reviewed screenshot assigned to R03: Dynamic SQL structure and safe raw construction
