label_id,text,x,y,font_size,region
T-001,createexecutionstrategy,3279.5817463249705,1758.3545010340067,135.39395419033815px,R01
T-002,sqlserver dbcontext,5719.195936844091,747.4612437299563,278.66666666666566px,R01
T-003,retries,5719.195936844091,1095.7945770632884,278.66666666666566px,R01
T-004,configure retiries,6454.80956977285,1748.1967845479385,207.25922309027743px,R01
T-005,"defaults, what start retrying after we",6521.716653711755,2830.308866579469,52.62745576746239px,R01
T-006,configure,6521.716653711755,2896.093186288797,52.62745576746239px,R01
T-007,what can retry without create execution strategy,4976.2317027665695,1583.1248694307965,70.37036132812497px,R01
T-008,when exactly we need it,4976.2317027665695,1671.0878210909527,70.37036132812497px,R01
T-009,pattern with createexecutionstrategy,5201.792077707925,3431.878473712779,45.21213600852351px,R01
T-010,flows,8861.96174763492,3452.344164506101,73.33330078125002px,R01
T-011,quick,7947.294999588045,3531.9185404826635,69.06669921875px,R01
T-012,executeintransaction,8353.96174763492,1511.9121625041487,112.44441731770641px,R01
T-013,remember about automatic atomic retries,6833.96174763492,1085.2455975627424,112.44441731770641px,R01
T-014,savechanges(false),10396.62825154117,1612.0615024943822,137.3333984375px,R01
T-015,saveponts,12316.62825154117,1101.3364026408667,238.6666503906251px,R01
T-016,savepoints of savechanges,12272.62825154117,1530.4081524943822,83.99999999999997px,R01
T-017,you decide what to do on failed savechanges,12272.62825154117,1635.4081524943822,83.99999999999997px,R01
T-018,and failed savechanges doesnt call acceptallchanges,12272.62825154117,1740.4081524943822,83.99999999999997px,R01
T-019,ef core buffering,6395.111354074349,3805.3987318094905,144.59263102213595px,R01
T-020,from retries,6395.111354074349,3986.139520587161,144.59263102213595px,R01
T-021,is it app memory,5014.139935637509,6344.438609893439,77.33331298828122px,R01
T-022,or db meory buffering,5014.139935637509,6441.105251128791,77.33331298828122px,R01
T-023,what exaycly buffers?,5012.0180794324615,6728.494888290287,49.206356956845184px,R01
T-024,do we buffer the sql result?,5012.0180794324615,6790.002834486343,49.206356956845184px,R01
T-025,example of anyasync with retries,5012.0180794324615,6851.5107806824,49.206356956845184px,R01
T-026,so what if i dont want to have,2766.5761035836404,4312.204023151998,89.77777099609374px,R01
T-027,retries for specific query?,2766.5761035836404,4424.426236897115,89.77777099609374px,R01
T-028,pooling,2979.1384570694563,6080.629243692855,157.60000000000005px,R01
T-029,multiple dbcontexs,2646.4130673993795,3891.1646235651388,169.62420987215967px,R01
T-030,pooling,2646.4130673993795,4103.194885905338,169.62420987215967px,R01
T-031,multiple db contexts,2883.83746487758,5124.1041103128155,71.28205754206721px,R01
T-032,and you want one transaction,2883.83746487758,5213.2066822403995,71.28205754206721px,R01
T-033,usetransaction,2883.83746487758,5302.309254167983,71.28205754206721px,R01
T-034,Executeasync,5071.595650738898,3582.9025266646117,176.12122691761328px,R01
T-035,executeasync without transaction,5124.281326069564,4288.786686263941,58.716055410879655px,R01
T-036,when just need to retry with some app,5124.281326069564,4362.181755527541,58.716055410879655px,R01
T-037,logic like get current time,5124.281326069564,4435.57682479114,58.716055410879655px,R01
T-038,!!! executeasync without transaction is possible when we dont have multiple,5073.911046121647,5405.306954470503,28.533325195312493px,R01
T-039,writes and the state that we need to rollback,5073.911046121647,5440.973610964644,28.533325195312493px,R01
T-040,"savepoints are for transactions, not for just",12501.988487523817,1358.9638828239158,20px,R01
T-041,savechanges,12501.988487523817,1383.9638828239158,20px,R01
T-042,useful execution stratefy properties,14971.468224595636,1699.736107979447,105.33331298828124px,R01
T-043,when we use execute (not in transaction),15699.655917831644,6352.096680822932,41.53086118344897px,R01
T-044,method,15699.655917831644,6404.010257302244,41.53086118344897px,R01
T-045,and there is some ambigous outcome of,15699.655917831644,6455.923833781555,41.53086118344897px,R01
T-046,the transaction,15699.655917831644,6507.837410260866,41.53086118344897px,R01
T-047,by default - we will retry,15699.655917831644,6611.664563219489,41.53086118344897px,R01
T-048,!!!,15505.581956785638,6620.471008179337,188.29627821180617px,R01
T-049,isolation level,12307.601084475897,5219.027177316647,130.0741136338977px,R01
T-050,in manual retries from same tranaction,12307.601084475897,5381.619819359019,130.0741136338977px,R01
T-051,using savepoints cases,12307.601084475897,5544.212461401391,130.0741136338977px,R01
T-052,in gen ef core have,10.0,284.4804683430989,311.5555826822916px,R01
T-053,db error codes of sql server,10.0,673.9249466959634,311.5555826822916px,R01
T-054,and about retries,10.0,1063.369425048828,311.5555826822916px,R01
