image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,use_count,status
image-6277bd0e85675fa25b1fcdcaf45c12d6db46c3f1,fd63f47893d3.png,fd63f47893d317357f66ad51c9c3b80b76633274a4987574a3e9819a2fae52f6,fd63f47893d3,image/png,52452,918,596,RGBA,1,extracted
image-585643275642efbe58e0b300228e4c1876126cb8,4ce02a66a08c.png,4ce02a66a08ce6468b25b1bef6aeff828b80f8bfc20e9668eb0fc044c65d0576,4ce02a66a08c,image/png,18812,864,245,RGBA,1,extracted
image-49632c066515f693c802ec9fdcbb6e3f07843af9,3daddf41c329.png,3daddf41c3291b760291336b2fbb6467203e4d682b1184df07d5692b935bb760,3daddf41c329,image/png,49450,983,572,RGBA,1,extracted
image-d84b12a3b60e362508f0a5a2fc869953bfe97aad,f0cb6ceba6ee.png,f0cb6ceba6eed549f05db8b09b12af7ed2cfbc1b0a1ef26da48a327753c05c7c,f0cb6ceba6ee,image/png,28083,960,329,RGBA,1,extracted
image-40556503b1b709d063f8c80b11fc5c53bc0bbacf,043437236922.png,043437236922f83b8529efa85a47121dfe27227f28b9f3bcc2ccf64e4563845e,043437236922,image/png,36809,1042,435,RGBA,1,extracted
image-6adc9c1e3fb1f87008a410087bab03d01558a22f,1bec1c2fd78f.png,1bec1c2fd78f5932d14008ffe4ab51e6d1780f11a57e85bbbf6c5010abcc5623,1bec1c2fd78f,image/png,42680,1042,399,RGBA,1,extracted
image-3083f04f844115feeab18882c46efd6e0a5a960c,a5e198b7297e.png,a5e198b7297eefb9909223a37604ed37634b938e5ab68d4d78b9a7c6c862497b,a5e198b7297e,image/png,48311,1037,528,RGBA,1,extracted
image-6fc9e93e505648b770e06c98677388b3728acb58,c68f6903cfe3.png,c68f6903cfe3488703af023b27b442263c48c00bb18a01b6c9049d34c84a0e39,c68f6903cfe3,image/png,41499,991,478,RGBA,1,extracted
image-90800dce3c6748e336e5782021ad99a8f5f83ef3,3c1d2f083448.png,3c1d2f0834481abd0f93055e1f4a4f3367d2444000dad02222192b71b38e48c6,3c1d2f083448,image/png,40575,911,592,RGBA,1,extracted
image-8d57d4210c8cc23845f20e9c26afb5bdb3e7787c,f85ce5c1727b.png,f85ce5c1727bd8b26e62662a309144d12fb2a22ff22da54ef07ade854b59db36,f85ce5c1727b,image/png,27219,883,419,RGBA,1,extracted
image-6d4a2a9eeefc09505c7f4e6b6104d3dd3de2644a,c64767cefc83.png,c64767cefc836ce87a14d7a1fd6d023003b01604e87cf48c151651ea29ef33f8,c64767cefc83,image/png,19830,1061,219,RGBA,1,extracted
image-d85f07be7227d45cab938e6f23cf403fc5d2bbf7,59fabeee34f4.png,59fabeee34f48be0fe3719606e349308ac0842ee74c0700f58120a2e94821028,59fabeee34f4,image/png,27906,1000,378,RGBA,1,extracted
