source_id,image_use_id,symbol_id,sha256,sha1,x,y,width,height,pixel_width,pixel_height,region_id,previously_present,restored,coverage_status,assignment_count,asset_path,evidence
S-001,IU-001,image-693e31b079feda487bd65292e2d3a8842f03905b,ae6f16568a448324befe4e35214039363ddb098c31d42f4924b680211da8e0db,953137e6c3c7e4359252937137217ede0ad9a9d0,3428.6332784349374,286.64444723720317,929.0,427.0,929,427,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-001__ae6f16568a.png,Visually reviewed and assigned to R01: Applying migrations from code and production safety
S-002,IU-002,image-eb9014c9bd601a5bd2eb1706dbbeaaa855dd82a4,40bd9ca5a36e0f5990c93040e17c39b1b6cc7136455bda8dee2b371eace231e2,02660fd32290470628db2f4ab8cf518d1b8606d5,2389.3555684739995,307.8565684493269,892.0,427.0,892,427,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-002__40bd9ca5a3.png,Visually reviewed and assigned to R01: Applying migrations from code and production safety
S-003,IU-003,image-359210475f19e93fa6f76b9e3693f0db216473ee,37640af419a7e47f593321a2af93f6a20b34a49f198be496838658754a9a8c04,b90d4df108011bb39979ddfffd797245127d6178,1487.1738982561956,325.7807923780647,780.0,316.0,780,316,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-003__37640af419.png,Visually reviewed and assigned to R01: Applying migrations from code and production safety
S-004,IU-004,image-6c74fb08e05bbcfb962d431e0b4cf0a26b9a80b0,c81e2dfdb2a382c8350ac7cc6766e30c3d78241056de92a6205541733039e91e,ca1c33a68fcf61dfc7063ee7c8e9074ce82eceaa,1495.2950363954014,687.0686341749433,548.0,311.0,548,311,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-004__c81e2dfdb2.png,Visually reviewed and assigned to R01: Applying migrations from code and production safety
S-005,IU-005,image-f4f9b017f05e4c3e93ec90f6ef475a381b25294c,6b27249c7d6c34e90a41314a2298d84d5e3219ac50580ac9545eabac1136f4e6,1bad0b2bcd3fe8ab62b8c47e1faba0ed9f3fdc27,3434.0222351406665,748.0334039429335,896.0,482.0,896,482,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-005__6b27249c7d.png,Visually reviewed and assigned to R01: Applying migrations from code and production safety
S-006,IU-006,image-0319633a72a42a281343a3644e131044be83df92,d949b4d93f437dc747346c1a45e9081ff93141538dade0176a001d377ccaec3a,eea2e4fc31bcd8651bb0f13940ced23ce14f29f8,2396.385834513299,791.7353933191162,724.0,395.0,724,395,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-006__d949b4d93f.png,Visually reviewed and assigned to R01: Applying migrations from code and production safety
S-007,IU-007,image-8c61806d43ad7dcaea1ee8f3cad145d09bb73c7b,7aeed26b81eff35f465d8618ced3069384fa809a0824057e2239db9435f68f8a,95be97e11dcb22d03cf63b2b40427431acc1cec3,2332.6334818854575,1589.1444218058869,881.0,362.0,881,362,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-007__7aeed26b81.png,"Visually reviewed and assigned to R02: EF migration CLI workflow: add, update, remove, and list"
S-008,IU-008,image-c31e0efd18bc1f9d9192b9ca0436ead8f5671df9,0998501ea99aec01c164ab57f34dee4d460d64d8ce4be779ee353e2a8eeac6ca,62f0e21d6abaf84330f61b56a50e9994a37653a6,2329.911140983765,2113.755592256738,912.0,355.0,912,355,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-008__0998501ea9.png,"Visually reviewed and assigned to R02: EF migration CLI workflow: add, update, remove, and list"
S-009,IU-009,image-dd8d1f4e15269397bfcc85e16f1537ae1d2282d6,5181f72c4d23fe1dc31eaddff24ea4eae3f1c5e7b77ac65e878f0a26577141f8,684e96624de804eaa180a7a34af25a4ebb378da0,1265.8374837081446,2130.3032462580604,917.0,415.0,917,415,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-009__5181f72c4d.png,"Visually reviewed and assigned to R02: EF migration CLI workflow: add, update, remove, and list"
S-010,IU-010,image-a3246b0b1b1ab3fe9fe335a2d36b83a60155eebb,a47ba4225d914c32a8cd727b09442e94864ca81f5a22713bd943fe947b433c0f,83f306cdbefc40d8c6d01af4f3b58b63933fca5b,2324.411140983765,2639.755592256738,933.0,263.0,933,263,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-010__a47ba4225d.png,"Visually reviewed and assigned to R02: EF migration CLI workflow: add, update, remove, and list"
S-011,IU-011,image-48ce52a8a1fcbf8d40acdd015f00db94e380e92f,c78f51281a1db865cf386a51188fa6ba3c5729f3e5d76d8283c6253ce8f4dfb6,5683781285c08a282a874c6ec378de2ed1869cd5,2337.244576042359,3040.755592256738,904.0,331.0,904,331,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-011__c78f51281a.png,"Visually reviewed and assigned to R02: EF migration CLI workflow: add, update, remove, and list"
S-012,IU-012,image-d8a5a98370345f5e6e71082ea6f0c70bac120e1d,b99b9b73e6ce79a15d5272dce1939d5b150e145653c6863071af43704d63c6ac,140c9dd5971d9edf730597e051be8ee9ba9a0043,2341.6583272269463,3566.7659834920896,902.0,482.0,948,507,R03,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/S-012__b99b9b73e6.png,Visually reviewed and assigned to R03: SQL migration scripts and idempotent deployment
