text_id,text,x,y,font_size,sha256,region_id,node_kind,coverage_status,assignment_count
T-001,applying migrations,2421.2315299638576,85.68208499581492,85.90475027901807px,b0961aaf861ec01fb16f3051671ee0a3c0cbe3c6742c2b6b37f58a4ef4eb9d86,R01,semantic,processed-semantic-transcript,1
T-002,Maybe you dont need,1277.3906281593627,93.51687716779274,85.90475027901807px,714daa3adccdade714d12832d3d984d1c2386a1ebc471224e314549bff273c79,R01,semantic,processed-semantic-transcript,1
T-003,from code,2421.2315299638576,193.06302284458752,85.90475027901807px,7f1420b15636c0d9775e68be36dbf3baf746eec0d86d94e41001641eb75c5d68,R01,semantic,processed-semantic-transcript,1
T-004,to run migrations in your,1277.3906281593627,200.89781501656535,85.90475027901807px,92cbf72750dc98c29d4d76a5d0ad247b8c1a7cc756d2028f5b4bfb53fef91518,R01,semantic,processed-semantic-transcript,1
T-005,code,1277.3906281593627,308.27875286533794,85.90475027901807px,5694d08a2e53ffcae0c3103e5ad6f6076abd960eb1f8a56577040bc1028f702b,R01,semantic,processed-semantic-transcript,1
T-006,Add migration,2345.993405661402,1359.0154328613303,85.90475027901807px,f6202f00f09b81687db7e756952400c3be00638c50ea55134bf7a5489b2e493c,R02,semantic,processed-semantic-transcript,1
T-007,so when i have multiple migrations that wasnt,898.841208695701,1958.325249775703,36.80807587594709px,dab5c2b6a604d7a0c9ab0fccd49ec58647a0d878936670feba725edb1b0a110a,R02,semantic,processed-semantic-transcript,1
T-008,applied or i have some strange changes that wasnt applied,898.841208695701,2004.3353446206368,36.80807587594709px,0f2be870a635801e70763cc112787c24b21d853d2dcf603db80c27ec8a62d518,R02,semantic,processed-semantic-transcript,1
T-009,"there and here, everything will be ok unless i delete some interm migration",898.841208695701,2050.3454394655705,36.80807587594709px,0ff63ab11aac90cc1e829125a1b66774dac59b2e2bcce0d5ce029f60c77d6add,R02,semantic,processed-semantic-transcript,1
T-010,Apply migrations,2399.3267099303753,2051.396414306642,85.90475027901807px,1f85f93bce9829e6c376b5c39dec0583f63516934e0b0c402ba5c4a239b18530,R02,semantic,processed-semantic-transcript,1
T-011,!!!,1189.2576687373062,2457.104870694469,63.921587775735304px,e84c538e7fe250730ef62de220c40dfa808d3008c0cdb437181564b88b8714b8,R02,semantic,processed-semantic-transcript,1
T-012,Remove last migration,2403.136175611179,2574.37264656285,85.90475027901807px,ab7f7238cf3da8b1d889c162eb569f343e59014d461938e4515ef6a25d23ec8f,R02,semantic,processed-semantic-transcript,1
T-013,list migrations,2393.8028015877417,2993.0392725394127,85.90475027901807px,196ac2d0f041a6c6b8617850127b9b92f7ee361cfad851622b18a45fae7b24ad,R02,semantic,processed-semantic-transcript,1
T-014,migration scripts(sql),2367.3265820471906,3495.3461427728575,85.90475027901807px,38061ea6fd237252f89319982e851fba3b6560afbcee7bbb58658ed30b22b6dc,R03,semantic,processed-semantic-transcript,1
T-015,"it creates sql, not migration",2011.1204458349553,4184.7784064993775,20px,7f93f96dfe11136031fbb96f08a42402a9b03d93ca5b3679e23a676887bde181,R03,semantic,processed-semantic-transcript,1
T-016,script doesnt create migration,2011.1204458349553,4209.7784064993775,20px,14826ea286fc453ed560ade6f16c8eeac2c068d789af022fb7d1a6b6b80ac65a,R03,semantic,processed-semantic-transcript,1
T-017,it creates sql,2011.1204458349553,4234.7784064993775,20px,1229b73711fa2cdb761ae62eb464feb6070fd65ce82784c274813b68edcdc0d6,R03,semantic,processed-semantic-transcript,1
T-018,Idempotent migr scripts,2329.335665472717,4506.398580206978,85.90475027901807px,a501c96b29f867a2ea4f82255e47d36b3131cadd3a8aaba6c56ad57174ebbe9f,R03,semantic,processed-semantic-transcript,1
T-019,checking history,2329.335665472717,4613.779518055751,85.90475027901807px,716eb1ce4ca8f290cc7aade3c8ff175b38f952ca2121417c17db19a2f905b90e,R03,semantic,processed-semantic-transcript,1
T-020,principle of work,1356.0631148523573,5182.24380866745,85.90475027901807px,d83c0afc915fd09d440391c50d98a84942daf201e14a84125ae06aad70c0ab33,R04,semantic,processed-semantic-transcript,1
T-021,bundlee flow,101.24839045999624,5200.021586445228,85.90475027901807px,0e0a40a6044fe044572602745741906efb3ba416a23ea4bbaf67432c4161177b,R04,semantic,processed-semantic-transcript,1
T-022,Migration bundles,2276.0632674402477,5210.577167432099,85.90475027901807px,48aa95ee33531a2afdf800de6037b9152e23bc087624e41763e621feca99f2c0,R04,semantic,processed-semantic-transcript,1
T-023,dotnet-counters,2390.7297713464977,7829.688261589001,85.90475027901807px,c458d6012dcb652e6fec6e97e260d897016a51c465817cbd22911cfc4d23beb6,R05,semantic,processed-semantic-transcript,1
T-024,pid,1709.517613143373,8010.294368433815,85.90475027901807px,ce71df4dc560de1e3e3d08a85db646710b493e3106c7af94ae10372d61f9eda8,R05,semantic,processed-semantic-transcript,1
T-025,queries count,2364.0631786618387,9189.688261589,85.90475027901807px,b2dcc7067ffbc92ef919b88ba19f0c51417aff618f852afd947dcbcc12260a69,R06,semantic,processed-semantic-transcript,1
T-026,query cache hit rate,2417.3964750041687,9598.173119321602,85.90475027901807px,bd5d2bd7aa697b4884b76d60e4625f59d4e0500b81244c667c0be2de055ae072,R06,semantic,processed-semantic-transcript,1
T-027,optim concur failures,2385.8812495070097,10478.173119321602,85.90475027901807px,247d412d437ea79a4ec5b580535a8df4d0703789c6827033ef75d4d759c60751,R06,semantic,processed-semantic-transcript,1
