label_id,x,y,text,nearest_use_id,final_region,transcript_file,coverage_status
L2-001,15890.498559122705,3088.9138155884675,efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in client can be not enough | so its better to do the shit excplicitly,S-017,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,covered-as-context-label
L2-002,17192.07033814443,1550.8789454669513,hascheck constraint,S-007,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-003,15934.888597335459,1583.033810924505,navigation,S-006,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,covered-as-context-label
L2-004,16019.442352662163,1837.4192986447251,owned isrequired,S-006,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,covered-as-context-label
L2-005,17380.259804489848,1969.1191752180766,"need to add somewhere, to some general dbcontext mapping sheet mb",S-007,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-006,7646.426700589527,2004.9285067191859,shadow prop usage,S-011,FR02,transcripts/fr02-constructors-attach-graphs-v002.md,covered-as-context-label
L2-007,3973.766572481685,1613.9745549571526,reduce cpu and everything for reads,S-002,FR01,transcripts/fr01-tracking-query-materialization-v002.md,covered-as-context-label
L2-008,8977.540140459001,1967.8539808586738,Attach,S-014,FR02,transcripts/fr02-constructors-attach-graphs-v002.md,covered-as-context-label
L2-009,14278.711997104827,1490.616358039615,how to save yourself | from sit when someone make 2 parallel requests | to create acc with same email,S-003,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-010,13305.954750391249,5983.314914038496,better to have isrequired false too,S-045,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,covered-as-context-label
L2-011,13725.939574831946,7612.693713476972,complex types,S-053,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,covered-as-context-label
L2-012,5672.948857119547,12727.311389258222,primary key,NU-059,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-013,5534.282353213297,12112.64476328166,native declarative | constraints,NU-059,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-014,5687.393437197672,13212.311389258224,unique index,NU-060,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-015,5704.060154726969,13762.31146555217,alternate key,NU-061,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-016,5675.726719668375,14277.31146555217,foreign key,NU-062,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-017,5654.060002139078,14758.978183081466,not null,NU-063,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-018,5660.726719668375,15258.978221228439,check constraint,NU-064,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-019,7138.0599716215,14973.644847205001,indexed view,NU-080,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-020,7203.544823805449,14569.856936049995,custom db error from stored proc,NU-079,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-021,7179.272018851612,13773.644847205001,trigger,NU-077,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-022,6986.731325901983,13321.243899154028,filtered unique index,NU-076,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-023,6831.9994164235195,12850.008428082132,unique index on comp column,NU-060,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-024,3758.558961414801,14887.286543578968,how to know which | check constraint failed,NU-069,FR06,transcripts/fr06-concurrency-provider-errors-v002.md,covered-as-context-label
L2-025,8404.575534281465,16399.33594413975,is custom dberr limited to storproc,NU-085,FR05,transcripts/fr05-invariants-constraints-triggers-v002.md,covered-as-context-label
L2-026,11190.32759066793,4761.040238306429,nullable relationships,S-027,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,covered-as-context-label
L2-027,10314.106106906589,2417.7813051368175,"what to avoid in ctors, | would ef use parameterless ctor by default?",S-019,FR02,transcripts/fr02-constructors-attach-graphs-v002.md,covered-as-context-label
L2-028,10460.947610126812,1383.4951219357995,ctors wont run when ef materializes entities?,S-001,FR02,transcripts/fr02-constructors-attach-graphs-v002.md,covered-as-context-label
L2-029,8809.215878913998,2276.3241548497763,1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if adding new entity with detached in some prop - need to attach that detached | to avoid adding existing but detached | 4 when updating entity with detached - detached will be modified need to override savexchanges or | config so model,S-014,FR02,transcripts/fr02-constructors-attach-graphs-v002.md,covered-as-context-label
L2-030,5523.1012029576905,1521.6767954565134,identity map pattern,S-005,FR01,transcripts/fr01-tracking-query-materialization-v002.md,covered-as-context-label
L2-031,5592.773483086246,6921.600927485713,"so in writes we potentially can do some shit when we fetch | something while having something that we have fetched already and | mb have changed? | dont think so, sounds like shit | load and find more about explicitness and debugging | or when you allow partial loading in writes, chat gpt forces this shit actively | can i do this for projections in reads? hard to imagine | it more just to know that if you have some nested/ multiple methods | that for some reason can fetch instead of continue to modify that was already | fetched - then you can use find everywhere",S-047,FR01,transcripts/fr01-tracking-query-materialization-v002.md,covered-as-context-label
L2-032,5547.545376134774,7456.120968633598,loadasyn + autoinclude,S-052,FR07,transcripts/fr07-query-shape-row-count-v002.md,covered-as-context-label
L2-033,22330.14410221141,1573.093038227783,concurrency in db  commands | isrowversion isconcurrencytoken,S-004,FR06,transcripts/fr06-concurrency-provider-errors-v002.md,covered-as-context-label
L2-034,18927.019439236057,1581.981994933512,dbcontext about transactions strategies,S-007,FR04,transcripts/fr04-transactions-retries-rawsql-v002.md,covered-as-context-label
