source_id,decision,reason
S-012,included-in-EF05A-v001,race protection with UNIQUE constraint/index
S-013,included-in-EF05A-v001,race protection with UNIQUE constraint/index
S-011,included-in-EF05A-v001,race protection with UNIQUE constraint/index
S-004,pending-EF05B,owned FullName / optional mapping / CHECK constraint
S-005,pending-EF05B,owned FullName / optional mapping / CHECK constraint
S-002,pending-EF05B,owned FullName / optional mapping / CHECK constraint
S-003,pending-EF05B,owned FullName / optional mapping / CHECK constraint
S-019,pending-EF05B,owned FullName / optional mapping / CHECK constraint
S-014,pending-EF05C,optional value object / complex type mapping
S-015,pending-EF05C,optional value object / complex type mapping
S-016,pending-EF05C,optional value object / complex type mapping
S-017,pending-EF05C,optional value object / complex type mapping
S-018,pending-EF05C,optional value object / complex type mapping
S-020,pending-EF05C,optional value object / complex type mapping
S-021,pending-EF05C,optional value object / complex type mapping
S-022,pending-EF05C,optional value object / complex type mapping
S-023,pending-EF05C,optional value object / complex type mapping
S-047,pending-EF06,transactions / concurrency / db exceptions / retry
S-048,pending-EF06,transactions / concurrency / db exceptions / retry
S-049,pending-EF06,transactions / concurrency / db exceptions / retry
S-050,pending-EF06,transactions / concurrency / db exceptions / retry
S-051,pending-EF06,transactions / concurrency / db exceptions / retry
S-052,pending-EF06,transactions / concurrency / db exceptions / retry
S-062,pending-EF06,transactions / concurrency / db exceptions / retry
S-063,pending-EF06,transactions / concurrency / db exceptions / retry
S-064,pending-EF06,transactions / concurrency / db exceptions / retry
S-065,pending-EF06,transactions / concurrency / db exceptions / retry
S-061,pending-EF06,transactions / concurrency / db exceptions / retry
