source_id,decision,reason
S-014,included-in-EF05C-v001,optional value objects / child entities / complex type mapping
S-015,included-in-EF05C-v001,optional value objects / child entities / complex type mapping
S-016,included-in-EF05C-v001,optional value objects / child entities / complex type mapping
S-017,included-in-EF05C-v001,optional value objects / child entities / complex type mapping
S-018,included-in-EF05C-v001,optional value objects / child entities / complex type mapping
S-020,included-in-EF05C-v001,optional value objects / child entities / complex type mapping
S-021,included-in-EF05C-v001,optional value objects / child entities / complex type mapping
S-022,included-in-EF05C-v001,optional value objects / child entities / complex type mapping
S-023,included-in-EF05C-v001,optional value objects / child entities / complex type mapping
S-047,pending-EF06A,transactions / concurrency / db exceptions / retry
S-048,pending-EF06A,transactions / concurrency / db exceptions / retry
S-049,pending-EF06B,transactions / concurrency / db exceptions / retry
S-050,pending-EF06B,transactions / concurrency / db exceptions / retry
S-051,pending-EF06B,transactions / concurrency / db exceptions / retry
S-052,pending-EF06B,transactions / concurrency / db exceptions / retry
S-062,pending-EF06C,transactions / concurrency / db exceptions / retry
S-063,pending-EF06C,transactions / concurrency / db exceptions / retry
S-064,pending-EF06C,transactions / concurrency / db exceptions / retry
S-065,pending-EF06C,transactions / concurrency / db exceptions / retry
S-061,pending-EF06C,transactions / concurrency / db exceptions / retry
