use_id,region,symbol_id,x,y,width,height,sha256
I001,R04,image-72e56e15dbcc6126dadfa28bbc5c0d5fda17edd2,6273.334085221164,282.43762587949095,429.0,482.0,3feb18938d1518864d66da559b7560f38af4bed808eafde4e463df00f3369f38
I002,R04,image-8c29cfd8fdac58a5abd6218df2cea8af22071b34,6199.192160616248,1085.441158872648,668.0,287.0,7626075d84a4130d3640576d0f625b2c88690212435e7ce59190c53934c17210
I003,R04,image-9e60c5b3988f2f09f8bcc4b83b39d7853e6aa574,6204.792576885727,1371.7615934429605,716.0,463.0,b348d813d359e651d5d18b32fda25b4a9b7ff3cc5657045792cc1d7a8ea8c5cd
I004,R04,image-e029202ede04cb472c7e8ce763b12922939cc122,6174.141097665527,1839.274382655688,634.0,166.0,3eb2acddfaa15df19c4fb9bcf1ed4385056c02edb399c150575c74510580a3f9
I005,R04,image-9b4c98aa0d2035560861d3faa57e725587d3f20e,6181.320428344613,2223.1975065288907,954.0,432.0,6eb8e14a0fed522cbdf4e630ef003d9c660bf8b89253b8433b131c56aa3c0af7
I006,R04,image-44ee14288ff41258996c7cd7801d53665cb14c23,6163.499375713033,2672.27447655593,928.0,463.0,0fee3b634d8b0f2da2a607354d54d4dd45c4d3e271a9bae117d7729de90baf87
I007,R04,image-be5cfaaf6c82c532468a29b2bc8e520764aef0a1,6184.290411464065,3382.9154806781416,731.0,463.0,f619622864ecd521a7d7e18ca3533abb46b272f5e92a796523922a95af4f3f13
I008,R04,image-2e498913c380909f12a6d7add0038bfa7402d5c8,7020.186783531658,3394.387467106445,711.0,482.0,514524cec5efd0460d9752f7de08ee54767020984b3bd5ec739a4d3df57e0a23
I009,R03,image-964bdc8f37e10f46a8e0efcdc21c11c15af13ff0,4506.0552164321625,976.548356985998,753.0,482.0,86f51d81f48cad70a0c871b0b3b2c0471066e554595f4573c7a5322d920d4b06
I010,R03,image-e6f673a2038afe79516412ebae1ac015000becda,4528.387095757239,1644.1674060582563,846.0,482.0,0b77cc1ed2b026d81041aa90b2e0059acdd6a6c69230b3bccd4892c6d7165a8c
I011,R02,image-aba23d1ab3a4980609173b6fc021e4a1dcc7ea3b,2857.58572126565,921.5007393915921,740.0,482.0,0f4545730a9893135b2ebcff8d3df5e00aa5459dc9df5e6518a6b6498873cb83
I012,R02,image-c0f4819d6abe564d74db37f157ba62d4abd1e980,2841.9217536567357,1544.3394321929272,981.0,276.0,7808820503de14ec952f424da7ca9bb20bb2a5c3ea9583ebf2b537d5a8d19689
I013,R02,image-c73286ac58df821525a9a7b7e8dfbb7a57ec0f8d,2847.082273125756,1824.5165663888956,857.0,482.0,208e096952c0108e170ba801ca548d5f73a105c223558c77f988875b8ef9e39e
I014,R02,image-19f5d8b8058dd28bcd409f2a7b7b6ee7f445193d,2881.4218045193684,2659.0616713693717,982.0,451.0,ccce02bf122762142cde850ebc6e931e964201d7005409e1892488e7367b3bdb
I015,R02,image-8c2aeab5a37efb9d43bee5c534e043dbee78b0a3,1690.8291667155481,910.8210097482779,918.0,346.0,e636b10a7a7f66bc1b62e7b5a845b89517ed5c01b9b6463fa03dd34669196fa3
I016,R02,image-15c7e107f828573077978a3b966dd9d76bd7a6fa,1675.3565410596075,1383.4054552777861,875.0,482.0,4f7d36d9633d2e823a34087672a448f44b5577209b6070fd17b6d8f27a5bf2a9
I017,R02,image-79e2edfcc06371aa5aa136f7ad43772f3b7d4a3e,1639.0884711860326,1993.9691352908094,980.0,316.0,c8175a12bc948d1fc6260d18eeeb16260e44bd7ac0bc9f546266d6826835832c
I018,R02,image-97e9b388becc6cf34a997c5595047448203a8456,3707.6069444933255,917.0987197092081,760.0,449.0,69c71d4e255a5b3ad33223c0057330cf92d61a55d13cb91cb407adc87da1a82d
I019,R03,image-3e87d1adb3cddb9ec69fa295b794a11e398aee42,4524.826616634663,2310.7289608223264,977.0,385.0,d65040cbf241a0324cadecc65885062797b77f03dfe9ff0d4c18584fed52bb8b
I020,R03,image-c93c5384fab0c1c67519a7b7de2f26b22b537f27,4521.016204895327,2717.7702121482916,1058.0,398.0,a62c07651c59c00d7771e0385c1dff090677b63b9eadd176a40636014c076139
I021,R03,image-07f12b3ddb82b548c0f1d59cd2d2df38c6b92629,4532.003855969963,3146.0832994532293,1050.0,296.0,66eeb1c7e6208fca7d37c912936d93435c91295864a1055f6096c83ea76f1446
I022,R03,image-b3b42c53aba003d199254f128de27ed4dad15261,4544.103206581748,3659.311383816462,976.0,482.0,f225d53e17f6d1d4510e04e9c3e27c788c026dc7cbc2a328b533e9bf2eb7389c
I023,R03,image-15da727ad289188f466a400225121ea6e502b790,4547.722224682605,4179.795395235761,985.0,449.0,c3fabe9df9eed6b1a50d488ebefbd8523db7ecac0561b19b9e2f0bbd433e07c8
I024,R01,image-a38db5a2f365534280f8871dbf1cbd55aea5ba81,212.503733866959,1370.4485958310152,943.0,482.0,92f711c5f929327365ca3d5c5b463913c5a12b1b099b35f58ffb104346e757da
I025,R01,image-76d2e8f7e8348b26a1c6c790d38f81e6e0fac070,183.31445861054272,2063.749377694774,1006.0,482.0,b257a9889524754cd854f52a493d911856f51001efb648a05b267dde4869f1b7
