source_id,order_in_group,group_key,region,candidate_status,decision,meaning,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only
S-001,1,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,enc-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Encoding basics: GetString/GetBytes/GetChars overloads, spans, allocation behavior, GetCharCount/GetMaxCharCount, buffer sizing, and when byte/char counts are known.",IU-001,2d8ac9d83e,10.0,386.451,884.0,421.0,basics | getstring /getbytes overloads | so we have getstring that allocates a new string | and we have getchars | we can pass spans as both src and dest | so we dont need to specify source count | chunk processing with encoding.utf8.getdecoder | getmaxcharcount vs | decode.getcharcount | decoder getchars vs decoder.convert
S-003,2,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,enc-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Encoding basics: GetString/GetBytes/GetChars overloads, spans, allocation behavior, GetCharCount/GetMaxCharCount, buffer sizing, and when byte/char counts are known.",IU-003,ea1f5a1316,1929.729,635.383,844.0,187.0,so we dont need to specify source count | we can pass spans as both src and dest | and we have getchars | so we have getstring that allocates a new string | getstring /getbytes overloads | basics | chunk processing with encoding.utf8.getdecoder | getmaxcharcount vs | decode.getcharcount | decoder getchars vs decoder.convert
S-004,3,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,enc-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Encoding basics: GetString/GetBytes/GetChars overloads, spans, allocation behavior, GetCharCount/GetMaxCharCount, buffer sizing, and when byte/char counts are known.",IU-004,3d6f0dd1d6,25.667,830.618,846.0,406.0,basics | getstring /getbytes overloads | so we dont need to specify source count | we can pass spans as both src and dest | and we have getchars | so we have getstring that allocates a new string | chunk processing with encoding.utf8.getdecoder | getmaxcharcount vs | decode.getcharcount | decoder getchars vs decoder.convert
S-005,4,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,enc-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Encoding basics: GetString/GetBytes/GetChars overloads, spans, allocation behavior, GetCharCount/GetMaxCharCount, buffer sizing, and when byte/char counts are known.",IU-005,6992f787ac,1920.581,831.182,846.0,359.0,so we dont need to specify source count | we can pass spans as both src and dest | and we have getchars | so we have getstring that allocates a new string | getstring /getbytes overloads | basics | chunk processing with encoding.utf8.getdecoder | getmaxcharcount vs | decode.getcharcount | decoder getchars vs decoder.convert
S-008,5,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,enc-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Encoding basics: GetString/GetBytes/GetChars overloads, spans, allocation behavior, GetCharCount/GetMaxCharCount, buffer sizing, and when byte/char counts are known.",IU-008,78c10d1ebd,2626.136,1186.793,816.0,480.0,so we dont need to specify source count | we can pass spans as both src and dest | and we have getchars | so we have getstring that allocates a new string | getstring /getbytes overloads | chunk processing with encoding.utf8.getdecoder | decoder getchars vs decoder.convert | basics | decoder methods | getmaxcharcount vs
S-009,6,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,enc-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Encoding basics: GetString/GetBytes/GetChars overloads, spans, allocation behavior, GetCharCount/GetMaxCharCount, buffer sizing, and when byte/char counts are known.",IU-009,4ed9508b45,1594.285,1221.365,866.0,298.0,so we dont need to specify source count | we can pass spans as both src and dest | and we have getchars | so we have getstring that allocates a new string | getstring /getbytes overloads | basics | getmaxcharcount vs | decode.getcharcount | chunk processing with encoding.utf8.getdecoder | decoder getchars vs decoder.convert
S-010,7,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,enc-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Encoding basics: GetString/GetBytes/GetChars overloads, spans, allocation behavior, GetCharCount/GetMaxCharCount, buffer sizing, and when byte/char counts are known.",IU-010,b9e22eab17,41.308,1262.462,811.0,482.0,basics | getstring /getbytes overloads | so we dont need to specify source count | we can pass spans as both src and dest | and we have getchars | so we have getstring that allocates a new string | getmaxcharcount vs | decode.getcharcount | chunk processing with encoding.utf8.getdecoder | decoder getchars vs decoder.convert
S-012,8,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,enc-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Encoding basics: GetString/GetBytes/GetChars overloads, spans, allocation behavior, GetCharCount/GetMaxCharCount, buffer sizing, and when byte/char counts are known.",IU-012,b12ae2226f,1588.676,1530.637,811.0,482.0,so we dont need to specify source count | we can pass spans as both src and dest | and we have getchars | so we have getstring that allocates a new string | getstring /getbytes overloads | getmaxcharcount vs | decode.getcharcount | basics | decoder getchars vs decoder.convert | chunk processing with encoding.utf8.getdecoder
S-013,9,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,enc-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Encoding basics: GetString/GetBytes/GetChars overloads, spans, allocation behavior, GetCharCount/GetMaxCharCount, buffer sizing, and when byte/char counts are known.",IU-013,794d3a440f,2635.924,1698.97,710.0,482.0,so we dont need to specify source count | we can pass spans as both src and dest | and we have getchars | so we have getstring that allocates a new string | decoder getchars vs decoder.convert | decoder methods | getmaxcharcount vs | decode.getcharcount | getstring /getbytes overloads | chunk processing with encoding.utf8.getdecoder
S-014,10,ENC-R01-basics-getstring-getbytes-getchars-counts,ENC-R01,enc-r01-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"Encoding basics: GetString/GetBytes/GetChars overloads, spans, allocation behavior, GetCharCount/GetMaxCharCount, buffer sizing, and when byte/char counts are known.",IU-014,a50e63ebcf,52.5,1741.285,809.0,398.0,basics | getmaxcharcount vs | decode.getcharcount | getstring /getbytes overloads | so we dont need to specify source count | we can pass spans as both src and dest | and we have getchars | so we have getstring that allocates a new string | decoder getchars vs decoder.convert | !!!
