source_id,image_use,symbol_id,file_sha,x,y,width,height,candidate_region,status,notes
S-001,IU-001,image-e4c6a4eb7bc9aba545e84cfe4e636e385afcacee,4adbb60c8c,36.23956145500051,1145.8337591375348,891.0,278.0,R01,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-002,IU-002,image-2c226f7b2f8aa67b8412cab852e061c15a6ac34d,0f31a5591f,55.61438924866707,737.7984743615852,749.0,376.0,R01,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-003,IU-003,image-5606fdc269202ffbf69a814b7700ad31997bc898,c55aa8be0b,10.0,256.94057339970095,851.0,463.0,R01,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-004,IU-004,image-0f90b3fc939145e1c303d316e94746a5016225c4,66c1e5e8c9,4152.122033312979,2475.2216398766977,926.0,347.0,R04,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-005,IU-005,image-318543ff64e39b05679325c028c87f6df6ea0eac,2de072ee2f,4157.2409646745855,2045.4120870028055,691.0,399.0,R04,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-006,IU-006,image-8f711ccae0bb8005367beae36e8e64e6f023906d,4c3d91dba4,4169.145784708067,1814.8644098264995,591.0,182.0,R04,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-007,IU-007,image-37036b7ace38928692807ea85c6670ab29510fbe,f8e053143a,4112.987632567239,1329.4700355240275,814.0,482.0,R04,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-008,IU-008,image-29e8b5513cce67f62cfe4b965d2a969e75fdbed2,da8e4f5fa2,4090.145959094227,860.6500369190835,909.0,479.0,R04,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-009,IU-009,image-0201e45be05f4bad69c5d1a911bd95594a0119e1,c2675dbc6c,4055.1814236296923,381.85537110854784,766.0,463.0,R04,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-010,IU-010,image-7d809fb074141c64cd4b4ed9e522e627b572b960,fa61d9e08a,1178.6873705365176,1366.4976834922422,941.0,105.0,R02,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-011,IU-011,image-8bb1e2b4076d7d8b97978808f24346ce4262fda3,0b308dc279,1128.0056633277125,1135.6188549233343,990.0,191.0,R02,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-012,IU-012,image-102c86cecd1a301f2cfe20c7640e829fb53e71d8,5d83923449,1166.3389596700415,897.7249340248968,860.0,228.0,R02,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-013,IU-013,image-d2ae8635768c21071104826f2baf4ad24647430a,bc7ce78f07,1134.0813469214625,531.9673212763014,893.0,368.0,R02,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-014,IU-014,image-a1810189481b624650c53acf45dc4e32af0b3e3f,8c51ee96fa,1095.520722365354,217.2249340248968,878.0,309.0,R02,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-015,IU-015,image-49fcc1130d2dd8c6d264950313917d2267f67605,92b383f091,3104.103997617393,347.53705793008794,869.0,280.0,R03,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-016,IU-016,image-7624889a7e46a6ab29eaf02765ff10b8124e169a,630abb6a46,3207.6411377166028,1716.0803576658086,982.0,386.0,R03,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-017,IU-017,image-d6278b9e33323a2229f9e74942900a43fa0b3f98,158d27d65c,3169.9338779052964,1204.8937676445075,905.0,482.0,R03,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-018,IU-018,image-b808cb2bd75d6d45872d42f691e39d8b543e99e2,932ab83f51,3071.6259871262287,757.6107184945449,905.0,437.0,R03,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-019,IU-019,image-a0b627e0bd862e5b90564ad12fb49243a66f4240,513957ba5d,2121.8719178425567,711.3131941483316,850.0,401.0,R03,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
S-020,IU-020,image-ab51320453635275c16ced8cf333f4b32acbbb4b,bd96e15300,2054.2799130546287,275.2554131104571,998.0,407.0,R03,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect final coverage archive.
