text_node_id,text,x,y,font_size,region,is_empty,status
T-001,generic event handler with typed,3707.232561,452.483158,33.12820512820509,R01,False,verified
T-002,"arguments, so the handler that you",3707.232561,493.893415,33.12820512820509,R01,False,verified
T-003,subscribe to event must have args of this type,3707.232561,535.303671,33.12820512820509,R01,False,verified
T-004,the handler,4347.669506,1771.864826,20.0,R01,False,verified
T-005,u pass it here,3513.523525,1385.130216,20.0,R01,False,verified
T-006,and can get,3513.523525,1410.130216,20.0,R01,False,verified
T-007,something from,3513.523525,1435.130216,20.0,R01,False,verified
T-008,args if handler sets,3513.523525,1460.130216,20.0,R01,False,verified
T-009,somethig there,3513.523525,1485.130216,20.0,R01,False,verified
T-010,"action<int,string> and",6900.870523,4110.377159,59.99999999999995,R02,False,verified
T-011,equivalent custom delegate,6900.870523,4185.377159,59.99999999999995,R02,False,verified
T-012,!!!!,6875.796226,2988.946728,115.03031782670573,R02,False,verified
T-013,!!!!,9209.129661,4182.280163,115.03031782670573,R04,False,verified
T-014,basic event pattern,2369.391709,415.684573,115.67176231971165,R01,False,verified
T-015,event to cancel some,10.0,2099.067808,115.67176231971165,R01,False,verified
T-016,work pattern,10.0,2243.657511,115.67176231971165,R02,False,verified
T-017,subscribe/unsubscribe,1334.444478,2249.067808,115.67176231971165,R02,False,verified
T-018,anon lambda subscr,1517.787028,2902.590163,83.67176231971159,R02,False,verified
T-019,when you subscribe with,2701.787028,2081.701267,83.67176231971159,R01,False,verified
T-020,some class method,2701.787028,2186.29097,83.67176231971159,R02,False,verified
T-021,you keep this class,2701.787028,2290.880673,83.67176231971159,R02,False,verified
T-022,alive,2701.787028,2395.470376,83.67176231971159,R02,False,verified
T-023,events vs mediator/domain ev,3700.120387,2213.478619,74.33844933143031,R02,False,verified
T-024,in asp.net core,3700.120387,2306.40168,74.33844933143031,R02,False,verified
T-025,event exception behavior,4922.231339,2274.811993,74.33844933143031,R02,False,verified
T-026,can catch exception from handler,6004.759502,2219.698346,56.12201074072419,R02,False,verified
T-027,by wrapping the event raise,6004.759502,2289.85086,56.12201074072419,R02,False,verified
T-028,Action with params,5587.057072,4163.138333,56.12201074072419,R02,False,verified
T-029,Action vs Func,4576.908845,5795.693844,56.12201074072419,R03,False,verified
T-030,Action vs Predicate,5659.131033,5805.693895,56.12201074072419,R03,False,verified
T-031,ACTION,4660.880417,4187.024368,56.12201074072419,R02,False,verified
T-032,Built in delegates,4612.049182,4923.214859,56.12201074072419,R03,False,verified
T-033,problems with async,7049.08852,2172.301101,72.88390387688489,R04,False,verified
T-034,event handlers,7049.08852,2263.405981,72.88390387688489,R04,False,verified
T-035,example,8295.755303,2216.110654,72.88390387688489,R04,False,verified
T-036,when just need,9421.405879,1829.571051,72.88390387688489,R01,False,verified
T-037,some method lifecycle,9421.405879,1920.675931,72.88390387688489,R01,False,verified
T-038,callbacks being invoked,9421.405879,2011.78081,72.88390387688489,R01,False,verified
T-039,esp with awaiting,9421.405879,2102.88569,72.88390387688489,R04,False,verified
T-040,can use delegates,9421.405879,2193.99057,72.88390387688489,R04,False,verified
T-041,need to store lambda to,1573.787028,3230.590163,83.67176231971159,R02,False,verified
T-042,unscubscribe,1573.787028,3335.179866,83.67176231971159,R02,False,verified
T-043,event declar styles,4694.502712,478.573489,115.67176231971165,R01,False,verified
T-044,recommended :,5944.50261,111.906823,115.67176231971165,R01,False,verified
T-045,prot virtual method,5944.50261,256.496526,115.67176231971165,R01,False,verified
T-046,to override event rising,5944.50261,401.086228,115.67176231971165,R01,False,verified
T-047,naming conventions,1057.687879,521.462351,115.67176231971165,R01,False,verified
