image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,use_count,status
image-9a58d2d5f3e8d8065200e21a107066fe488f3341,b7012849f1b9.png,b7012849f1b96eb67ea585ce789f4a62dabcb0bf66ae9e67e434a2b3004a2fe2,b7012849f1b9,image/png,20350,822,146,RGBA,1,extracted
image-f0f4cf3cd3bef519e00140897b1ff47d00203c6a,1e24b886b6ae.png,1e24b886b6ae56bf41015b658306bffe1951f3df44e53715cbc84a3a6969939c,1e24b886b6ae,image/png,33869,838,276,RGBA,1,extracted
image-9c3e40f5d556d7ae3c78987c616fbb59ef9ef753,fc87fb3729fa.png,fc87fb3729fa4a6fa273871e321b631095b426c6af441086cf960d8c02d645b8,fc87fb3729fa,image/png,34199,758,313,RGBA,1,extracted
image-9d6815c769def8df1a9863f41f4642f14989e5a5,536641ac1e80.png,536641ac1e8036ea4cefeed48a0c92031201f4995015bffe1d9071da878a4fa4,536641ac1e80,image/png,57008,856,544,RGBA,1,extracted
image-f59fa0e8717e101e722e76e70b6b154f614a048c,92001764e20f.png,92001764e20feb5612402bbbdd0329c44e7eb0da5b4ee9ab6d73e92f0389661b,92001764e20f,image/png,52105,984,482,RGBA,1,extracted
image-3c37282676fd56ba06a958ad7e75ca2777f48c37,af0e26625fa0.png,af0e26625fa018ebaca8d3b93b0861f2bdd03202bd5351e521fed3b41f13a049,af0e26625fa0,image/png,39455,801,469,RGBA,1,extracted
image-414e8802667f012142bce95b96e7ced464a199d7,339d830d7edb.png,339d830d7edbb51424a849f29d1ba22358d652af53a969032a1709164162a265,339d830d7edb,image/png,30481,816,271,RGBA,1,extracted
image-3cf7263f1cf73517abae3dd215bb09f30693efe7,fc9af0c29c20.png,fc9af0c29c204fcc35bb8812fe1b2c250d93d72fc9e8d8b321ac5332d90f535f,fc9af0c29c20,image/png,34269,805,448,RGBA,1,extracted
image-e4907ac42150eb59e211d979731ba08873137b12,331b7ff5a106.png,331b7ff5a106ed76d1fc5963dfea577d6dae575463cb2f1c48c5ed444239726f,331b7ff5a106,image/png,34249,862,334,RGBA,1,extracted
image-efc7d800fecfc60d698347fdfe7268549f6ad125,9266ed0e69ac.png,9266ed0e69acb583f02ccf68abe14f5f94c2c9bdb6fac56bffbee2dc6f10d8e7,9266ed0e69ac,image/png,34217,809,273,RGBA,1,extracted
image-56e99ccad7c07e629e2d5dd10ac6615270aee6a5,cbd0987519b5.png,cbd0987519b5d6f7815e2f9bffd4b4f20e25d68257ba6c04f9ac104eb8f89a2a,cbd0987519b5,image/png,48547,811,535,RGBA,1,extracted
image-24ef28420707d79ccfbf64e33850b741f0b64c19,d7eaa7d86843.png,d7eaa7d8684338746ae5535d16c0243648c67826d9d5cf3e16cda9bfbc35112e,d7eaa7d86843,image/png,34104,854,289,RGBA,1,extracted
image-a71d70a4a561e28c3b696d6f9416e11af2b63c65,5b49dadc0a99.png,5b49dadc0a99b60529b3b6f06ed044433642a2f2840fc842597ea47a6e077b20,5b49dadc0a99,image/png,16512,835,219,RGBA,1,extracted
image-bd869a396e480c9a07219eeb5cc273ce7f46b5d4,916c3b86e508.png,916c3b86e508e5065dfe841fa05ae6b4757748a62434cc57dec4248f61da6722,916c3b86e508,image/png,31346,812,483,RGBA,1,extracted
image-5c91cab0a0fe56e5e926580f53111e45a56b9c95,4603dbc44eb3.png,4603dbc44eb31234a619f3dc232566a97240f97f1b77a00ea5aa0ac18f954f0e,4603dbc44eb3,image/png,25485,753,365,RGBA,1,extracted
image-955526008e3100535ba879fc9b2e2dda2307a3c9,586a3345503a.png,586a3345503a20cd98a340b660cc5d55ac7d17f1010fc6b93df2deb3337eb8ab,586a3345503a,image/png,46489,646,416,RGBA,1,extracted
