use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status,transcript_file,authoritative_transcript
IU-001,image-955526008e3100535ba879fc9b2e2dda2307a3c9,586a3345503a.png,586a3345503a,R01,1302.6539094543841,105.7460382677782,775.0,499.0,1.0,,T-001|T-002,EXPANDOOBJECT PERSONAL SHEET|!!!,closed,01-transcript-R01-expandoobject-fundamentals-and-shapedata-flow.md,05-full-combined-final-transcript.md
IU-002,image-5c91cab0a0fe56e5e926580f53111e45a56b9c95,4603dbc44eb3.png,4603dbc44eb3,R01,1313.5456344808736,668.2206389988205,753.0,365.0,1.0,,T-001|T-002,EXPANDOOBJECT PERSONAL SHEET|!!!,closed,01-transcript-R01-expandoobject-fundamentals-and-shapedata-flow.md,05-full-combined-final-transcript.md
IU-003,image-bd869a396e480c9a07219eeb5cc273ce7f46b5d4,916c3b86e508.png,916c3b86e508,R01,1330.7686704695434,1061.0220001360794,633.0,376.0,1.0,,T-001|T-002,EXPANDOOBJECT PERSONAL SHEET|!!!,closed,01-transcript-R01-expandoobject-fundamentals-and-shapedata-flow.md,05-full-combined-final-transcript.md
IU-004,image-a71d70a4a561e28c3b696d6f9416e11af2b63c65,5b49dadc0a99.png,5b49dadc0a99,R03,1267.3700688822755,1465.8137176653763,835.0,219.0,1.0,,T-001|T-002,EXPANDOOBJECT PERSONAL SHEET|!!!,closed,03-transcript-R03-dynamic-access-json-serialization-and-semantic-intent.md,05-full-combined-final-transcript.md
IU-005,image-24ef28420707d79ccfbf64e33850b741f0b64c19,d7eaa7d86843.png,d7eaa7d86843,R03,1258.891650236029,1756.1016587874656,854.0,289.0,1.0,,T-002|T-001,!!!|EXPANDOOBJECT PERSONAL SHEET,closed,03-transcript-R03-dynamic-access-json-serialization-and-semantic-intent.md,05-full-combined-final-transcript.md
IU-006,image-56e99ccad7c07e629e2d5dd10ac6615270aee6a5,cbd0987519b5.png,cbd0987519b5,R03,1321.8805388225037,2074.173087358895,652.0,430.0,1.0,,T-002|T-001,!!!|EXPANDOOBJECT PERSONAL SHEET,closed,03-transcript-R03-dynamic-access-json-serialization-and-semantic-intent.md,05-full-combined-final-transcript.md
IU-007,image-efc7d800fecfc60d698347fdfe7268549f6ad125,9266ed0e69ac.png,9266ed0e69ac,R03,1284.2487494966308,2561.244472333783,809.0,273.0,1.0,,T-002|T-001,!!!|EXPANDOOBJECT PERSONAL SHEET,closed,03-transcript-R03-dynamic-access-json-serialization-and-semantic-intent.md,05-full-combined-final-transcript.md
IU-008,image-e4907ac42150eb59e211d979731ba08873137b12,331b7ff5a106.png,331b7ff5a106,R04,1265.3677680513192,2886.9349630564393,862.0,334.0,1.0,,T-002|T-001,!!!|EXPANDOOBJECT PERSONAL SHEET,closed,04-transcript-R04-anonymous-types-comparison-and-final-guidance.md,05-full-combined-final-transcript.md
IU-009,image-3cf7263f1cf73517abae3dd215bb09f30693efe7,fc9af0c29c20.png,fc9af0c29c20,R04,1292.8967859084623,3311.315944501752,773.0,430.0,1.0,,T-002|T-001,!!!|EXPANDOOBJECT PERSONAL SHEET,closed,04-transcript-R04-anonymous-types-comparison-and-final-guidance.md,05-full-combined-final-transcript.md
IU-010,image-414e8802667f012142bce95b96e7ced464a199d7,339d830d7edb.png,339d830d7edb,R04,1282.6535695301136,3792.720677342154,816.0,271.0,1.0,,T-002|T-001,!!!|EXPANDOOBJECT PERSONAL SHEET,closed,04-transcript-R04-anonymous-types-comparison-and-final-guidance.md,05-full-combined-final-transcript.md
IU-011,image-3c37282676fd56ba06a958ad7e75ca2777f48c37,af0e26625fa0.png,af0e26625fa0,R04,1323.4573202901256,4127.506435224408,734.0,430.0,1.0,,T-002|T-001,!!!|EXPANDOOBJECT PERSONAL SHEET,closed,04-transcript-R04-anonymous-types-comparison-and-final-guidance.md,05-full-combined-final-transcript.md
IU-012,image-f59fa0e8717e101e722e76e70b6b154f614a048c,92001764e20f.png,92001764e20f,R02,364.61875508213416,900.1211831047622,614.0,301.0,1.0,,T-002|T-001,!!!|EXPANDOOBJECT PERSONAL SHEET,closed,02-transcript-R02-idictionary-interface-and-why-dictionary-is-also-valid.md,05-full-combined-final-transcript.md
IU-013,image-9d6815c769def8df1a9863f41f4642f14989e5a5,536641ac1e80.png,536641ac1e80,R02,262.05050743064294,1225.5226414640056,759.0,482.0,1.0,,T-002|T-001,!!!|EXPANDOOBJECT PERSONAL SHEET,closed,02-transcript-R02-idictionary-interface-and-why-dictionary-is-also-valid.md,05-full-combined-final-transcript.md
IU-014,image-9c3e40f5d556d7ae3c78987c616fbb59ef9ef753,fc87fb3729fa.png,fc87fb3729fa,R02,243.67512246267142,1743.546477257527,758.0,313.0,1.0,,T-002|T-001,!!!|EXPANDOOBJECT PERSONAL SHEET,closed,02-transcript-R02-idictionary-interface-and-why-dictionary-is-also-valid.md,05-full-combined-final-transcript.md
IU-015,image-f0f4cf3cd3bef519e00140897b1ff47d00203c6a,1e24b886b6ae.png,1e24b886b6ae,R02,188.29041317781684,2089.225901836853,838.0,276.0,1.0,,T-002|T-001,!!!|EXPANDOOBJECT PERSONAL SHEET,closed,02-transcript-R02-idictionary-interface-and-why-dictionary-is-also-valid.md,05-full-combined-final-transcript.md
IU-016,image-9a58d2d5f3e8d8065200e21a107066fe488f3341,b7012849f1b9.png,b7012849f1b9,R02,196.29041317781594,2393.2003234113727,822.0,146.0,1.0,,T-002|T-001,!!!|EXPANDOOBJECT PERSONAL SHEET,closed,02-transcript-R02-idictionary-interface-and-why-dictionary-is-also-valid.md,05-full-combined-final-transcript.md
