use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-a54d08f074e2653680e7bcc8f54f05e49761ee45,3c874bf14e3f.png,3c874bf14e3f,R01,63.57568359375,903.0980576724098,784.0,210.0,1.0,,T-001|T-002|T-003,"YAHOOYEU|EXPLICIT INTERFACE IMPLEMENTATION SHEET, OI OI OI|why, when",pending_transcript
IU-002,image-93a6866bdaca10340d3e1073d03b66e8b36b8392,4cb922a9fccb.png,4cb922a9fccb,R02,93.18594380455397,1210.5781713087702,601.0,482.0,1.0,,T-001|T-002|T-003,"YAHOOYEU|EXPLICIT INTERFACE IMPLEMENTATION SHEET, OI OI OI|why, when",pending_transcript
IU-003,image-c1aa066d42420b07485e1989264b4c72a4747d96,77c9a16f7a34.png,77c9a16f7a34,R02,10.0,1762.1586822285092,736.0,184.0,1.0,,T-001|T-002|T-003,"YAHOOYEU|EXPLICIT INTERFACE IMPLEMENTATION SHEET, OI OI OI|why, when",pending_transcript
IU-004,image-e3812b8ceb15dc790700ec396019744d7b2ec6b1,e0a86e69a3d8.png,e0a86e69a3d8,R01,41.04545454545496,443.97688762846815,813.0,270.0,1.0,,T-001|T-002|T-003,"YAHOOYEU|EXPLICIT INTERFACE IMPLEMENTATION SHEET, OI OI OI|why, when",pending_transcript
IU-005,image-f48696578890b484907c99d30adb0b5430bca249,cea404b4201d.png,cea404b4201d,R01,1516.85076743035,360.51037488664883,787.0,482.0,1.0,,T-003|T-001|T-002,"why, when|YAHOOYEU|EXPLICIT INTERFACE IMPLEMENTATION SHEET, OI OI OI",pending_transcript
IU-006,image-faef3d5078e91ff5b4674bf696ec89288e9ecb86,9780eb417a17.png,9780eb417a17,R02,1516.576154709021,851.6666248866488,874.0,310.0,1.0,,T-003|T-001|T-002,"why, when|YAHOOYEU|EXPLICIT INTERFACE IMPLEMENTATION SHEET, OI OI OI",pending_transcript
IU-007,image-f05477735002d6c26afbddc34e7624b07ff6db98,edf1e9262dda.png,edf1e9262dda,R02,1514.576154709021,1167.6665485927035,828.0,358.0,1.0,,T-003|T-001|T-002,"why, when|YAHOOYEU|EXPLICIT INTERFACE IMPLEMENTATION SHEET, OI OI OI",pending_transcript
IU-008,image-8d8504cf546240cb553d2846a2f7a0dd27af271d,88d508469ff0.png,88d508469ff0,R02,1534.429468726213,1530.5103748866488,702.0,482.0,1.0,,T-003|T-001|T-002,"why, when|YAHOOYEU|EXPLICIT INTERFACE IMPLEMENTATION SHEET, OI OI OI",pending_transcript
IU-009,image-b49f332ce195b1558e0da71721b84e6df02cbc9c,bfa55e7776ba.png,bfa55e7776ba,R02,1521.7427196504273,2025.999907357352,837.0,178.0,1.0,,T-003|T-001|T-002,"why, when|YAHOOYEU|EXPLICIT INTERFACE IMPLEMENTATION SHEET, OI OI OI",pending_transcript
IU-010,image-ae6db0a3f40bfa055f0fd90a522beed6ef964dd5,4acbd8699ff4.png,4acbd8699ff4,R02,1523.464489210795,2168.843733651297,704.0,482.0,1.0,,T-001|T-003|T-002,"YAHOOYEU|why, when|EXPLICIT INTERFACE IMPLEMENTATION SHEET, OI OI OI",pending_transcript
IU-011,image-ec0760500b6fd0ef9991a3cd2f6de64e4e83110c,60d30dd13400.png,60d30dd13400,R03,1487.0760021211304,2664.4999073573517,903.0,311.0,1.0,,T-001|T-003|T-002,"YAHOOYEU|why, when|EXPLICIT INTERFACE IMPLEMENTATION SHEET, OI OI OI",pending_transcript
IU-012,image-558cff91c50318f4954d105739dc60c17d70f469,b9534530b23f.png,b9534530b23f,R03,1487.7425670625366,2978.8333424159455,865.0,299.0,1.0,,T-001|T-003|T-002,"YAHOOYEU|why, when|EXPLICIT INTERFACE IMPLEMENTATION SHEET, OI OI OI",pending_transcript
