source_id,image_use_id,symbol_id,sha256,sha1,x,y,width,height,pixel_width,pixel_height,region_id,previously_present,restored,coverage_status,assignment_count,asset_path,evidence
S-001,IU-001,image-cf2ee1745640bce17769605fb286536993b505f1,e22ceffc6f07f38ecd3bcc46638bf34ecd80d5ab9230f59c612383d789210de2,dd26655d722de1999b8a7aa8be0df538c33c8543,2227.6141540299877,1046.729369203691,838.0,209.0,838,209,R01,True,False,processed-semantic-transcript,1,assets/source-images-complete-v002/S-001__e22ceffc6f.png,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
S-002,IU-002,image-74198633188b91d3d1287c41fe52c310b6dfeed8,b50df11299b96bcaa7e2aa06595f57acc390e59cc3911da81259fe2a6f278f58,8c5ace9f4d44a85aadd40edf29d9b306f355d414,1168.4880362429813,1078.3056188600967,960.0,430.0,960,430,R01,True,False,processed-semantic-transcript,1,assets/source-images-complete-v002/S-002__b50df11299.png,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
S-003,IU-003,image-1442f15f8ad747800b3772d841365a7308552402,6372d9ff2396e3c9f1f8a5903aec15ff513153d1fef52e309786e8c15339fe33,f26e1b7db09ea2087a970f69d8dbf5f8a52bcbd5,3425.2252697661133,1110.2354418321847,833.0,418.0,833,418,R01,True,False,processed-semantic-transcript,1,assets/source-images-complete-v002/S-003__6372d9ff23.png,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
S-004,IU-004,image-b571fc93fa14169bba813a2b9c53059f49bbde9b,caad7a88cf42ddf4ca270d96f35f8b9648e05d415a9cc875e48f6ac1d1ed8b02,7804ac36534a72d1afe1fd6f8e29e5e252141a6f,2244.2938298278887,1252.118590844948,665.0,254.0,933,356,R01,True,False,processed-semantic-transcript,1,assets/source-images-complete-v002/S-004__caad7a88cf.png,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
S-005,IU-005,image-06fe7ea8d0af0d542e7a4a91ca9582427796dc7f,3d77736ad83eba005931e891f4157159a49ccd2b590b5846238616d6e91235ee,2195e76bbfb4412556d930367b63bb1118c25849,33.10148407519591,1490.6345439738288,966.0,482.0,981,490,R01,True,False,processed-semantic-transcript,1,assets/source-images-complete-v002/S-005__3d77736ad8.png,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
S-006,IU-006,image-5f3b130830c76acf21273f376d9ecbbdfd93d8e1,3f558f9e7662c2f763b02586acb9c13980adba3b531715a7ed225ae76332e62a,4c1b9e88edc0810404f20088454d9dfa2e07842c,1195.8859353359512,1591.3119393122324,767.0,124.0,767,124,R01,True,False,processed-semantic-transcript,1,assets/source-images-complete-v002/S-006__3f558f9e76.png,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
S-007,IU-007,image-11c2c536aebde7decb4ac927bbb024bcad7c7f51,852542d67af953d929ab8f34f7f324ce0bf3a0909a9d179f323ff6c086348cbd,df57ae401f3c01a59db9aeac06c45ea627a09086,2264.0501394397434,1636.8690462925806,772.0,355.0,1206,554,R01,True,False,processed-semantic-transcript,1,assets/source-images-complete-v002/S-007__852542d67a.png,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
S-008,IU-008,image-022046bc2896e806af78a5569606c1f3ee9938c8,bf4acac48dc580e2264ff032d1408aed3cc6daae035db3490bc2c2e403acaac0,7cc71102ad18e0d365ae2e513ed28b789608cb6f,1208.5008725383395,1833.388571100717,733.0,482.0,997,656,R01,True,False,processed-semantic-transcript,1,assets/source-images-complete-v002/S-008__bf4acac48d.png,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
S-009,IU-009,image-fd3a0c5a43c7e95d1c310afcf1157e6159cbe382,66a66bd8901f46a51b9ab504bd83f545af85451fe578bcf882dedf752a0873be,a455ceba74b8362946a6a631cac3f3199daa0cd5,21.21408716974838,1997.4521067741298,895.0,357.0,895,357,R01,True,False,processed-semantic-transcript,1,assets/source-images-complete-v002/S-009__66a66bd890.png,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
S-010,IU-010,image-db9c65bbe3649f64ab307aae35443322beac1e39,5a2027fcfd7e7581065265d8af25834ed01f7dc64e270a2ab0684fe448df4b19,100e3a1bb6429aae61e54dae58012afd313c1c98,2197.7692839276133,2005.859716753097,1011.0,482.0,1048,500,R01,True,False,processed-semantic-transcript,1,assets/source-images-complete-v002/S-010__5a2027fcfd.png,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
