placement_id,canonical_source_id,image_sha256,width,height,duplicate_placement,duplicate_of,region_file,source_transcript,recall_questions,status
S-001,S-001,6ea147b9ed86b8c615ef29903a66d52a5e7115a135c0b28e498c2acf2749eb87,939,294,no,,R01-core-concepts-keys-flow-and-security.md,complete,complete,complete
S-002,S-002,13e1e2057404d498978d76a5b15028b993c051ba3db0ea1869c83aa2eff01cc7,899,234,no,,R01-core-concepts-keys-flow-and-security.md,complete,complete,complete
S-003,S-003,d041c43a59a186118a12cde02b91d7662eb9af1170f78d7dcf07ab24d27ea73e,901,250,no,,R01-core-concepts-keys-flow-and-security.md,complete,complete,complete
S-004,S-004,80690b19d3bf7ccd778b18cbc7d275176992aedb2b4616b7997549dd6e92c78a,866,297,no,,R01-core-concepts-keys-flow-and-security.md,complete,complete,complete
S-005,S-005,5515cd159593e67e2c214a3b95aa7576a0fc893c77d18d443fed0660955b2878,834,547,no,,R02-aspnet-core-v2-controller-service-and-razor.md,complete,complete,complete
S-006,S-006,8babc55e6a67e8bf596da2a09997efd482efa066ab33341351bc7db5d2c0307c,817,570,no,,R02-aspnet-core-v2-controller-service-and-razor.md,complete,complete,complete
S-007,S-007,78a0d2d5e477ce04e32cdad10fdc4de60375ae2215cb4627f8b5bbf92835dcb8,919,481,no,,R02-aspnet-core-v2-controller-service-and-razor.md,complete,complete,complete
S-008,S-008,42b9f3c04cca7e54b2b6a12b6b99b422b709cee49275cec8f8f1a02e76f3ecbe,931,211,no,,R02-aspnet-core-v2-controller-service-and-razor.md,complete,complete,complete
S-009,S-009,2a6928a340a8f580ba5fd98a52bf03dafefa0fb9adfc4322e4ecc626e91e87fc,901,266,no,,R02-aspnet-core-v2-controller-service-and-razor.md,complete,complete,complete
S-010,S-010,b1184ea9419790dc3eba16c9041debd9460523a44cc634fa8e20bd63ced026b5,907,473,no,,R02-aspnet-core-v2-controller-service-and-razor.md,complete,complete,complete
S-011,S-011,73c438e6d7963b17184a5d63d11c77aa3f5f4d398389638eb3b4f1f7aa3a5683,907,574,no,,R02-aspnet-core-v2-controller-service-and-razor.md,complete,complete,complete
S-012,S-012,66494ae90c3898a8e0cdaeabd95b2bfaf4249b410370c595ee97632436b63af9,919,389,no,,R02-aspnet-core-v2-controller-service-and-razor.md,complete,complete,complete
S-013,S-013,2abc92a97e676750b0737d1fb8f0fb262338a60d0aea9e4323b7af33a801f50b,968,584,no,,R02-aspnet-core-v2-controller-service-and-razor.md,complete,complete,complete
S-014,S-014,f16ab9e8e9261a6446a6c8507a4637c3f47bbd6dbae64f13e00660cacb8a022f,932,373,no,,R02-aspnet-core-v2-controller-service-and-razor.md,complete,complete,complete
S-015,S-015,b50df11299b96bcaa7e2aa06595f57acc390e59cc3911da81259fe2a6f278f58,960,430,no,,R02-aspnet-core-v2-controller-service-and-razor.md,complete,complete,complete
S-016,S-016,5db136f06f55f9d456532ebc7048708863863bf850aa4e18d2441d2bd0e74364,989,167,no,,R02-aspnet-core-v2-controller-service-and-razor.md,complete,complete,complete
S-017,S-017,03045fa5b118184dc08637c39fec7f4cd52f2a0a9d592ceb510081e814996554,877,241,no,,R01-core-concepts-keys-flow-and-security.md,complete,complete,complete
S-018,S-018,04178a861089e5b04ab0f5859d76f261d177b634b25da2adc956bf806294415c,787,361,no,,R01-core-concepts-keys-flow-and-security.md,complete,complete,complete
S-019,S-019,d825fe9d05eabb188135638312bfe45ccb65a40fc1e40ed76f52e9c0f97fe89a,968,311,no,,R03-react-v2-checkbox-package-and-explicit-render.md,complete,complete,complete
S-020,S-020,94ce10e0918e8d045f163160a0c9e68baca491122a02d94205fbfd76469028b0,911,306,no,,R03-react-v2-checkbox-package-and-explicit-render.md,complete,complete,complete
S-021,S-021,b0fe47013eb7141ebeb1bbce8c222fb38d9868512b7f87239c40ce870d004790,854,352,no,,R03-react-v2-checkbox-package-and-explicit-render.md,complete,complete,complete
S-022,S-022,4aea2e2fa63232495df23857b9f4c1855fa13f8478f2a13c60a5fd178510c903,954,611,no,,R03-react-v2-checkbox-package-and-explicit-render.md,complete,complete,complete
S-023,S-023,9b4cfd2d85297dfbffa896126166a1f33055145f62d30957fdfdd4664e2a746c,1000,295,no,,R03-react-v2-checkbox-package-and-explicit-render.md,complete,complete,complete
S-024,S-024,259e4b37f043c01a53b47aee56b006180074434fc953f7c7bb2f60a974b2a225,618,230,no,,R03-react-v2-checkbox-package-and-explicit-render.md,complete,complete,complete
S-025,S-025,8e907c819e8942cc752871656b2928b574039b4fffe44b567244986cc9d48ffd,958,456,no,,R03-react-v2-checkbox-package-and-explicit-render.md,complete,complete,complete
S-026,S-026,9cb8212fec26eb1925c0a677503a8282eeed6373450fe6e4ae02f862b4122e0d,869,227,no,,R03-react-v2-checkbox-package-and-explicit-render.md,complete,complete,complete
S-027,S-027,7688090cbceae984b15c3997f9a47d001c734afc409f52d22a31e87c9aa3d0e4,943,322,no,,R03-react-v2-checkbox-package-and-explicit-render.md,complete,complete,complete
S-028,S-028,a67aa7f60ac5a5552e210b67a6776925527e65232cea51767c93fe1cb482ff58,758,464,no,,R03-react-v2-checkbox-package-and-explicit-render.md,complete,complete,complete
S-029,S-029,58da274377c94aee4a75b1ad8529c7b9513b087250a02fb1bb4e1086e7ed5151,798,428,no,,R03-react-v2-checkbox-package-and-explicit-render.md,complete,complete,complete
S-030,S-030,ca55b560277afdbed15b46130909c451a7d90dd26a31bbbc51db2b947a7b4cb2,912,552,no,,R03-react-v2-checkbox-package-and-explicit-render.md,complete,complete,complete
S-031,S-031,dddb9c95c7d19281bde69746b428205a4d72f4cbcc53679b9b1d2f2bfb28bb6c,894,548,no,,R03-react-v2-checkbox-package-and-explicit-render.md,complete,complete,complete
S-032,S-032,a1ca59772de95a0808d7a0e5c7cd488d78337fbc1935a01af910cd0a1036c0a6,831,501,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-033,S-033,c48f56c79536ef6b610bfb2970f2da79f2fada633f85648298f9483163d3692c,949,658,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-034,S-034,68d98c67f99cc3aa6f4cd4903cdc3c748add001c4d1568bf34c783d780edb034,924,541,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-035,S-035,f8f00dcc8b0e5ad7aad1a6fa24753fb044db04411a8debb69807422b537d7f19,918,472,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-036,S-036,5d28f1c00142c8f9c46e34f98ad67e8cc4e0b0d6ca3d3b847b10590cd9eff4a0,799,91,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-037,S-037,478bc9aa4809f7ea1cfb326d90ecf18cd9c103dbf78605696836840d181eadd3,911,468,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-038,S-038,7c515874d16253ec0b679bc031d236c4e420726fe627a290f25c7781ed671b3f,740,252,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-039,S-039,56274f9ca35dd91b08802cd57ff93423fa52d83a36a13825899466ca29885b0d,894,284,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-040,S-040,57c1b2cfbfabb8506fbce905413f95352f4755ba1d50ef89b08707be5f07ed92,892,187,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-041,S-041,d8f0f557ad6613ce726990571d0e72ed6f9a2b5275dc4a64d78ee8e2495252e7,283,101,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-042,S-042,94d4a092e9323732b52cbc92682087b3214342e68b576539b6d7f53495619941,173,78,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-043,S-043,91fe7522f06d93bf0ab8d87b2a4fe76ea9bfd2476a1f6f61427bd84f693aabb9,414,122,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-044,S-044,c12795d74f11519422cb1db4edae98e346ca5c89296f6a3b8e54a5f217f5165b,886,417,no,,R05-react-v3-custom-hook-and-package.md,complete,complete,complete
S-045,S-045,8044cbf5148aabcfc415d0b531dcd5ffea49be4fe8867bce01284c1fec8dadd8,742,244,no,,R05-react-v3-custom-hook-and-package.md,complete,complete,complete
S-046,S-046,e5973a7cb3053fb5e21eea703606f15f52b0d628592a72bced180da91f1eab91,817,515,no,,R05-react-v3-custom-hook-and-package.md,complete,complete,complete
S-047,S-047,300c24725524b49c4949f399dcf854e1e89d4bc3aa246b2823dec9d33724daa6,755,586,no,,R05-react-v3-custom-hook-and-package.md,complete,complete,complete
S-048,S-048,6ab59db57e2eef696a22246079c8097c04278aab326284368086deb5bc11db4c,900,459,no,,R05-react-v3-custom-hook-and-package.md,complete,complete,complete
S-049,S-049,d2636b41fcb3fef7b3f40a89c0f1e891f732d4aa2dea8a000284bbbbcb2b5284,938,580,no,,R05-react-v3-custom-hook-and-package.md,complete,complete,complete
S-050,S-050,70e3a9bac6ccb8f1a1e0eaaea91181a2da42ee11889ade9f2554de990237f925,921,557,no,,R05-react-v3-custom-hook-and-package.md,complete,complete,complete
S-051,S-051,02e2ca202fb393a707fc27be395c24b1b06c06f919054746e20ced51b2b48b82,941,536,no,,R05-react-v3-custom-hook-and-package.md,complete,complete,complete
S-052,S-052,05d0127e2a3323d799351b186217e23c5db195a0879855559535557603e231a4,912,568,no,,R05-react-v3-custom-hook-and-package.md,complete,complete,complete
S-053,S-053,4c32c3538b0c95ea55e08ee0f4849c766ee40b1da4145267ff1731d8dccebac5,1047,189,no,,R05-react-v3-custom-hook-and-package.md,complete,complete,complete
S-054,S-054,abe8a0b1704689201189cff40fd48cdb80514be79b70d5a91e209a5d5d349f72,950,226,no,,R06-remoteip-forwarded-headers-hostname-action-and-score.md,complete,complete,complete
S-055,S-055,35635aea956edeb8cdcd276dd444c435aa346b9722633cf224f0b6b46d00c0d5,979,545,no,,R06-remoteip-forwarded-headers-hostname-action-and-score.md,complete,complete,complete
