source_id,image_use,href,x,y,width,height,pixel_width,pixel_height,asset_sha1,region,transcript,review_status,review_basis,audit_filename
S-001,U-001,image-8edc896b13c6073f59019d0ecd6c8566aed48eeb,5980.3153725940065,1798.602215816437,826.0,323.0,826,323,5dc45c359a61683cbf69aa4307942bccb9a5134e,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-001__image-8edc896b13c6073f59019d0ecd6c8566aed48eeb__5dc45c359a61.png
S-002,U-002,image-8043c2a826091c55f10b3618d3dcf08db7615179,5991.351383336194,1396.9131559850603,694.0,420.0,694,420,647c900199c785147be2356f83a4b130289906bb,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-002__image-8043c2a826091c55f10b3618d3dcf08db7615179__647c900199c7.png
S-003,U-003,image-36469211936fd8745ba43920d059a77da35bab3e,5936.732277588426,940.1037774973329,948.0,446.0,948,446,75368d5d3b3dec0dad64246bd1e7355872b627f0,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-003__image-36469211936fd8745ba43920d059a77da35bab3e__75368d5d3b3d.png
S-004,U-004,image-f4cc7711b41c326e3d041bdb280a6a9159abced1,10675.611308351097,2939.1254294886267,931.0,364.0,931,364,265d1046293de96faca1a1dd1ead35fab21c9cb5,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-004__image-f4cc7711b41c326e3d041bdb280a6a9159abced1__265d1046293d.png
S-005,U-005,image-add27592cc95d639653c19cecad33bd0ea50bdc5,10663.246318116722,2461.427053605071,909.0,462.0,909,462,acdd9087aeb61bf7301dccceb7cac0815c16c08a,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-005__image-add27592cc95d639653c19cecad33bd0ea50bdc5__acdd9087aeb6.png
S-006,U-006,image-1d40356c837bbc0e54cd3712d4b26ed753433003,10619.508281007347,2004.855712226733,886.0,438.0,886,438,3b1422a67323cf74d9924d6b96aa1971754fc7c5,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-006__image-1d40356c837bbc0e54cd3712d4b26ed753433003__3b1422a67323.png
S-007,U-007,image-9bb859c70a15140e6b14ac2421ba0545555c23b1,10619.508280755115,1652.8080350503978,794.0,304.0,794,304,3fdd6cac1720518f0ee42f9b64595a9828277878,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-007__image-9bb859c70a15140e6b14ac2421ba0545555c23b1__3fdd6cac1720.png
S-008,U-008,image-164d1a483053ce5e9df2d5c72446a64a073ce552,10597.452135461735,1162.8983765314433,714.0,482.0,931,629,fef992445d028fb5db1533940555e2c87ae013b1,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-008__image-164d1a483053ce5e9df2d5c72446a64a073ce552__fef992445d02.png
S-009,U-009,image-82dd591ee361434391943c6f8d3ad9cab55166f6,7698.924687409404,3754.844221470713,884.0,202.0,884,202,8a8b8cd5e8684fa9459c6aa4ff0c72a0401546c6,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-009__image-82dd591ee361434391943c6f8d3ad9cab55166f6__8a8b8cd5e868.png
S-010,U-010,image-941a8ec681bfbf9dfbb0e1fc588fde2959b6f857,7701.8531498466255,3422.272618513128,921.0,310.0,921,310,31779d459a82c5266aaebc4b4e1d82c080ba98a3,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-010__image-941a8ec681bfbf9dfbb0e1fc588fde2959b6f857__31779d459a82.png
S-011,U-011,image-aa851cad3d796e94c12db2bad5ba8bfe3cf09bb8,7679.488184316957,2993.772618513128,917.0,397.0,917,397,854d1a3fe2c9a10275d6a5aa1c402789427ba58b,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-011__image-aa851cad3d796e94c12db2bad5ba8bfe3cf09bb8__854d1a3fe2c9.png
S-012,U-012,image-7d3da1fa05947bb28a20fa3a0bc0c371bbe8f7d2,7670.573797619904,2504.449650983831,844.0,482.0,864,494,ebf6c0495d97e1db4915378d3773586309aad295,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-012__image-7d3da1fa05947bb28a20fa3a0bc0c371bbe8f7d2__ebf6c0495d97.png
S-013,U-013,image-5c38cfdfa46f157f643bb84b0d62f2eafc828590,7680.015011950993,2005.4814194193546,708.0,482.0,916,624,b80134e88efbbd86130066c1465b7254c708dcf0,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-013__image-5c38cfdfa46f157f643bb84b0d62f2eafc828590__b80134e88efb.png
S-014,U-014,image-3131705ab79a5a5a3792b4a0cec8465d9551769c,7693.670397761598,1535.5977374749446,635.0,482.0,911,692,5678bba156120100a1178c37d2cc414dae39fbb3,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-014__image-3131705ab79a5a5a3792b4a0cec8465d9551769c__5678bba15612.png
S-015,U-015,image-b2f0d86f112d47f7001a10770f8beec907db60d3,7593.998002566062,1133.6216670433741,930.0,392.0,930,392,066c7167ad649847f98d997ffcb9cf6c70120b6f,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-015__image-b2f0d86f112d47f7001a10770f8beec907db60d3__066c7167ad64.png
S-016,U-016,image-c3a04a88a8701a60291b92816a7594b2929c5b8b,10658.065992672811,3782.6892975746987,998.0,444.0,998,444,93bffac97a79f7c5f8c807fca7d3a66659f68381,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-016__image-c3a04a88a8701a60291b92816a7594b2929c5b8b__93bffac97a79.png
S-017,U-017,image-32ec1173cb9d015eaae64af0a600f2ebf836cc6b,10624.893192328522,4234.801333063252,974.0,474.0,974,474,35f79515afaaba772bef8538eb22f1258526a6b8,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,visual inspection of extracted screenshot plus canvas context,S-017__image-32ec1173cb9d015eaae64af0a600f2ebf836cc6b__35f79515afaa.png
S-018,U-018,image-7d032e6a894473154e020a2b6fb80ad8e665a869,1057.962054358566,1799.7657381119743,993.0,367.0,993,367,85d0de957b4f7513d33ee78808ae553b36126dfb,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,visual inspection of extracted screenshot plus canvas context,S-018__image-7d032e6a894473154e020a2b6fb80ad8e665a869__85d0de957b4f.png
S-019,U-019,image-0c3eb3672920c0fff906c8513ac0e2cc830425c0,1067.4433674282282,1289.0249459434517,977.0,471.0,977,471,2630aac2e5cf41cafac9160b6d21602b9f2a141f,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,visual inspection of extracted screenshot plus canvas context,S-019__image-0c3eb3672920c0fff906c8513ac0e2cc830425c0__2630aac2e5cf.png
S-020,U-020,image-8ff6d0d78bcdb049ac3c4fcdd03eacacd49d38c3,1055.6851327993481,807.813148865006,929.0,482.0,950,493,9541c97e4a1d8e5bc8585b6bbb900f454c476aa3,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,visual inspection of extracted screenshot plus canvas context,S-020__image-8ff6d0d78bcdb049ac3c4fcdd03eacacd49d38c3__9541c97e4a1d.png
S-021,U-021,image-5783536a706dd9b63dd5f76da39b517206732da6,2609.4613805615,860.6948043104594,688.0,244.0,1151,408,889912b49caa43cf1b431fa5aa2b629052abba58,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,visual inspection of extracted screenshot plus canvas context,S-021__image-5783536a706dd9b63dd5f76da39b517206732da6__889912b49caa.png
S-022,U-022,image-55452de06576936073548f86f41a78092c5bb06f,2602.7131200849562,1142.0820579650126,531.0,305.0,848,487,1f5b628aca9f126946f8cb2037740b877ce94a87,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,visual inspection of extracted screenshot plus canvas context,S-022__image-55452de06576936073548f86f41a78092c5bb06f__1f5b628aca9f.png
S-023,U-023,image-22f1376f8dc8dbb7c680245d69014f9b333fc496,2600.934536590269,1475.437932632175,692.0,223.0,1107,357,20e6c6c0fce664f6d3bc0cc1fc49a4756631a8da,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,visual inspection of extracted screenshot plus canvas context,S-023__image-22f1376f8dc8dbb7c680245d69014f9b333fc496__20e6c6c0fce6.png
S-024,U-024,image-9e6d278f38d002979f6e641454afbfba750482b3,2590.2294435270433,1726.082033129739,738.0,87.0,738,87,d05192d1f4d7f545cabf846db2380ee62df805ae,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,visual inspection of extracted screenshot plus canvas context,S-024__image-9e6d278f38d002979f6e641454afbfba750482b3__d05192d1f4d7.png
S-025,U-025,image-6066d5c43ea2a8da9a3dbd6c35b9835e28a55d03,1452.9416193782545,3341.4772610552855,915.0,83.0,915,83,071caa886d5313925ee55503e3d0ec6c16087967,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,visual inspection of extracted screenshot plus canvas context,S-025__image-6066d5c43ea2a8da9a3dbd6c35b9835e28a55d03__071caa886d53.png
S-026,U-026,image-370905a91f23e76ac44d288cee7d6f0416aebbc4,1434.6276286617322,3059.4726932608855,775.0,268.0,775,268,a7e3eed3b17b28ac8f1a0732f69859ba25fd43f5,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,visual inspection of extracted screenshot plus canvas context,S-026__image-370905a91f23e76ac44d288cee7d6f0416aebbc4__a7e3eed3b17b.png
S-027,U-027,image-ae4dca3f05cdb1395aa3173728e596507c2b516e,1441.087814685765,2840.358360974972,750.0,217.0,750,217,c8229e8ca68093c70e6a7fa52356602ff4c93609,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,visual inspection of extracted screenshot plus canvas context,S-027__image-ae4dca3f05cdb1395aa3173728e596507c2b516e__c8229e8ca680.png
