source_id,image_use_id,symbol_id,sha256,sha1,x,y,width,height,pixel_width,pixel_height,region_id,restored,coverage_status,assignment_count,asset_path,description,nearest_text_nodes_hint_only
S-001,IU-001,image-fa597fb4700bc640bb332ae4ee78bacc121109a8,3de2f5576bb2d78b7f2a36fe255c8fec81a98d51f945521ea4eae017e2d8124a,8e2942ea4df6346d9e180b1df044cb98854ac934,10011.713492448562,594.8766107304536,772.0,294.0,772,294,R04,True,processed-semantic-transcript,1,assets/source-images-v001/S-001__3de2f5576b.png,"Repeated warning: shaped fields may omit Id, so link generation cannot safely index the shaped dictionary.","[{""text_id"": ""T-018"", ""text"": ""!!!""}, {""text_id"": ""T-022"", ""text"": ""basic implementation""}, {""text_id"": ""T-015"", ""text"": ""theory""}, {""text_id"": ""T-021"", ""text"": ""!!!""}, {""text_id"": ""T-028"", ""text"": ""if logic changes, server may not show some link to consumer""}]"
S-002,IU-002,image-fa597fb4700bc640bb332ae4ee78bacc121109a8,3de2f5576bb2d78b7f2a36fe255c8fec81a98d51f945521ea4eae017e2d8124a,8e2942ea4df6346d9e180b1df044cb98854ac934,12979.516363121184,667.8324557412914,772.0,294.0,772,294,R04,True,processed-semantic-transcript,1,assets/source-images-v001/S-002__3de2f5576b.png,Second placement of the same data-shaping Id warning.,"[{""text_id"": ""T-005"", ""text"": ""page links""}, {""text_id"": ""T-017"", ""text"": ""!!!""}, {""text_id"": ""T-021"", ""text"": ""!!!""}, {""text_id"": ""T-019"", ""text"": ""like""}, {""text_id"": ""T-016"", ""text"": ""When have hateoas, better to include prev and next page to links,not to metadata""}]"
S-003,IU-003,image-a981f4494f42b0590f3417bf183aa34660918619,0cce589795490715dcd35fc5870dec9c34639541cd3a124162ca459a69f5229e,e25c690f77104329d0ef3683139c708273a14d0f,4794.870885697623,675.1847047529509,1056.0,389.0,1056,389,R02,True,processed-semantic-transcript,1,assets/source-images-v001/S-003__0cce589795.png,Clients still need a stable relation-name vocabulary even when they do not hardcode every URL.,"[{""text_id"": ""T-010"", ""text"": ""server""}, {""text_id"": ""T-009"", ""text"": ""that yoiu put into returned links from""}, {""text_id"": ""T-007"", ""text"": ""need to know exact implementation""}, {""text_id"": ""T-004"", ""text"": ""can understand without""}, {""text_id"": ""T-003"", ""text"": ""with client, that it""}]"
S-004,IU-004,image-02051daea73daf0d40aadbcfda7aac074f23e774,190cf334f698c46158ad2e89d5dfce22de5fc618416bdeaa024fd1127f1cc420,9846cc42c24301dbb0c562e419459482cc0e8b56,3609.4424189007477,696.2322729379403,1064.0,469.0,1064,469,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-004__190cf334f6.png,HATEOAS is mainly machine-facing; clients use returned links to choose the next action.,"[{""text_id"": ""T-011"", ""text"": ""or machines?""}, {""text_id"": ""T-006"", ""text"": ""is it for humans""}, {""text_id"": ""T-010"", ""text"": ""server""}, {""text_id"": ""T-009"", ""text"": ""that yoiu put into returned links from""}, {""text_id"": ""T-007"", ""text"": ""need to know exact implementation""}]"
S-005,IU-005,image-4d2c506579703974122e4810102762658c2ab30f,4434bf284113cbd153d365f0b5c0709359195b871b14bdcd261c39f4146b16cb,a3786a03b7edfad88502ab5c90cb5a12d121010d,2451.7755793011384,716.5656011850106,982.0,437.0,982,437,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-005__4434bf2841.png,Problem statement: tightly coupled clients hardcode URLs and backend workflow rules.,"[{""text_id"": ""T-012"", ""text"": ""is it solving""}, {""text_id"": ""T-008"", ""text"": ""what problems""}, {""text_id"": ""T-023"", ""text"": ""url chagnes break clients""}, {""text_id"": ""T-011"", ""text"": ""or machines?""}, {""text_id"": ""T-006"", ""text"": ""is it for humans""}]"
S-006,IU-006,image-004fb703e42e9aee0e3303eec9f59b9db00441cc,36c64fea5c7d7353aa1cb95352bc90760ad2707ceb98e5d51238c036a605f12d,c55f8ddb8bd75ff6e1672dc98e347697c12d7249,1383.9167333874375,769.6502247337257,891.0,482.0,981,531,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-006__36c64fea5c.png,Practical comparison of workflow knowledge without and with HATEOAS.,"[{""text_id"": ""T-023"", ""text"": ""url chagnes break clients""}, {""text_id"": ""T-013"", ""text"": ""practical diff""}, {""text_id"": ""T-012"", ""text"": ""is it solving""}, {""text_id"": ""T-008"", ""text"": ""what problems""}, {""text_id"": ""T-024"", ""text"": ""workflow changes require""}]"
S-007,IU-007,image-4f85cb6b18e2394be3d51744e272aa25dcb49444,ba79787b6670e2a0411cabfb741b5366c176e68464928bebf4eb83d5a90fc057,d2b26ad962767e82d6f271053a48cfa212b24c58,14161.716045961663,789.50421127278,435.0,35.0,435,35,R05,True,processed-semantic-transcript,1,assets/source-images-v001/S-007__ba79787b66.png,Pagination metadata example separated from navigation controls.,"[{""text_id"": ""T-019"", ""text"": ""like""}, {""text_id"": ""T-016"", ""text"": ""When have hateoas, better to include prev and next page to links,not to metadata""}, {""text_id"": ""T-017"", ""text"": ""!!!""}, {""text_id"": ""T-005"", ""text"": ""page links""}, {""text_id"": ""T-026"", ""text"": ""!!!""}]"
S-008,IU-008,image-c515f958dfa1d055c20f826b18e5965ab7ca6eaa,7e645d3f820125afed6e8d3977b559948f2c0e4a6de7f6a52af257d1f1989cf4,fa6b186436c6c4a889c16cc0a31f6024f690a786,289.1297246539416,832.4622400855251,916.0,356.0,916,356,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-008__7e645d3f82.png,"Goals: discoverability, lower coupling, state awareness, evolvability, and self-description.","[{""text_id"": ""T-014"", ""text"": ""whats the goal""}, {""text_id"": ""T-013"", ""text"": ""practical diff""}, {""text_id"": ""T-023"", ""text"": ""url chagnes break clients""}, {""text_id"": ""T-024"", ""text"": ""workflow changes require""}, {""text_id"": ""T-012"", ""text"": ""is it solving""}]"
S-009,IU-009,image-a2554e990e0869f3ca5028394fb1e2d62633da8b,28a50b9d9ef7eb5f5a3a06eeb3804ee596cd66f47db6b2de28fdd7d2ad1cfd3d,c2aea5bda1ce96a82795e8d3612e77136d07538d,14179.552358130226,884.314667425116,710.0,369.0,1432,745,R05,True,processed-semantic-transcript,1,assets/source-images-v001/S-009__28a50b9d9e.png,Example pagination links with previous-page and next-page relations.,"[{""text_id"": ""T-019"", ""text"": ""like""}, {""text_id"": ""T-016"", ""text"": ""When have hateoas, better to include prev and next page to links,not to metadata""}, {""text_id"": ""T-017"", ""text"": ""!!!""}, {""text_id"": ""T-026"", ""text"": ""!!!""}, {""text_id"": ""T-005"", ""text"": ""page links""}]"
S-010,IU-010,image-b3b6c76a28b7c17408c2e38568d96c7e53ee4484,d570a373ae6cfd4efb8790d984ec779663c188b6055f6d188585ee487c1aa3ca,b6effd9beab6a2500dde42cf4fb979af3dd982d1,8570.969991634503,956.7304167674729,1332.0,176.0,1332,176,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-010__d570a373ae.png,Course title slide introducing HATEOAS.,"[{""text_id"": ""T-018"", ""text"": ""!!!""}, {""text_id"": ""T-015"", ""text"": ""theory""}, {""text_id"": ""T-028"", ""text"": ""if logic changes, server may not show some link to consumer""}, {""text_id"": ""T-022"", ""text"": ""basic implementation""}, {""text_id"": ""T-020"", ""text"": ""rel, method""}]"
