source_id,image_use,symbol_id,asset_sha1,region,x,y,width,height,center_x,center_y,mime,pixel_width,pixel_height,status,transcript_status
S-001,U-001,image-eb479b2d46c5421a6ddcb5c55d01901b0a578b54,75a59ab43f148c7b53a503c232f1d39138cab86f,R02,13805.959299,4428.302879,978.0,210.0,14294.959299,4533.302879,image/png,978,210,reviewed,closed
S-002,U-002,image-21fa282495c095b40ef9626b28a2e6da61c6df7c,2126c2e10ce4ea97d1eec6e2871af6e5d6c76d74,R02,11417.794235,4300.848033,919.0,482.0,11877.294235,4541.848033,image/png,932,489,reviewed,closed
S-003,U-003,image-9dce6f8477bed4b047091cdb8d1f5f1199d07e62,60c5a24748a284b58ff7d212cdeea73b38d6d90f,R02,9895.644223,4350.836343,863.0,482.0,10327.144223,4591.836343,image/png,948,530,reviewed,closed
S-004,U-004,image-5836124ec6731d8a6d01ed1ef33de82d958ca721,823e99f78713e9c4394a26cf7cd60209e13ba88b,R02,18005.796461,4460.813648,968.0,360.0,18489.796461,4640.813648,image/png,968,360,reviewed,closed
S-005,U-005,image-37d0f5e01902545d5e2ab5ca3c72973bc1cd4310,60fc34a23087539c4176401500b8006460ed46ef,R02,16535.380856,4539.101851,960.0,482.0,17015.380856,4780.101851,image/png,1025,515,reviewed,closed
S-006,U-006,image-e27182c7b9f3f8ba1be0e0b0a61f54650fa62244,8a6c557de5b502708486ef3830d4aae242c2de66,R02,13825.792673,4655.80294,893.0,451.0,14272.292673,4881.30294,image/png,893,451,reviewed,closed
S-007,U-007,image-14a912072480ba8e3389e6b057838c9b1226a0ea,a4329d40d23e8cab9b45afcc042f1830e8ef7358,R01,6437.709222,4779.76096,938.0,389.0,6906.709222,4974.26096,image/png,938,389,reviewed,closed
S-008,U-008,image-2a52f838815d2eb8f8ed7ecbab9f5733d94b620c,239df7a784b65a24ef1d759421df61803b42c28f,R02,18016.129896,4825.813648,1014.0,300.0,18523.129896,4975.813648,image/png,1014,300,reviewed,closed
S-009,U-009,image-6b6c10e58ec9a7963713028caeedd7faa81e8c56,e912e69acbebcc81e45b9f7e4286fde82832e869,R02,11409.966764,4816.090072,996.0,329.0,11907.966764,4980.590072,image/png,996,329,reviewed,closed
S-010,U-010,image-3b6333fa5a7e5c6b8b00ef54ed1297475fab9701,9ea4486785f8c84237e5bac57ced49129c2febb2,R02,9838.495402,4857.921252,977.0,431.0,10326.995402,5073.421252,image/png,977,431,reviewed,closed
S-011,U-011,image-806b11afbf0d9767a72fc4ae4e930c50dec85530,66d9a9a495bcc2d5f34693899ca936a0c06c0718,R01,5194.366685,4876.561584,933.0,470.0,5660.866685,5111.561584,image/png,933,470,reviewed,closed
S-012,U-012,image-d254bb62222372a2cb8f909b39b46dd3ea07ace8,b64a650e09ba33cf2d67b48dc228d3eb35eadd13,R02,16538.185316,5048.258101,1021.0,284.0,17048.685316,5190.258101,image/png,1021,284,reviewed,closed
S-013,U-013,image-4e11dfddf2b8086e78d3f49c9ffdbd2c7502d89c,00fa2503fd7339c82f24614264d579ba9cde055b,R02,11415.572677,5107.014389,946.0,392.0,11888.572677,5303.014389,image/png,946,392,reviewed,closed
S-014,U-014,image-7a073f9a0e3883b3f8c3fc5fa59f840cd5d9a4b9,a2c5bbcd09420c0ca9afe32d9971d40cb3bfa5ad,R01,6446.027293,5175.457893,885.0,337.0,6888.527293,5343.957893,image/png,885,337,reviewed,closed
S-015,U-015,image-25d99c2b6b91339ae443dbfbf822bc581357b068,18b5e544c0a9d379648fa43fcbbcfe85be3e1340,R02,13808.625925,5121.914065,970.0,445.0,14293.625925,5344.414065,image/png,970,445,reviewed,closed
S-016,U-016,image-39cb64b1e37dd597b8cf7c407d0f7a45df7af113,7887fa3b32843d0eda7d3871b15573bfcff876d0,R01,6445.269791,5512.427664,935.0,337.0,6912.769791,5680.927664,image/png,935,337,reviewed,closed
S-017,U-017,image-2b5cd8ee15083d13210a649aac4d69bcaafd2edd,040ace20041ec972793fd93ab98bd564f3c9a3f9,R02,11392.346198,5516.403593,1022.0,482.0,11903.346198,5757.403593,image/png,1023,483,reviewed,closed
S-018,U-018,image-bdaf9cc95c06b9d2204ae50b55ab963beca4bd88,b241121035a1da37cf1516e2c8e40568d68eaf0a,R02,15980.795671,5712.19269,918.0,482.0,16439.795671,5953.19269,image/png,1016,534,reviewed,closed
S-019,U-019,image-328b33744354b6084761fe02b44a4b75d43c1d90,1c714c5c73c9159d60948aca494856cc633fc8e7,R02,20767.761027,5911.715739,958.0,135.0,21246.761027,5979.215739,image/png,958,135,reviewed,closed
S-020,U-020,image-d09008a36178c5f91c3c6b0e167b6f7fca1bf56a,7030d36bb918f38de3cfcb9d23b0d12ac735ad41,R02,17209.686963,5751.526049,991.0,482.0,17705.186963,5992.526049,image/png,1044,508,reviewed,closed
S-021,U-021,image-54028b0c46be60e50fa283da0b2fb6e9f9274455,35358fe351416b244566c7517d208d8dd3a53cd1,R02,20777.707692,6053.861676,815.0,430.0,21185.207692,6268.861676,image/png,917,484,reviewed,closed
S-022,U-022,image-f9c5d3480c14ad44c7c23b0e8af78097d935b7c7,8d3cc359c58b6479b6c7c10510d3a55051ea2fea,R02,11404.118131,6050.711322,918.0,444.0,11863.118131,6272.711322,image/png,918,444,reviewed,closed
S-023,U-023,image-5f56dd070619a849d10d47c21d8345f9d3c0076f,4e522b31c550b9a3f25f283015b7cd9098eef13d,R02,15995.624639,6220.349017,968.0,346.0,16479.624639,6393.349017,image/png,968,346,reviewed,closed
S-024,U-024,image-b8d048b77886f923099c0da5af2df79bcf0951fc,81c6bb49df374c16d4073d3dd5a45a3f769cabf2,R02,17208.291387,6249.182223,1004.0,357.0,17710.291387,6427.682223,image/png,1004,357,reviewed,closed
S-025,U-025,image-ee8f185dc86f49a3c02fd8cdc36485882de0a04c,29077f5a09f1dbc2fc3f91000646b4312988ade0,R02,20758.767019,6512.456899,944.0,229.0,21230.767019,6626.956899,image/png,944,229,reviewed,closed
S-026,U-026,image-d53e387aaa36adef2c9e593c2d00da52234cc92f,73fb7f37a07e7d0d0565ed810e8490fb936648a0,R01,1327.896178,6388.062801,708.0,482.0,1681.896178,6629.062801,image/png,907,618,reviewed,closed
S-027,U-027,image-9b6c35fd74dbfa49a08c4f429e4fc9cd6cdcff29,8d34ff6e5b845075d0b7cd11b568716ff99b67ef,R02,11372.057673,6519.605298,970.0,345.0,11857.057673,6692.105298,image/png,970,345,reviewed,closed
S-028,U-028,image-e16cdb392dc611ab6c91943811cf2a00b552b41c,e50ec7e4bf7d15c8d45fbeb4e9557e0bce444a5a,R02,17218.124822,6643.182376,1001.0,219.0,17718.624822,6752.682376,image/png,1001,219,reviewed,closed
S-029,U-029,image-3c9f576cd5e845f809db645b4515a553d9bd7035,a559ed8576ba1158bfcbd5101d0e240f3e417f21,R02,15994.124639,6614.015658,1011.0,362.0,16499.624639,6795.015658,image/png,1011,362,reviewed,closed
S-030,U-030,image-0cacacf3463b76e1bf92d909d8f9262beb546c13,551ff31b8536f9e73f1c5fecf5375610d2b63088,R02,20771.862286,6767.575918,994.0,214.0,21268.862286,6874.575918,image/png,994,214,reviewed,closed
S-031,U-031,image-52e9fc211a79620108094a5f4ea2d23ab32552c6,83ae9b1a0d3f61e2001091f185b2a3966f2b0178,R02,20773.290858,7004.052166,934.0,242.0,21240.290858,7125.052166,image/png,934,242,reviewed,closed
S-032,U-032,image-91cae24121b0f2678c56b1fd6f81386611e909fc,60f5812f5929fd92c2a06463638570234a4e5ecd,R01,1862.726183,7162.013389,870.0,208.0,2297.726183,7266.013389,image/png,870,208,reviewed,closed
S-033,U-033,image-eaf391b4179f974971ec8cf0ffd0bcb43a900400,98c1e8d12c11f8b88366e15d4de3b67f26a0e906,R01,767.599411,7113.387138,725.0,482.0,1130.099411,7354.387138,image/png,975,649,reviewed,closed
S-034,U-034,image-65db871d0c57cf7b76d2a2c13998121e513a15a5,930192494ce35782a2e1c55e42453f18c8cf74b2,R01,4412.189779,7245.739005,916.0,282.0,4870.189779,7386.739005,image/png,916,282,reviewed,closed
S-035,U-035,image-0bf087cd5212d465c108b112811f0061242cb4dd,8a3fc2c363858a6042fca2a8c2fce776ddc39c00,R02,22228.566319,7401.020577,877.0,351.0,22667.066319,7576.520577,image/png,877,351,reviewed,closed
S-036,U-036,image-b2e73fe09dd96adfacca5ebb5830fd2a9040ea2f,e9ec3f779436404639efcc27ac2b47b2574fc363,R02,20881.103266,7410.927871,686.0,346.0,21224.103266,7583.927871,image/png,686,346,reviewed,closed
S-037,U-037,image-4993ebf39f12d8b55d94948c6c981a9cad8b0ca8,5bf46e8281930fbcdd47552dcb4781b01c7072cd,R01,1855.482921,7403.094073,761.0,482.0,2235.982921,7644.094073,image/png,899,570,reviewed,closed
S-038,U-038,image-1910d2d388d0fb896db2ea135cdaa87ff6dbed86,6fc07efb5980338e4eaa8c9e5e6fd4b2359f333e,R01,4410.161216,7531.279224,973.0,337.0,4896.661216,7699.779224,image/png,973,337,reviewed,closed
S-039,U-039,image-c6daee9b0d566cd0218a3950f6668d7f6db772ee,300ccd7ac633b106d6239d6df1dfaf6e2cf4208d,R01,763.638477,7607.580826,854.0,310.0,1190.638477,7762.580826,image/png,854,310,reviewed,closed
S-040,U-040,image-536d1cd26426bf6b5080adbf444199e1c535e374,a192a8a7129694a40dc4fe7e54e5fb0e850f7202,R02,22230.158855,7706.039165,1099.0,442.0,22779.658855,7927.039165,image/png,1099,442,reviewed,closed
S-041,U-041,image-db401503ef6d435098d1cd580e07860984801349,00deaf52f8f99f88cf4965cef65ddef4e3d8cf5d,R02,18873.380877,7714.2984,1131.0,438.0,19438.880877,7933.2984,image/png,1131,438,reviewed,closed
S-042,U-042,image-c0cfe29bf4145000584937831cceaac0f14f2096,b25626d7e8316c16c4fb2c4b58e0a9761b307efc,R02,20868.140382,7766.927956,1086.0,394.0,21411.140382,7963.927956,image/png,1086,394,reviewed,closed
S-043,U-043,image-bf027c314b5ead45b1afbeaf270e2cc261fdd8cb,ef090549e7b22300214e3d57de6cf481953e81d9,R01,1861.295806,7907.211177,921.0,336.0,2321.795806,8075.211177,image/png,921,336,reviewed,closed
S-044,U-044,image-885a2b4bc703caeb01b8bcee9d634b8061be8d57,81068b12034ec299dced86171e2290b2ce1ae0c1,R01,4417.6118,7902.070692,805.0,463.0,4820.1118,8133.570692,image/png,909,523,reviewed,closed
S-045,U-045,image-a9f624e4df2fa3150d642d8a4a0c93a3286f3007,c5925053cccb2f66944a88bd9ebc2734e5d0d72c,R02,22214.732884,8155.705832,1118.0,396.0,22773.732884,8353.705832,image/png,1118,396,reviewed,closed
