source_id,fileId_short,fileId,x,y,width,height,initial_candidate_band,nearest_labels_for_search_only
S-001,3fb4712723,3fb4712723bdb0ec753c3c3a0cc203974378b8f8,4318.064,493.595,1114.0,369.0,R01-left-testing-create-jsonpatch-shortcuts,"L-001: CREATE RESOURCE | L-007: dispose requestmessage and especiallty response message | L-014: NEED TO BUILD SOME CLEAR STEPS FOR USING HTTPCLIENT | L-006: quick | L-025: IF WE WANT, WE CAN ADD READING ON HEADERS ARRIVE"
S-002,8f3371b543,8f3371b5438c5b72e03bbef68dc76db921f319f5,39.517,497.856,760.0,482.0,R01-left-testing-create-jsonpatch-shortcuts,"L-002: TESTING | L-001: CREATE RESOURCE | L-045: you cant set specific acept header for specific request with shortcusts, if you have diffe | L-043: Why not to use shortcuts all the time? | L-053: using Microsoft.AspNetCore.JsonPatch;"
S-003,e3fca9bd34,e3fca9bd345205d2ff8a851f16ab24896190cb83,926.46,508.097,695.0,482.0,R01-left-testing-create-jsonpatch-shortcuts,"L-002: TESTING | L-001: CREATE RESOURCE | L-045: you cant set specific acept header for specific request with shortcusts, if you have diffe | L-043: Why not to use shortcuts all the time? | L-053: using Microsoft.AspNetCore.JsonPatch;"
S-004,7bf2390123,7bf23901234860d34aa1945a5aa6deb88a34003b,16205.417,722.339,1277.0,369.0,R03-theory-typed-client-jsonoptions-part1,L-015: Factory will automatocally creqate instance of httpclient | L-003: TYPED HTTPCLINET | L-022: Injecting via constructor | L-008: configuring default json options with jsonoptions wrapper | L-033: !!!
S-005,9976193b53,9976193b530bbf1e8f412ef6b08be31fa9415b4f,3155.014,864.577,837.0,409.0,R01-left-testing-create-jsonpatch-shortcuts,"L-001: CREATE RESOURCE | L-002: TESTING | L-043: Why not to use shortcuts all the time? | L-045: you cant set specific acept header for specific request with shortcusts, if you have diffe | L-007: dispose requestmessage and especiallty response message"
S-006,51aa89fb6b,51aa89fb6bb61cb56d3c12df8dff7d72359d3861,10196.455,909.359,1383.0,369.0,R02-base-usage-quick-headers-dispose,"L-004: accept/contenttype headers, | L-005: sometheory | L-021: when getting objects stream | L-023: often there is a pipeline of handlers | L-019: default, but not all message hand;ers"
S-007,b65a03d109,b65a03d1090f97c4e9d040ec92b4899731e02650,12267.022,915.452,1004.0,369.0,R03-theory-typed-client-jsonoptions-part1,"L-005: sometheory | L-019: default, but not all message hand;ers | L-023: often there is a pipeline of handlers | L-024: there can be a caching handler that instead of | L-004: accept/contenttype headers,"
S-008,c4bcad034a,c4bcad034ad852180b0442cafc3b3496a832cc32,7746.759,917.461,801.0,139.0,R02-base-usage-quick-headers-dispose,"L-006: quick | L-007: dispose requestmessage and especiallty response message | L-014: NEED TO BUILD SOME CLEAR STEPS FOR USING HTTPCLIENT | L-021: when getting objects stream | L-025: IF WE WANT, WE CAN ADD READING ON HEADERS ARRIVE"
S-009,51c71f9000,51c71f9000635387260e1386fa3e7bdf95f14a67,5474.552,996.45,942.0,237.0,R01-left-testing-create-jsonpatch-shortcuts,"L-001: CREATE RESOURCE | L-007: dispose requestmessage and especiallty response message | L-014: NEED TO BUILD SOME CLEAR STEPS FOR USING HTTPCLIENT | L-006: quick | L-025: IF WE WANT, WE CAN ADD READING ON HEADERS ARRIVE"
S-010,53815676e5,53815676e5cf5d454643124efa55784d3624fbd6,15.115,997.851,800.0,482.0,R01-left-testing-create-jsonpatch-shortcuts,"L-002: TESTING | L-001: CREATE RESOURCE | L-045: you cant set specific acept header for specific request with shortcusts, if you have diffe | L-043: Why not to use shortcuts all the time? | L-053: using Microsoft.AspNetCore.JsonPatch;"
S-011,759199bd50,759199bd5069e3864e23dc602910b1d62779a885,4405.351,1019.968,799.0,402.0,R01-left-testing-create-jsonpatch-shortcuts,"L-001: CREATE RESOURCE | L-007: dispose requestmessage and especiallty response message | L-014: NEED TO BUILD SOME CLEAR STEPS FOR USING HTTPCLIENT | L-006: quick | L-025: IF WE WANT, WE CAN ADD READING ON HEADERS ARRIVE"
S-012,899275bdc4,899275bdc4e76efcac7a6e1934e286d96b593738,921.485,1050.46,828.0,482.0,R01-left-testing-create-jsonpatch-shortcuts,"L-002: TESTING | L-001: CREATE RESOURCE | L-045: you cant set specific acept header for specific request with shortcusts, if you have diffe | L-043: Why not to use shortcuts all the time? | L-053: using Microsoft.AspNetCore.JsonPatch;"
S-013,eae241cd1a,eae241cd1a17405b18bccc0b92dea893934d6113,5459.931,1270.041,867.0,228.0,R01-left-testing-create-jsonpatch-shortcuts,"L-007: dispose requestmessage and especiallty response message | L-014: NEED TO BUILD SOME CLEAR STEPS FOR USING HTTPCLIENT | L-001: CREATE RESOURCE | L-006: quick | L-025: IF WE WANT, WE CAN ADD READING ON HEADERS ARRIVE"
