label_id,block_id,region_id,status,text,x,y,translate_x,translate_y,local_x,local_y,font_size,fill
T001,B001,R03,pending_transcript,lockout with identity,7727.893493772448,3825.939077824619,7727.893493772448,3726.0923753099705,0.0,99.84670251464844,113.3333740234375px,#d3d3d3
T002,B002,R01,pending_transcript,iemailsender,4476.081737090864,896.7475737538249,4476.081737090864,799.481491661134,0.0,97.26608209269088,110.40417944686818px,#d3d3d3
T003,B003,R03,pending_transcript,url safety of identities tokens ,8874.12803156026,2920.1577609242127,8874.12803156026,2839.3006366621466,0.0,80.85712426206604,91.77880165955283px,#d3d3d3
T004,B004,R04,pending_transcript,so we can login with external login only if we have ,6071.022933677497,8327.116533364513,6071.022933677497,8294.519533364513,0.0,32.59700000000001,37.000000000000014px,#d3d3d3
T005,B004,R04,pending_transcript,account for user and if we added login with info from ,6071.022933677497,8373.366533364513,6071.022933677497,8294.519533364513,0.0,78.84700000000002,37.000000000000014px,#d3d3d3
T006,B004,R04,pending_transcript,actual google login ,6071.022933677497,8419.616533364513,6071.022933677497,8294.519533364513,0.0,125.09700000000004,37.000000000000014px,#d3d3d3
T007,B004,R04,pending_transcript,,6071.022933677497,8465.866533364513,6071.022933677497,8294.519533364513,0.0,171.34700000000007,37.000000000000014px,#d3d3d3
T008,B005,R05,pending_transcript,"default ui, api endpoints",5974.729674069093,14452.382304863086,5974.729674069093,14368.980971529752,0.0,83.40133333333375,94.66666666666715px,#d3d3d3
T009,B006,R01,pending_transcript,"basics, min setup",2539.5716876251718,663.5617702636719,2539.5716876251718,556.6671752929688,0.0,106.89459497070312,121.333251953125px,#d3d3d3
T010,B007,R01,pending_transcript,methods,6399.571687625172,121.59329748535154,6399.571687625172,10.0,0.0,111.59329748535154,126.66662597656249px,#d3d3d3
T011,B008,R03,pending_transcript,email confirmation password reset,6120.164867963714,3298.5870531412775,6120.164867963714,3215.185719807944,0.0,83.40133333333345,94.6666666666668px,#d3d3d3
T012,B009,R04,pending_transcript,external login,7740.9903117764925,5589.394749815929,7740.9903117764925,5457.127311827648,0.0,132.26743798828124,150.13330078125px,#d3d3d3
T013,B010,R04,pending_transcript,Challenge method,6438.9903117764925,6093.329960570323,6438.9903117764925,6014.627311827648,0.0,78.70264874267578,89.33331298828125px,#d3d3d3
