image_use_id,region,semantic_topic,recovery_status,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R02,SemaphoreSlim single-flight implementation and cleanup races,recovered_missing,processed,ca552c400f27,image-f00198f04df4fa7abd0c49394bf0af835be92392,1375.1512250524338,335.7448692224225,719.0,430.0,853,510,source/images/ca552c400f27.png
S-002,R01,"IDistributedCache basics, methods, setup, expiration and invalidation",recovered_missing,processed,4237a4446354,image-0e62ddf87e5d0e788fe7c84f3b889559351bfe7d,8534.666511949184,352.7069862138251,910.0,353.0,910,353,source/images/4237a4446354.png
S-003,R01,"IDistributedCache basics, methods, setup, expiration and invalidation",recovered_missing,processed,cf3ca2fc0ceb,image-aeca2c73fb5c623d0ff72ee42cadd460a1a0bf19,6818.96664617838,513.0855029388704,895.0,126.0,895,126,source/images/cf3ca2fc0ceb.png
S-004,R02,SemaphoreSlim single-flight implementation and cleanup races,recovered_missing,processed,6564583aa159,image-e06849f4a3d9c13ed35102333aedb7594aa7099c,5082.736022828906,530.9170670029198,702.0,482.0,808,555,source/images/6564583aa159.png
S-005,R02,SemaphoreSlim single-flight implementation and cleanup races,recovered_missing,processed,c1e2fbe296b8,image-9dc907146a3e6415b6ca7a361b222bb155cd47ae,3440.7410548055404,622.6013743825215,717.0,482.0,879,591,source/images/c1e2fbe296b8.png
S-006,R01,"IDistributedCache basics, methods, setup, expiration and invalidation",recovered_missing,processed,74787c52aa25,image-cbc61afe72679ee8ba2e70a435950d5d15a79f90,6883.276111859184,685.7283600817254,854.0,455.0,854,455,source/images/74787c52aa25.png
S-007,R01,"IDistributedCache basics, methods, setup, expiration and invalidation",recovered_missing,processed,a8acf358b018,image-571fef3dec27857a33ab26ffc47927fc861c5d0d,8774.13491001817,713.4292355627786,440.0,401.0,581,530,source/images/a8acf358b018.png
S-008,R02,SemaphoreSlim single-flight implementation and cleanup races,recovered_missing,processed,40c9f22464cf,image-df5304444a30dd39c7048bd009ecf5a980c124d9,1372.2730156632097,774.0067449199687,904.0,283.0,904,283,source/images/40c9f22464cf.png
S-009,R02,SemaphoreSlim single-flight implementation and cleanup races,recovered_missing,processed,e2de42200166,image-84ca240886f5f17c5a4d7450a3db9dc1417a0750,1400.3591341202846,1057.857130115217,714.0,482.0,859,580,source/images/e2de42200166.png
S-010,R02,SemaphoreSlim single-flight implementation and cleanup races,recovered_missing,processed,8ffdef3e8f22,image-5892bca70b6755a74c02795dbde0d0f72ce8c964,3434.9149187151124,1098.9004815253766,849.0,424.0,849,424,source/images/8ffdef3e8f22.png
