image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R02,"React useEffect setup, ref timing, observer cleanup and matching entry.target",processed,e804929276bd,image-5f9acd012e9246dcbc6675ecb675696cbcdec25b,2319.3026002967054,330.346333972338,822.0,381.0,944,437,source/images/e804929276bd.png
S-002,R01,"IntersectionObserver callback entries, entry properties and multiple observed targets",processed,bd04c75922c1,image-6d4a965e359cf231480049e21d703b795c33806b,722.4099245791426,440.62879032335104,656.0,410.0,906,566,source/images/bd04c75922c1.png
S-003,R02,"React useEffect setup, ref timing, observer cleanup and matching entry.target",processed,020a56e01506,image-da852d938b8ee057066e4133f14a82b2cb507711,2284.6781271718237,768.4998389273528,874.0,217.0,874,217,source/images/020a56e01506.png
S-004,R02,"React useEffect setup, ref timing, observer cleanup and matching entry.target",processed,55b18f946d41,image-2630fa32e088eac7aae69a1849af226386efeb50,2353.083843098221,1000.6368979002141,662.0,482.0,898,654,source/images/55b18f946d41.png
S-005,R01,"IntersectionObserver callback entries, entry properties and multiple observed targets",processed,c2177e9a82bf,image-d84a3cacbf342b86292aab924973f76c67a718cc,813.1274866505948,1009.9057664859431,767.0,164.0,767,164,source/images/c2177e9a82bf.png
S-006,R01,"IntersectionObserver callback entries, entry properties and multiple observed targets",processed,723e7870063b,image-0955a13af1f7cc8d8e174c1bc549c0942f0eaf7a,1136.9966493114468,1219.0318101152236,741.0,482.0,978,637,source/images/723e7870063b.png
S-007,R01,"IntersectionObserver callback entries, entry properties and multiple observed targets",processed,2fce58adff03,image-2dd167c84fd82c16ef1f4714dd6e210b26ef96fc,10.0,1254.950944651054,961.0,391.0,961,391,source/images/2fce58adff03.png
S-008,R02,"React useEffect setup, ref timing, observer cleanup and matching entry.target",processed,da68c1127e2b,image-3399e59c5bad0c1b35733171d86bebcc59dff342,2352.563264480168,1500.8296454099395,866.0,444.0,866,444,source/images/da68c1127e2b.png
S-009,R01,"IntersectionObserver callback entries, entry properties and multiple observed targets",processed,2d2b31231200,image-854cbb7e9b92c69228843d512aa7de97692b1444,967.6447240189426,1890.3168740926958,570.0,374.0,995,653,source/images/2d2b31231200.png
S-010,R02,"React useEffect setup, ref timing, observer cleanup and matching entry.target",processed,60b06b5a92fb,image-24fa04e870a04ef99b45538e1e27f69146b2a221,2457.9337317236495,1959.602650640823,565.0,482.0,821,701,source/images/60b06b5a92fb.png
S-011,R01,"IntersectionObserver callback entries, entry properties and multiple observed targets",processed,88ba8ec0cc0f,image-2e6eabd76f290e40a5af3927957f03c71a31f002,769.5888205694614,2315.212515685597,920.0,313.0,920,313,source/images/88ba8ec0cc0f.png
S-012,R03,"multi-element observation, entries arrays and selecting the relevant target",processed,fddc273aacf2,image-e86a1d564a915e81303d4f1a940a23009e82fb7b,894.3691831944795,2683.3240530340404,707.0,301.0,996,424,source/images/fddc273aacf2.png
S-013,R03,"multi-element observation, entries arrays and selecting the relevant target",processed,c469d67a86fc,image-8581c390c51571d4dadd3ab6fde9d303ae7f92e2,750.979099708012,3019.6299017876054,980.0,404.0,980,404,source/images/c469d67a86fc.png
S-014,R03,"multi-element observation, entries arrays and selecting the relevant target",processed,017d58c28f69,image-a068e9fbcd249018827790c90b12187adb041164,722.3764104051274,3468.5786510364032,1029.0,382.0,1029,382,source/images/017d58c28f69.png
S-015,R03,"multi-element observation, entries arrays and selecting the relevant target",processed,a53a73caf182,image-287a27c43a8afb4c70862cd193ea03303710115a,731.3756116799842,3911.359694847125,785.0,376.0,1037,497,source/images/a53a73caf182.png
