image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,"JsonDocument and JsonElement fundamentals, parsing, RootElement, DTO constructor binding and ProblemDetails integration",processed,9500cf090fe2,image-b98a4a9a10129c4d93ef46dca3355f2e33f57bb8,5989.306692905249,459.37082690713305,771.0,482.0,1171,733,source/images/9500cf090fe2.png
S-002,R01,"JsonDocument and JsonElement fundamentals, parsing, RootElement, DTO constructor binding and ProblemDetails integration",processed,dcb6004b674f,image-7e653a0df0b6b1050b11d7dadffd7a80ae8701e2,7172.681893861036,471.74849377668033,752.0,376.0,983,492,source/images/dcb6004b674f.png
S-003,R01,"JsonDocument and JsonElement fundamentals, parsing, RootElement, DTO constructor binding and ProblemDetails integration",processed,61a3e32a8ce6,image-b8baf9d7e84b97382740d08a67771555346bbce4,8923.058048989042,514.9035236323607,762.0,110.0,762,110,source/images/61a3e32a8ce6.png
S-004,R01,"JsonDocument and JsonElement fundamentals, parsing, RootElement, DTO constructor binding and ProblemDetails integration",processed,b87c7e2acd88,image-cab0583db507b8b4e78a74b2a4124c34b4a876af,10096.415113293291,521.0429838314267,1141.0,301.0,1243,328,source/images/b87c7e2acd88.png
S-005,R01,"JsonDocument and JsonElement fundamentals, parsing, RootElement, DTO constructor binding and ProblemDetails integration",processed,ceddd080bbfb,image-a32e58194952776494d3641e53dc520d2b2cc453,11428.683641184869,531.955786391416,1163.0,428.0,1163,428,source/images/ceddd080bbfb.png
S-006,R05,"Utf8JsonWriter options, structural/value methods, direct response writing, custom shapes, hashing/signing and serializer trade-offs",processed,5c0b2a15c8eb,image-75fbcf3cf61e4177d9dd80997dbae1f53ec871ba,13315.751261280766,658.6548030930644,1059.0,482.0,1521,693,source/images/5c0b2a15c8eb.png
S-007,R01,"JsonDocument and JsonElement fundamentals, parsing, RootElement, DTO constructor binding and ProblemDetails integration",processed,ce258a8b1716,image-53af2898821ead271c761023c563ec8ee5b93c3f,8852.60858150643,738.080586620642,578.0,482.0,764,638,source/images/ce258a8b1716.png
S-008,R01,"JsonDocument and JsonElement fundamentals, parsing, RootElement, DTO constructor binding and ProblemDetails integration",processed,aa4a364886a8,image-7c2e0b1817be0ae3247108b33030a3b513fdfd7c,7064.700436702555,917.5817762473835,879.0,376.0,1012,433,source/images/aa4a364886a8.png
S-009,R01,"JsonDocument and JsonElement fundamentals, parsing, RootElement, DTO constructor binding and ProblemDetails integration",processed,11efc2fe25b4,image-4ec5834e0a48f0b9e9453e748635a04e89232cf6,10048.03283758742,945.7201688900204,1257.0,650.0,1347,697,source/images/11efc2fe25b4.png
S-010,R01,"JsonDocument and JsonElement fundamentals, parsing, RootElement, DTO constructor binding and ProblemDetails integration",processed,f16a08885e03,image-ce78ec1846ea231cfd55cbb72192ddd16a1b0391,5896.005578039319,950.9262468290083,847.0,482.0,1115,635,source/images/f16a08885e03.png
S-011,R01,"JsonDocument and JsonElement fundamentals, parsing, RootElement, DTO constructor binding and ProblemDetails integration",processed,0da7ff7a37f4,image-373b2bb24cc7784880db5382158b3f39daa21c8f,11364.239230648845,1086.5853708098189,1003.0,418.0,1003,418,source/images/0da7ff7a37f4.png
S-012,R05,"Utf8JsonWriter options, structural/value methods, direct response writing, custom shapes, hashing/signing and serializer trade-offs",processed,75271908631e,image-9c86aa34bc056175bca1d27b6077e48d1febd34f,13264.064859714224,1197.5436944039848,1182.0,482.0,1637,668,source/images/75271908631e.png
S-013,R01,"JsonDocument and JsonElement fundamentals, parsing, RootElement, DTO constructor binding and ProblemDetails integration",processed,99e2328a654d,image-c26282d9143c9339354019d0046854decacabd2a,7014.24659804693,1361.748531923653,679.0,376.0,1001,555,source/images/99e2328a654d.png
S-014,R01,"JsonDocument and JsonElement fundamentals, parsing, RootElement, DTO constructor binding and ProblemDetails integration",processed,ccf1faf94f50,image-db189d2730e697891fd01f0c51dae92e154e1c2b,11355.331732818984,1552.3816897117285,1166.0,479.0,1166,479,source/images/ccf1faf94f50.png
S-015,R05,"Utf8JsonWriter options, structural/value methods, direct response writing, custom shapes, hashing/signing and serializer trade-offs",processed,4ad35c7e729f,image-66c1a957fa1a324f8770f1580083f9604f8dfbd5,13288.610576878033,1798.6548030930662,1068.0,482.0,1180,533,source/images/4ad35c7e729f.png
S-016,R01,"JsonDocument and JsonElement fundamentals, parsing, RootElement, DTO constructor binding and ProblemDetails integration",processed,98fc99075243,image-a7a737ff91f869018c074e6e57f74e30b83ca730,7030.997468072839,1812.5818143943561,682.0,376.0,935,516,source/images/98fc99075243.png
S-017,R01,"JsonDocument and JsonElement fundamentals, parsing, RootElement, DTO constructor binding and ProblemDetails integration",processed,dbcb44244a68,image-d5dafe4045ec042a33340993ce1c67629dc11373,11363.053988949625,2110.3549902217114,599.0,482.0,715,576,source/images/dbcb44244a68.png
S-018,R04,"mutable JsonNode DOM: JsonObject, JsonArray, JsonValue, indexing, mutation, enumeration and conversion",processed,85ad909b85d6,image-8eb7e11ce155261d47516c0c8606ede3c15485b8,11167.149436978973,2957.5298715944064,966.0,461.0,966,461,source/images/85ad909b85d6.png
S-019,R03,"JsonDocument versus JsonNode usage scenarios, deserialization, runtime values and safe type inspection",processed,0a42d484dbff,image-a08f1ad0f0efff5f64860d5d0c5be14975580aca,4576.433243712314,3315.5965502844447,847.0,477.0,847,477,source/images/0a42d484dbff.png
S-020,R04,"mutable JsonNode DOM: JsonObject, JsonArray, JsonValue, indexing, mutation, enumeration and conversion",processed,56ad50be870d,image-15a999c152376adaaf62d331416b290291b71bb6,11170.294637007351,3472.289126506432,838.0,430.0,838,430,source/images/56ad50be870d.png
S-021,R02,"controller model binding, JsonElement versus JsonDocument, JsonProperty and lifetime/pooling concerns",processed,bc639b2ab029,image-5b5f80f9fb0618c2776c1a1a3035f2d69463e55b,2379.6251767229114,3480.456428122514,711.0,224.0,711,224,source/images/bc639b2ab029.png
S-022,R03,"JsonDocument versus JsonNode usage scenarios, deserialization, runtime values and safe type inspection",processed,27dc2f3edfe2,image-61d6a305105c3083f5d7ee066c6eaffb2f58cb43,6229.799110298123,3566.630688702611,868.0,403.0,868,403,source/images/27dc2f3edfe2.png
