source_id,image_use,file_sha,x,y,width,height,candidate_region,status,notes
S-001,IU-001,536f837da0,2114.909864978565,10.0,882.0,482.0,R01,pending-transcript,
S-002,IU-002,0e441c4750,2093.833197699653,515.008056640625,696.0,336.0,R01,pending-transcript,
S-006,IU-006,dc0b88ffce,41.00006103515625,1192.8414747450106,635.0,195.0,R02,pending-transcript,
S-003,IU-003,286480322f,1401.9688844874818,1211.8517049153625,851.0,482.0,R02,pending-transcript,
S-009,IU-009,d9da3b7730,2505.833251953125,1230.2303602430575,948.0,426.0,R02,pending-transcript,
S-007,IU-007,0e93da3aaa,38.0,1411.5081922743075,993.0,419.0,R02,pending-transcript,
S-010,IU-010,2ee34c1468,2492.5001220703125,1662.89698621962,684.0,342.0,R02,pending-transcript,
S-004,IU-004,4e9e95ff52,1387.3174673227168,1698.0741102430575,900.0,482.0,R02,pending-transcript,
S-008,IU-008,94b06148b1,10.0,1861.0081922743075,657.0,304.0,R02,pending-transcript,
S-005,IU-005,3129ee085a,1363.3333740234375,2219.2303602430575,945.0,192.0,R02,pending-transcript,
S-013,IU-013,ca3bb1fa0b,2096.076732291249,2616.903506764752,821.0,482.0,R03,pending-transcript,
S-014,IU-014,2a8e7a229c,3142.5538920443705,3403.25281837911,761.0,437.0,R03,pending-transcript,
S-011,IU-011,160c8584cf,2102.1426478794638,3403.6934422084114,903.0,357.0,R03,pending-transcript,
S-012,IU-012,e2437041d5,2108.46087408685,3776.9509384353323,806.0,330.0,R03,pending-transcript,
S-015,IU-015,d63de1e7d8,3152.054044632261,3878.586100849813,1042.0,223.0,R03,pending-transcript,
S-016,IU-016,d6637a1784,3178.465494742135,4185.41130972568,760.0,482.0,R03,pending-transcript,
