source_id,image_use_id,fileId,fileId_short,image_file,x,y,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes,stage0_group_key
S-001,IU-001,9f34626cdba769665f9b95e9a506e055f9b0a509,9f34626cdb,S-001__9f34626cdb.png,5549.259,318.098,927.0,354.0,"lock contention | exception caching | factory lazy | ctor lazy | LAZY | lazy<Task> | async | !!! | different patterns | lazy with params | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT",lazy-r01-basics-candidate-stage0,LAZY-R01,no-stage0-boundary-review-only,yes-for-lazy-r01,"Stage0 boundary candidate only: Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,LAZY-R01-lazy-basics-value-factory
S-002,IU-002,e9eb6c88a727cca72bfe273f499e0536b4c52d3d,e9eb6c88a7,S-002__e9eb6c88a7.png,374.642,321.032,775.0,451.0,"different patterns | lazy with params | lazy<Task> | async | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT | LAZY | SO HERE WE CAN HAVE DIFFERENT ARGS BUT IT ISNOT SUITABLE FOR SHARED CACHE, | ONLY FOR SOME PRIVATE CACHE | exception caching | factory lazy | ctor lazy | SHARED CACHE IMPLEMENTATION, CAN CREATE METHOD THAT ACCEPTS",lazy-r01-basics-candidate-stage0,LAZY-R01,no-stage0-boundary-review-only,yes-for-lazy-r01,"Stage0 boundary candidate only: Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,LAZY-R01-lazy-basics-value-factory
S-003,IU-003,e7191528e3d0676a4bd66fd84e72ce0327f980c7,e7191528e3,S-003__e7191528e3.png,2381.267,374.9,994.0,405.0,"LAZY | lazy<Task> | async | exception caching | factory lazy | ctor lazy | different patterns | lazy with params | !!! | lock contention | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT",lazy-r01-basics-candidate-stage0,LAZY-R01,no-stage0-boundary-review-only,yes-for-lazy-r01,"Stage0 boundary candidate only: Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,LAZY-R01-lazy-basics-value-factory
S-004,IU-004,294f139f50949a5ca8bf6bccb5cefa4b454c3276,294f139f50,S-004__294f139f50.png,1609.544,385.69,563.0,38.0,"lazy<Task> | async | LAZY | different patterns | lazy with params | exception caching | factory lazy | ctor lazy | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT | SO HERE WE CAN HAVE DIFFERENT ARGS BUT IT ISNOT SUITABLE FOR SHARED CACHE, | ONLY FOR SOME PRIVATE CACHE | !!!",lazy-r01-basics-candidate-stage0,LAZY-R01,no-stage0-boundary-review-only,yes-for-lazy-r01,"Stage0 boundary candidate only: Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,LAZY-R01-lazy-basics-value-factory
S-005,IU-005,53cee24472cc1d46283cbf81a1bcffe7ee5b60b6,53cee24472,S-005__53cee24472.png,1548.392,469.463,791.0,245.0,"lazy<Task> | async | LAZY | different patterns | lazy with params | factory lazy | ctor lazy | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT | exception caching | SO HERE WE CAN HAVE DIFFERENT ARGS BUT IT ISNOT SUITABLE FOR SHARED CACHE, | ONLY FOR SOME PRIVATE CACHE | !!!",lazy-r01-basics-candidate-stage0,LAZY-R01,no-stage0-boundary-review-only,yes-for-lazy-r01,"Stage0 boundary candidate only: Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,LAZY-R01-lazy-basics-value-factory
S-006,IU-006,2a3824bc49dd2f5cc9e1cb481e860f9db8820834,2a3824bc49,S-006__2a3824bc49.png,4226.35,593.8,428.0,287.0,"ctor lazy | factory lazy | exception caching | LAZY | lock contention | !!! | lazy<Task> | async | different patterns | lazy with params | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT",lazy-r01-basics-candidate-stage0,LAZY-R01,no-stage0-boundary-review-only,yes-for-lazy-r01,"Stage0 boundary candidate only: Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,LAZY-R01-lazy-basics-value-factory
S-007,IU-007,f1ea90e07c971bf964091169b990a8edf031bb24,f1ea90e07c,S-007__f1ea90e07c.png,5556.787,696.497,797.0,228.0,"lock contention | ctor lazy | factory lazy | exception caching | !!! | LAZY | lazy<Task> | async | different patterns | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT | lazy with params",lazy-r01-basics-candidate-stage0,LAZY-R01,no-stage0-boundary-review-only,yes-for-lazy-r01,"Stage0 boundary candidate only: Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,LAZY-R01-lazy-basics-value-factory
S-008,IU-008,64581ffdc05e9320a1aa5a11a4e1fc421a3a34a4,64581ffdc0,S-008__64581ffdc0.png,2390.237,790.158,930.0,406.0,"LAZY | lazy<Task> | async | ctor lazy | factory lazy | exception caching | !!! | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT | different patterns | lazy with params | threadsafety modes",lazy-r01-basics-candidate-stage0,LAZY-R01,no-stage0-boundary-review-only,yes-for-lazy-r01,"Stage0 boundary candidate only: Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,LAZY-R01-lazy-basics-value-factory
S-009,IU-009,395f0d4984e4170d6b276fbba209409141723c0e,395f0d4984,S-009__395f0d4984.png,291.975,897.032,933.0,393.0,"ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT | different patterns | lazy with params | SO HERE WE CAN HAVE DIFFERENT ARGS BUT IT ISNOT SUITABLE FOR SHARED CACHE, | ONLY FOR SOME PRIVATE CACHE | lazy<Task> | async | LAZY | SHARED CACHE IMPLEMENTATION, CAN CREATE METHOD THAT ACCEPTS | ARGUMENT AND SETS IT AS KEY AND INTERNALLY DOES GETORADD | !!! | ctor lazy",lazy-r01-basics-candidate-stage0,LAZY-R01,no-stage0-boundary-review-only,yes-for-lazy-r01,"Stage0 boundary candidate only: Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,LAZY-R01-lazy-basics-value-factory
S-010,IU-010,458eec996319b5d10ca68f8d66c4da7814e02465,458eec9963,S-010__458eec9963.png,5586.9,935.063,860.0,482.0,"lock contention | ctor lazy | factory lazy | exception caching | !!! | LAZY | lazy<Task> | async | ONE CAPTURED VALUE FOR ALL USAGES, CANT CHANGE IT | different patterns | lazy with params",lazy-r01-basics-candidate-stage0,LAZY-R01,no-stage0-boundary-review-only,yes-for-lazy-r01,"Stage0 boundary candidate only: Lazy<T> basics: deferred initialization, value factory, Value property, exception caching, and when lazy allocation is useful.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,LAZY-R01-lazy-basics-value-factory
