label_id,text,x,y,font_size,fill
L-001,monitor,3699.451,163.336,135.64910567434197px,#d3d3d3
L-002,wait pulse pulseall,531.347,267.969,102.13136157821423px,#d3d3d3
L-003,when to use,1598.014,1642.3,102.13136157821423px,#d3d3d3
L-004,"pulse,pulseall",644.31,905.2,77.51597696282981px,#d3d3d3
L-005,example,671.074,1488.657,77.51597696282981px,#d3d3d3
L-006,pulseall example,1661.303,99.978,102.13136157821423px,#d3d3d3
L-007,each still need to acquire,1661.303,227.642,102.13136157821423px,#d3d3d3
L-008,"lock,can be wastefull",1661.303,355.306,102.13136157821423px,#d3d3d3
L-009,"enter,exit,tryenter",3672.395,381.85,75.99999999999999px,#d3d3d3
L-010,tryenter with timeout,4638.128,393.759,99.38606507987281px,#d3d3d3
L-011,same thread can reenter,3386.937,2079.59,78.2548832217024px,#d3d3d3
L-012,when it holds the gate,3386.937,2177.408,78.2548832217024px,#d3d3d3
L-013,"lock,",6774.057,172.537,97.53919764112px,#d3d3d3
L-014,can use await?,6774.057,294.461,97.53919764112px,#d3d3d3
L-015,synch lock,6774.057,416.385,97.53919764112px,#d3d3d3
L-016,async semaphore,6774.057,538.309,97.53919764112px,#d3d3d3
L-017,"bad,fine",7994.098,234.839,121.00584803174495px,#d3d3d3
L-018,blocking,7994.098,386.096,121.00584803174495px,#d3d3d3
L-019,lock principle,8957.907,312.171,105.00589685986992px,#d3d3d3
L-020,lock multistep oper,8957.907,443.429,105.00589685986992px,#d3d3d3
L-021,object to hold(gate),6858.558,2219.581,148.73919764111992px,#d3d3d3
L-022,!!!!,418.902,779.259,64.4444715711812px,#d3d3d3
