source_id,image_use_id,symbol_id,sha256,x,y,width,height,pixel_width,pixel_height,region_id,previously_present,restored,coverage_status,assignment_count,asset_path,description,nearest_text_nodes_hint_only
RS-001,RIU-001,image-72b16c31cfe4b26ba421d9d4d862c7ac5dc3dbe5,abe040fefb7fc095579912cdefba4b83bc3ba7fc0808e7cfc6d83a9eca565d31,1672.7793892940608,172.7603829015752,856.0,124.0,856,124,R04,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-001__abe040fefb.png,Separates per-account lockout from aggregate request rate limiting.,"[{""text_id"": ""FT-002"", ""text"": ""manual account lockout + retry after manually""}, {""text_id"": ""FT-005"", ""text"": ""you should rate limit on server to avoid problems""}, {""text_id"": ""FT-004"", ""text"": ""its just for client to show ui and not allow normal users to do requests""}, {""text_id"": ""FT-008"", ""text"": ""limiter types""}, {""text_id"": ""FT-001"", ""text"": ""how retry after works for rate limiting""}]"
RS-002,RIU-002,image-02c9394904cd1b0d088da0c7d92c5c87abe575f7,9110309d7972677161b19749037f0068918fe7114fd76e376beeffa2501450c8,250.65606982945428,201.11450053488807,933.0,482.0,933,482,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-002__9110309d79.png,Explains Retry-After as an advisory client wait hint rather than enforcement by itself.,"[{""text_id"": ""FT-005"", ""text"": ""you should rate limit on server to avoid problems""}, {""text_id"": ""FT-004"", ""text"": ""its just for client to show ui and not allow normal users to do requests""}, {""text_id"": ""FT-002"", ""text"": ""manual account lockout + retry after manually""}, {""text_id"": ""FT-001"", ""text"": ""how retry after works for rate limiting""}, {""text_id"": ""FT-020"", ""text"": ""context.lease""}]"
RS-003,RIU-003,image-98ea27a5ba3e8020e5fb8883960030ecd78bf07f,cc58617eb3e6d109c846d3a6c4c8b68dade6321f9aa1e47cffa6a807485cf0f0,1716.0204210145312,332.86336955521983,642.0,482.0,880,661,R04,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-003__cc58617eb3.png,"Manual account-lockout algorithm with failed-count, timestamps, lockout end, and success reset.","[{""text_id"": ""FT-002"", ""text"": ""manual account lockout + retry after manually""}, {""text_id"": ""FT-005"", ""text"": ""you should rate limit on server to avoid problems""}, {""text_id"": ""FT-004"", ""text"": ""its just for client to show ui and not allow normal users to do requests""}, {""text_id"": ""FT-008"", ""text"": ""limiter types""}, {""text_id"": ""FT-020"", ""text"": ""context.lease""}]"
RS-004,RIU-004,image-000c3da0d0e73c044a15586dd0cd32936322b088,2aea2a8f7b6a341901d39687b7017ab7de20cef3c4c4ba1aaafc5ac06002f30b,7696.837308331449,361.9716936553741,985.0,266.0,985,266,R04,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-004__2aea2a8f7b.png,Recommended combination: Identity lockout for failed-only account protection plus middleware for total request volume.,"[{""text_id"": ""FT-006"", ""text"": ""and examples""}, {""text_id"": ""FT-003"", ""text"": ""rate limiting + lockout patterns""}, {""text_id"": ""FT-010"", ""text"": ""pattern 2, add ratelimiter for all requests and cache based service to""}, {""text_id"": ""FT-011"", ""text"": ""score failed attempts""}, {""text_id"": ""FT-012"", ""text"": ""using custom middleware (bad)""}]"
RS-005,RIU-005,image-c2a6fd40c037c159fdc1d949d4ca163cc1ccff1a,c8e4a5bae1366dc08f5193f1a8161c41cfeca711e1ef521a6667c3845bedcb78,10432.109668653433,369.5610833235296,859.0,470.0,859,470,R04,True,False,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-005__c8e4a5bae1.png,Identity built-in lockout fields and APIs.,"[{""text_id"": ""FT-007"", ""text"": ""lockout with identity""}, {""text_id"": ""FT-023"", ""text"": ""redis through idistributed cache vs""}, {""text_id"": ""FT-024"", ""text"": ""multiplexer + idatabase""}, {""text_id"": ""FT-006"", ""text"": ""and examples""}, {""text_id"": ""FT-003"", ""text"": ""rate limiting + lockout patterns""}]"
RS-006,RIU-006,image-9ba0831eac020043fa162869625310ab12597c3c,f6cb4b66fc73ce30b445e6090e3d8f4601f48bd9eabec60679b04e7e95961c72,5115.513169246473,425.19915807534926,742.0,339.0,936,428,R03,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-006__f6cb4b66fc.png,ASP.NET Core rate-limiting rejection path and Retry-After handling.,"[{""text_id"": ""FT-009"", ""text"": ""rate limiter middleware""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-008"", ""text"": ""limiter types""}, {""text_id"": ""FT-012"", ""text"": ""using custom middleware (bad)""}]"
RS-007,RIU-007,image-a116e709c8053b158ecd803db491f6e2b675347d,10ab6ddc703b332ca3dd36cff7574b4d7eb0d68038af3c670a399fbc54f74bb7,3983.127919281027,446.45713957454427,856.0,482.0,944,532,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-007__10ab6ddc70.png,"Fixed-window behavior, benefits, and boundary-burst drawback.","[{""text_id"": ""FT-008"", ""text"": ""limiter types""}, {""text_id"": ""FT-009"", ""text"": ""rate limiter middleware""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}]"
RS-008,RIU-008,image-130f4a4265bb5f85501a6df47b57517f2f61374c,cbb8bff03999d6afce9a3e43258b8e2b3211ed015078455d8a03b594c25b5918,5104.612167682115,755.5051143378223,755.0,459.0,906,551,R03,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-008__cbb8bff039.png,Fixed-window policy code and rejection callback.,"[{""text_id"": ""FT-009"", ""text"": ""rate limiter middleware""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-012"", ""text"": ""using custom middleware (bad)""}]"
RS-009,RIU-009,image-de4aa09388079356a2a788bcdaef7c38a2154b4a,34db3a13aa828e5c2e44efc7916857fbb49d65c77bf70ca05a25acb80220c5d8,2909.7655767146316,809.9588867829661,912.0,482.0,927,490,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-009__34db3a13aa.png,Token-bucket burst semantics.,"[{""text_id"": ""FT-008"", ""text"": ""limiter types""}, {""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-009"", ""text"": ""rate limiter middleware""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}]"
RS-010,RIU-010,image-9fb1b1a19edc13dd51595f7c2d7738a500a15e23,07b40c9ba5ec97354dbbecf76c77bcd9aed78e663724295e8de3c2cdc5ae6ece,8992.144134911792,828.2836263383615,771.0,482.0,873,546,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-010__07b40c9ba5.png,"Manual cached-attempt approach: strengths, fallback concerns, and key-design cautions.","[{""text_id"": ""FT-007"", ""text"": ""lockout with identity""}, {""text_id"": ""FT-011"", ""text"": ""score failed attempts""}, {""text_id"": ""FT-010"", ""text"": ""pattern 2, add ratelimiter for all requests and cache based service to""}, {""text_id"": ""FT-006"", ""text"": ""and examples""}, {""text_id"": ""FT-003"", ""text"": ""rate limiting + lockout patterns""}]"
RS-011,RIU-011,image-b8cb4929f8a663bfd07597bc3a5ac08d800883f0,55a3e2c5403dd6f977cc0b0dc4ebe2056697a24e50278661d79ff140d541b81b,7778.233497886573,830.5830937081191,865.0,221.0,865,221,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-011__55a3e2c540.png,Redis failed-attempt implementation overview.,"[{""text_id"": ""FT-011"", ""text"": ""score failed attempts""}, {""text_id"": ""FT-010"", ""text"": ""pattern 2, add ratelimiter for all requests and cache based service to""}, {""text_id"": ""FT-006"", ""text"": ""and examples""}, {""text_id"": ""FT-003"", ""text"": ""rate limiting + lockout patterns""}, {""text_id"": ""FT-021"", ""text"": ""new key - set expiration""}]"
RS-012,RIU-012,image-65f58613449fa237b1fc8cbb3b1a25b6a36173d2,b7d6697237d7f474281f2c33a4bf1333f22fea436809cc3d62b4297f0ff750bd,1689.8669815249632,842.4929539736258,825.0,482.0,985,576,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-012__b7d6697237.png,Windowed counter and user-table field model.,"[{""text_id"": ""FT-002"", ""text"": ""manual account lockout + retry after manually""}, {""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-005"", ""text"": ""you should rate limit on server to avoid problems""}, {""text_id"": ""FT-004"", ""text"": ""its just for client to show ui and not allow normal users to do requests""}, {""text_id"": ""FT-008"", ""text"": ""limiter types""}]"
RS-013,RIU-013,image-5df251319def930191ee75ab752e57e66af22e65,7f78ddf81dfe7cbd046c1ef7ca291cf0da14a0132464295720dc577e3f19b49e,10435.427961444624,866.7883005642943,976.0,341.0,976,341,R04,True,False,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-013__7f78ddf81d.png,Identity CheckPasswordSignInAsync with lockoutOnFailure and related APIs.,"[{""text_id"": ""FT-007"", ""text"": ""lockout with identity""}, {""text_id"": ""FT-023"", ""text"": ""redis through idistributed cache vs""}, {""text_id"": ""FT-024"", ""text"": ""multiplexer + idatabase""}, {""text_id"": ""FT-006"", ""text"": ""and examples""}, {""text_id"": ""FT-003"", ""text"": ""rate limiting + lockout patterns""}]"
RS-014,RIU-014,image-f346fa45563f63000371a57ff27a5ba867f8ed46,5517709e008d7e2459068a1b27f2a6d9459e0a61a1dcf6623ede88545132a94b,3983.938249049428,936.8861723337723,893.0,476.0,893,476,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-014__5517709e00.png,"Token-bucket mechanics, pros, and tradeoffs.","[{""text_id"": ""FT-008"", ""text"": ""limiter types""}, {""text_id"": ""FT-009"", ""text"": ""rate limiter middleware""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}]"
