text_id,text,x,y,font_size,text_sha256,region_id,previously_present,restored_structural_node,node_kind,coverage_status,assignment_count
FT-001,how retry after works for rate limiting,10.0,67.2392277580377,64.97074660390204px,fbb618f6eb0790ee5e6c5cbac865e33e1ff492a6120d1ba12ebf0781c0c525a1,R01,True,False,semantic-text-node,processed-semantic-transcript,1
FT-002,manual account lockout + retry after manually,1366.5259521725256,71.39979073610306,65.33331298828122px,82c4335387a046c79156d4c485766bbafed035dd076b128355c6c08e9507a9e4,R04,True,False,semantic-text-node,processed-semantic-transcript,1
FT-003,rate limiting + lockout patterns,7858.271107121404,139.67144400398624,101.60205675934124px,398ea176e7925e058353d97df9371f2470b73831c0854be0259da79afbe0e05b,R08,True,False,semantic-text-node,processed-semantic-transcript,1
FT-004,its just for client to show ui and not allow normal users to do requests,391.61078147145236,153.8650263084138,20px,223f93b5429021f8d1b9cb05efe579432d5dcd62e9e36ce671d5adcea4a43e82,R01,True,False,semantic-text-node,processed-semantic-transcript,1
FT-005,you should rate limit on server to avoid problems,391.61078147145236,178.8650263084138,20px,7380ec66e25df75f9e4f09b21926d1a1bede5879e5e6fa8eb762ce716dd27249,R01,True,False,semantic-text-node,processed-semantic-transcript,1
FT-006,and examples,7858.271107121404,266.6740149531628,101.60205675934124px,06079e208231787fa3a15d5d3c01f7ba3d832bc8eeaaf13fd637cbdeb0bba476,R08,True,False,semantic-text-node,processed-semantic-transcript,1
FT-007,lockout with identity,10377.898843353898,288.0041942379968,113.3333740234375px,0f9bdc87acab6144f420bf13877a7c0890b1e3ca4f1c506309063e68a9c1830e,R04,True,False,semantic-text-node,processed-semantic-transcript,1
FT-008,limiter types,3999.529491059371,315.44946403743484,136.84838867187494px,b29aab335a7592be437da259302b08958b477d79ffd65d7f7f7281dc6a206eff,R02,True,False,semantic-text-node,processed-semantic-transcript,1
FT-009,rate limiter middleware,4979.303763858723,317.7026800096136,101.26978120349811px,760aa6b9f0173e305b49347959d9d148d212a3bb384d53ddd53c013ad9cdb096,R03,True,False,semantic-text-node,processed-semantic-transcript,1
FT-010,"pattern 2, add ratelimiter for all requests and cache based service to",7709.00397377631,721.238741498323,40.800000000000004px,38816985696bb751d438781252043e564c73e5ce504de635d059987039c8b6d1,R08,True,False,semantic-text-node,processed-semantic-transcript,1
