image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,"Map creation, CRUD, size and iteration",processed,2fe5fab9e3d2,image-4a2d1672c7d11fca0e3adca19f06cca40528b220,198.83110409140733,10.0,629.0,301.0,918,439,source/images/2fe5fab9e3d2.png
S-002,R02,"WeakMap object keys, weak reachability and garbage collection",processed,6830fe483b57,image-796da5820b0a79e957a2bf47b1b7f55e965c0b20,1541.2861947115664,79.07583644768772,1044.0,482.0,1056,488,source/images/6830fe483b57.png
S-003,R01,"Map creation, CRUD, size and iteration",processed,743d0c8732aa,image-b8fafe8b006105a980b6f7c084190aaaa2c8c790,79.07887742028794,288.2706894265082,896.0,365.0,896,365,source/images/743d0c8732aa.png
S-004,R02,"WeakMap object keys, weak reachability and garbage collection",processed,d266c38a1d50,image-78d18c17ef8a015de3bb3ab7ced7fc39f5900862,1507.481628733944,660.8035746010536,1066.0,468.0,1066,468,source/images/d266c38a1d50.png
S-005,R01,"Map creation, CRUD, size and iteration",processed,85252bb4b269,image-52c0f26f1a2246884dc793fd82a65dca60e2b56b,14.53128743702905,670.2230558467091,987.0,403.0,987,403,source/images/85252bb4b269.png
S-006,R01,"Map creation, CRUD, size and iteration",processed,3e3b14f3d5c7,image-16073ec5c96053346d0b7e1f163db90f22e4e14f,10.0,1137.6754222669101,1023.0,430.0,1037,436,source/images/3e3b14f3d5c7.png
S-007,R02,"WeakMap object keys, weak reachability and garbage collection",processed,dd901723a0e6,image-5759e215237723190e53aaee9a6efe13602aa9c0,1511.5666494045174,1184.7583678953251,967.0,765.0,949,750,source/images/dd901723a0e6.png
S-008,R03,"conversion, equality, patterns and serialization limits",processed,9411367a8eaf,image-9cec3a5625a52b238605e3cd09b1cc9adadf42d3,21.05443626474232,1698.6994693918477,933.0,337.0,933,337,source/images/9411367a8eaf.png
S-009,R03,"conversion, equality, patterns and serialization limits",processed,17c840b03d44,image-b8e0ea5f5ee5359b6729f3ec4fcf47233a5fb460,31.258065231484125,2173.6638525669177,984.0,392.0,984,392,source/images/17c840b03d44.png
S-010,R03,"conversion, equality, patterns and serialization limits",processed,1841f5d677dd,image-b36512de265e7cdc30da9824619762d49079c9fc,30.262306382952033,2693.5564723702923,1031.0,815.0,808,639,source/images/1841f5d677dd.png
S-011,R04,"capacity misconceptions, memory and performance guidance",processed,76a0014fc743,image-6a1216a1a7b1fdd6fe0efa7d6570cc2c04af6c75,19.07866871323438,3653.830052247175,1025.0,594.0,1040,603,source/images/76a0014fc743.png
