source_id,image_use_id,fileId,fileId_short,image_file,x,y,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes,stage0_group_key
S-001,IU-001,85d11c0ea253ca5e165f36445c18603c96e00c40,85d11c0ea2,S-001__85d11c0ea2.png,9635.21,10.0,804.0,482.0,flow | some theo | using System.Security.Cryptography; | using OtpNet; | public static class TotpSecretBytes | {,processed-in-mfa-r00-foreign-stray-v001,MFA-R00,yes-for-mfa-r00-stage1,no-for-stage1-transcript,"Included in MFA Stage1 MFA-R00 transcript; visible text present, no OCR-placeholder.","Included in MFA Stage1 MFA-R00 transcript; visible text present, no OCR-placeholder.",MFA-R02-enrollment-authentication-flow
S-002,IU-002,a95d6719c0928131129fbd4262e86b296c831d88,a95d6719c0,S-002__a95d6719c0.png,4883.084,424.833,848.0,368.0,flow | some theo | using System.Security.Cryptography; | using OtpNet; | public static class TotpSecretBytes | {,processed-in-mfa-r02-v001,MFA-R02,yes-for-mfa-r02-stage1,no-for-stage1-transcript,"Included in MFA Stage1 MFA-R02 transcript; visible text present, no OCR-placeholder.","Included in MFA Stage1 MFA-R02 transcript; visible text present, no OCR-placeholder.",MFA-R02-enrollment-authentication-flow
S-003,IU-003,7af8538b22f11c7e90b1a096699c4ad809c47c1f,7af8538b22,S-003__7af8538b22.png,3421.642,471.733,879.0,277.0,some theo | flow | helpers secret generation | using System.Security.Cryptography; | using OtpNet;,processed-in-mfa-r01-v001,MFA-R01,yes-for-mfa-r01-stage1,no-for-stage1-transcript,"Included in MFA Stage1 MFA-R01 transcript; visible text present, no OCR-placeholder.","Included in MFA Stage1 MFA-R01 transcript; visible text present, no OCR-placeholder.",MFA-R01-totp-mfa-theory
S-004,IU-004,ca9f8fd4bc146009e146da8a23cc816ce3456d2a,ca9f8fd4bc,S-004__ca9f8fd4bc.png,9638.896,525.611,822.0,257.0,flow | some theo | using System.Security.Cryptography; | using OtpNet; | public static class TotpSecretBytes | {,processed-in-mfa-r00-foreign-stray-v001,MFA-R00,yes-for-mfa-r00-stage1,no-for-stage1-transcript,"Included in MFA Stage1 MFA-R00 transcript; visible text present, no OCR-placeholder.","Included in MFA Stage1 MFA-R00 transcript; visible text present, no OCR-placeholder.",MFA-R02-enrollment-authentication-flow
S-005,IU-005,ef967f0ae1c03f111abeafd6dda6683c9d80a9a0,ef967f0ae1,S-005__ef967f0ae1.png,3472.933,782.41,765.0,482.0,some theo | flow | helpers secret generation | using System.Security.Cryptography; | using OtpNet;,processed-in-mfa-r01-v001,MFA-R01,yes-for-mfa-r01-stage1,no-for-stage1-transcript,"Included in MFA Stage1 MFA-R01 transcript; visible text present, no OCR-placeholder.","Included in MFA Stage1 MFA-R01 transcript; visible text present, no OCR-placeholder.",MFA-R01-totp-mfa-theory
S-006,IU-006,e6d3a7ccedda224a1f37911e1a917786843fb622,e6d3a7cced,S-006__e6d3a7cced.png,4916.407,830.482,657.0,482.0,flow | some theo | using System.Security.Cryptography; | using OtpNet; | public static class TotpSecretBytes | {,processed-in-mfa-r02-v001,MFA-R02,yes-for-mfa-r02-stage1,no-for-stage1-transcript,"Included in MFA Stage1 MFA-R02 transcript; visible text present, no OCR-placeholder.","Included in MFA Stage1 MFA-R02 transcript; visible text present, no OCR-placeholder.",MFA-R02-enrollment-authentication-flow
S-007,IU-007,38392ce3717d32c67073ab88c632e8785d0768c7,38392ce371,S-007__38392ce371.png,3483.225,1277.648,748.0,482.0,some theo | flow | helpers secret generation | using System.Security.Cryptography; | using OtpNet;,processed-in-mfa-r01-v001,MFA-R01,yes-for-mfa-r01-stage1,no-for-stage1-transcript,"Included in MFA Stage1 MFA-R01 transcript; visible text present, no OCR-placeholder.","Included in MFA Stage1 MFA-R01 transcript; visible text present, no OCR-placeholder.",MFA-R01-totp-mfa-theory
S-008,IU-008,29ad9707bcb69efa8caa6de5e353a47aeed6a178,29ad9707bc,S-008__29ad9707bc.png,4910.993,1343.082,844.0,206.0,flow | some theo | using System.Security.Cryptography; | using OtpNet; | public static class TotpSecretBytes | {,processed-in-mfa-r02-v001,MFA-R02,yes-for-mfa-r02-stage1,no-for-stage1-transcript,"Included in MFA Stage1 MFA-R02 transcript; visible text present, no OCR-placeholder.","Included in MFA Stage1 MFA-R02 transcript; visible text present, no OCR-placeholder.",MFA-R02-enrollment-authentication-flow
S-009,IU-009,708db6e44fa50295383452052158d6ddca2b401d,708db6e44f,S-009__708db6e44f.png,4951.768,1631.983,935.0,428.0,flow | some theo | using System.Security.Cryptography; | using OtpNet; | public static class TotpSecretBytes | {,processed-in-mfa-r02-v001,MFA-R02,yes-for-mfa-r02-stage1,no-for-stage1-transcript,"Included in MFA Stage1 MFA-R02 transcript; visible text present, no OCR-placeholder.","Included in MFA Stage1 MFA-R02 transcript; visible text present, no OCR-placeholder.",MFA-R02-enrollment-authentication-flow
S-010,IU-010,36fc8b849154ccaddb3b4165abb558dde023139a,36fc8b8491,S-010__36fc8b8491.png,3477.452,1774.709,775.0,372.0,some theo | flow | helpers secret generation | using System.Security.Cryptography; | using OtpNet;,processed-in-mfa-r01-v001,MFA-R01,yes-for-mfa-r01-stage1,no-for-stage1-transcript,"Included in MFA Stage1 MFA-R01 transcript; visible text present, no OCR-placeholder.","Included in MFA Stage1 MFA-R01 transcript; visible text present, no OCR-placeholder.",MFA-R01-totp-mfa-theory
