region,source_id,image_use_id,file_id,image_file,x,y,width,height,theme,stage1_status,region_description
R01,S-001,IU-001,ec574fa8b8,source/images/ec574fa8b8.png,2237.252,214.845,780.0,512.0,middleware basics / request pipeline / order,verified-semantic-transcript,"middleware basics, RequestDelegate shape, order, DI/scoped gotchas, inheritance/common structure"
R01,S-002,IU-002,c88a50fa73,source/images/c88a50fa73.png,2243.908,728.837,750.0,172.0,middleware basics / request pipeline / order,verified-semantic-transcript,"middleware basics, RequestDelegate shape, order, DI/scoped gotchas, inheritance/common structure"
R01,S-003,IU-003,9c466b821f,source/images/9c466b821f.png,1085.598,886.272,956.0,420.0,middleware basics / request pipeline / order,verified-semantic-transcript,"middleware basics, RequestDelegate shape, order, DI/scoped gotchas, inheritance/common structure"
R01,S-004,IU-004,25c0cda4bd,source/images/25c0cda4bd.png,3164.013,995.032,925.0,77.0,middleware basics / request pipeline / order,verified-semantic-transcript,"middleware basics, RequestDelegate shape, order, DI/scoped gotchas, inheritance/common structure"
R01,S-005,IU-005,0521cca84f,source/images/0521cca84f.png,4066.595,1290.942,740.0,200.0,middleware basics / request pipeline / order,verified-semantic-transcript,"middleware basics, RequestDelegate shape, order, DI/scoped gotchas, inheritance/common structure"
R01,S-006,IU-006,9fe5d1e1bc,source/images/9fe5d1e1bc.png,1036.073,1397.339,985.0,482.0,middleware basics / request pipeline / order,verified-semantic-transcript,"middleware basics, RequestDelegate shape, order, DI/scoped gotchas, inheritance/common structure"
R01,S-007,IU-007,6c98045cdb,source/images/6c98045cdb.png,2213.906,1481.409,917.0,525.0,middleware basics / request pipeline / order,verified-semantic-transcript,"middleware basics, RequestDelegate shape, order, DI/scoped gotchas, inheritance/common structure"
R01,S-008,IU-008,44e65518c8,source/images/44e65518c8.png,3315.035,1519.07,559.0,329.0,middleware basics / request pipeline / order,verified-semantic-transcript,"middleware basics, RequestDelegate shape, order, DI/scoped gotchas, inheritance/common structure"
R01,S-009,IU-009,c7ab75af82,source/images/c7ab75af82.png,4002.281,1646.099,1199.0,159.0,middleware basics / request pipeline / order,verified-semantic-transcript,"middleware basics, RequestDelegate shape, order, DI/scoped gotchas, inheritance/common structure"
R01,S-010,IU-010,01786d4c10,source/images/01786d4c10.png,1072.708,1942.478,894.0,482.0,middleware basics / request pipeline / order,verified-semantic-transcript,"middleware basics, RequestDelegate shape, order, DI/scoped gotchas, inheritance/common structure"
R01,S-011,IU-011,089f56ffb3,source/images/089f56ffb3.png,2148.848,2056.328,1170.0,338.0,middleware basics / request pipeline / order,verified-semantic-transcript,"middleware basics, RequestDelegate shape, order, DI/scoped gotchas, inheritance/common structure"
R02,S-012,IU-012,d1e021f798,source/images/d1e021f798.png,10.0,2271.173,869.0,482.0,WriteAsJson / response / short-circuiting,verified-semantic-transcript,"non-MVC JSON responses, Response.WriteAsJsonAsync, short-circuiting, exception/response flow"
R02,S-013,IU-013,f00bafa15a,source/images/f00bafa15a.png,2216.54,2466.356,809.0,270.0,WriteAsJson / response / short-circuiting,verified-semantic-transcript,"non-MVC JSON responses, Response.WriteAsJsonAsync, short-circuiting, exception/response flow"
R02,S-014,IU-014,e4473f313b,source/images/e4473f313b.png,1063.277,2480.996,954.0,274.0,WriteAsJson / response / short-circuiting,verified-semantic-transcript,"non-MVC JSON responses, Response.WriteAsJsonAsync, short-circuiting, exception/response flow"
R02,S-015,IU-015,e138460f95,source/images/e138460f95.png,74.05,2812.196,720.0,482.0,WriteAsJson / response / short-circuiting,verified-semantic-transcript,"non-MVC JSON responses, Response.WriteAsJsonAsync, short-circuiting, exception/response flow"
R02,S-016,IU-016,4408269d98,source/images/4408269d98.png,916.136,3120.65,729.0,482.0,WriteAsJson / response / short-circuiting,verified-semantic-transcript,"non-MVC JSON responses, Response.WriteAsJsonAsync, short-circuiting, exception/response flow"
R02,S-017,IU-017,f62882f045,source/images/f62882f045.png,2365.947,3169.406,771.0,301.0,WriteAsJson / response / short-circuiting,verified-semantic-transcript,"non-MVC JSON responses, Response.WriteAsJsonAsync, short-circuiting, exception/response flow"
R02,S-018,IU-018,ec574fa8b8,source/images/ec574fa8b8.png,2376.63,3508.046,780.0,512.0,WriteAsJson / response / short-circuiting,verified-semantic-transcript,"non-MVC JSON responses, Response.WriteAsJsonAsync, short-circuiting, exception/response flow"
R02,S-019,IU-019,6c1769b421,source/images/6c1769b421.png,817.884,3641.356,1035.0,462.0,WriteAsJson / response / short-circuiting,verified-semantic-transcript,"non-MVC JSON responses, Response.WriteAsJsonAsync, short-circuiting, exception/response flow"
R02,S-020,IU-020,c88a50fa73,source/images/c88a50fa73.png,2383.286,4022.039,750.0,172.0,WriteAsJson / response / short-circuiting,verified-semantic-transcript,"non-MVC JSON responses, Response.WriteAsJsonAsync, short-circuiting, exception/response flow"
R02,S-021,IU-021,7321bf74f9,source/images/7321bf74f9.png,2399.734,4200.098,614.0,354.0,WriteAsJson / response / short-circuiting,verified-semantic-transcript,"non-MVC JSON responses, Response.WriteAsJsonAsync, short-circuiting, exception/response flow"
R02,S-022,IU-022,b11696d1c5,source/images/b11696d1c5.png,865.241,4363.986,998.0,441.0,WriteAsJson / response / short-circuiting,verified-semantic-transcript,"non-MVC JSON responses, Response.WriteAsJsonAsync, short-circuiting, exception/response flow"
R02,S-023,IU-023,0c638c00a7,source/images/0c638c00a7.png,2432.481,4575.637,446.0,354.0,WriteAsJson / response / short-circuiting,verified-semantic-transcript,"non-MVC JSON responses, Response.WriteAsJsonAsync, short-circuiting, exception/response flow"
R03,S-024,IU-024,d585780512,source/images/d585780512.png,885.287,4928.552,964.0,316.0,patterns / async / debugging / final examples,verified-semantic-transcript,"branching/pipeline patterns, async/debugging tips, common middleware patterns and final examples"
R03,S-025,IU-025,2179775b72,source/images/2179775b72.png,2368.55,5016.164,598.0,185.0,patterns / async / debugging / final examples,verified-semantic-transcript,"branching/pipeline patterns, async/debugging tips, common middleware patterns and final examples"
R03,S-026,IU-026,b66a9e89d6,source/images/b66a9e89d6.png,2383.108,5231.796,573.0,430.0,patterns / async / debugging / final examples,verified-semantic-transcript,"branching/pipeline patterns, async/debugging tips, common middleware patterns and final examples"
R03,S-027,IU-027,f53eba5fb8,source/images/f53eba5fb8.png,855.842,5272.572,971.0,462.0,patterns / async / debugging / final examples,verified-semantic-transcript,"branching/pipeline patterns, async/debugging tips, common middleware patterns and final examples"
R03,S-028,IU-028,a08230be1d,source/images/a08230be1d.png,2329.867,5684.312,624.0,430.0,patterns / async / debugging / final examples,verified-semantic-transcript,"branching/pipeline patterns, async/debugging tips, common middleware patterns and final examples"
R03,S-029,IU-029,95339c6f58,source/images/95339c6f58.png,848.815,5809.683,682.0,213.0,patterns / async / debugging / final examples,verified-semantic-transcript,"branching/pipeline patterns, async/debugging tips, common middleware patterns and final examples"
R03,S-030,IU-030,e642918cbe,source/images/e642918cbe.png,824.503,6089.843,1016.0,320.0,patterns / async / debugging / final examples,verified-semantic-transcript,"branching/pipeline patterns, async/debugging tips, common middleware patterns and final examples"
R03,S-031,IU-031,10fe58d1d4,source/images/10fe58d1d4.png,2309.294,6138.734,619.0,492.0,patterns / async / debugging / final examples,verified-semantic-transcript,"branching/pipeline patterns, async/debugging tips, common middleware patterns and final examples"
R03,S-032,IU-032,0edf50fb57,source/images/0edf50fb57.png,2393.295,6707.123,393.0,354.0,patterns / async / debugging / final examples,verified-semantic-transcript,"branching/pipeline patterns, async/debugging tips, common middleware patterns and final examples"
R03,S-033,IU-033,323e887c0a,source/images/323e887c0a.png,2314.958,7146.243,730.0,394.0,patterns / async / debugging / final examples,verified-semantic-transcript,"branching/pipeline patterns, async/debugging tips, common middleware patterns and final examples"
R03,S-034,IU-034,fb133680a2,source/images/fb133680a2.png,2296.745,7574.352,855.0,394.0,patterns / async / debugging / final examples,verified-semantic-transcript,"branching/pipeline patterns, async/debugging tips, common middleware patterns and final examples"
