use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-c51781fa10710b0ea7252018fe1aabf54d3c5706,fa4498499735.png,fa4498499735,R03,701.9861879080927,3090.6219340506195,902.0,382.0,1.0,,T-001|T-002|T-007,"discriminated union|why it works, nicer pattern|return value",pending_transcript
IU-002,image-4733231b94c6eeea2a03fc76234c995abae9d1e5,3707e7d22067.png,3707e7d22067,R03,704.1527528494989,2797.7328756196202,921.0,270.0,1.0,,T-001|T-002|T-007,"discriminated union|why it works, nicer pattern|return value",pending_transcript
IU-003,image-3a18d52d25669e3778a2772a0a784256ea7cb36c,59f54310c1da.png,59f54310c1da,R01,700.0959507238958,2260.7868773863447,829.0,482.0,1.0,,T-001|T-002|T-007,"discriminated union|why it works, nicer pattern|return value",pending_transcript
IU-004,image-6a25dc7d24a844321ac792dc81dc0577f9bcbd38,8a8e61000cfd.png,8a8e61000cfd,R01,696.3194703787958,1918.3995931489171,910.0,342.0,1.0,,T-001|T-002|T-007,"discriminated union|why it works, nicer pattern|return value",pending_transcript
IU-005,image-2e25ba96c1db5c779b3202f7ad76f21688e77461,0e8b680c3271.png,0e8b680c3271,R01,696.6527528494989,1509.7329519135656,956.0,406.0,1.0,,T-001|T-002|T-004,"discriminated union|why it works, nicer pattern|shape will be never at compile time",pending_transcript
IU-006,image-d490f523bdab32d01170e2187acc5b8a55aa2f87,373dfc359dff.png,373dfc359dff,R01,691.5046917329628,1226.8810893240425,906.0,270.0,1.0,,T-001|T-002|T-004,"discriminated union|why it works, nicer pattern|shape will be never at compile time",pending_transcript
IU-007,image-c2f2defe206950df8923c55849a24fe02c706993,5ee2221ce816.png,5ee2221ce816,R01,689.7452651921644,777.6587958941509,911.0,452.0,1.0,,T-002|T-001|T-004,"why it works, nicer pattern|discriminated union|shape will be never at compile time",pending_transcript
IU-008,image-83e038149c63cce1a3d18047755503178b9b806c,cfdd6808183d.png,cfdd6808183d,R03,11.148057725695253,4278.438416165967,989.0,469.0,1.0,,T-001|T-002|T-007,"discriminated union|why it works, nicer pattern|return value",pending_transcript
IU-009,image-f89c2085ad003c29bb4df61a31459a4d67831845,543b15f5e36a.png,543b15f5e36a,R03,10.0,3801.049459460248,935.0,446.0,1.0,,T-001|T-002|T-007,"discriminated union|why it works, nicer pattern|return value",pending_transcript
IU-010,image-86af2912993d0ebb96223dcb7911d6ee21cf133b,85581195a81c.png,85581195a81c,R04,1259.734236608931,4416.035943231995,889.0,218.0,1.0,,T-001|T-007|T-006,discriminated union|return value|complain about possible undefined,pending_transcript
IU-011,image-e8747216c5ced77dc9351a8fb478690a3f523e39,d5f85fae4e08.png,d5f85fae4e08,R04,1275.6546293265646,4319.750388800267,739.0,78.0,1.0,,T-001|T-007|T-006,discriminated union|return value|complain about possible undefined,pending_transcript
IU-012,image-b1368b8cf355ea82c5c938cb18cd2db0d3440cc1,b4e0cb71c20c.png,b4e0cb71c20c,R04,1256.7276944257037,3809.0227102288463,807.0,482.0,1.0,,T-001|T-007|T-006,discriminated union|return value|complain about possible undefined,pending_transcript
IU-013,image-c46643c45e11d667ce426555b045e33246a0dfb5,ae80d701bfcf.png,ae80d701bfcf,R02,2460.367357680226,812.4985468962316,865.0,398.0,1.0,,T-007|T-006|T-005,return value|complain about possible undefined|returning never for ts to not,pending_transcript
IU-014,image-1ae2905249d3f561ec0fa2380ce97b8e698083ae,e2e6c20bf169.png,e2e6c20bf169,R02,2463.034075209523,1231.33190566088,863.0,417.0,1.0,,T-007|T-006|T-005,return value|complain about possible undefined|returning never for ts to not,pending_transcript
IU-015,image-c7d5304e2a4e239e9285865ea53cfe28c855c6bb,46c4b1657b3c.png,46c4b1657b3c,R02,2466.867510268117,1679.83190566088,912.0,340.0,1.0,,T-007|T-006|T-005,return value|complain about possible undefined|returning never for ts to not,pending_transcript
IU-016,image-d079872e8b998b50948f16f62e2ddf984f6a850a,6e68859e7992.png,6e68859e7992,R02,2469.534075209523,2040.1652644255284,890.0,466.0,1.0,,T-007|T-006|T-005,return value|complain about possible undefined|returning never for ts to not,pending_transcript
IU-017,image-5a991528c0e23dc2135c7c3d879208b8a21ddb13,6ea975948d44.png,6ea975948d44,R02,2474.69800901603,2572.009014425528,796.0,482.0,1.0,,T-007|T-006|T-005,return value|complain about possible undefined|returning never for ts to not,pending_transcript
IU-018,image-3a18d52d25669e3778a2772a0a784256ea7cb36c,59f54310c1da.png,59f54310c1da,R02,2407.7996550974553,263.17996821400493,829.0,482.0,1.0,IU-003,T-004|T-003|T-002,"shape will be never at compile time|if we have checked for all results|why it works, nicer pattern",pending_transcript
