use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-637b11497b281948895beeb867a96717e1b4fe92,840f66c30e2d.png,840f66c30e2d,R04,6000.952170139486,359.73685560963986,684.0,175.0,1.0,,T-006|T-007|T-008,"ARRAYPOOL|TEMP ARRAY IS BEING CREATED|FOR EACH REQUEST, LIKE BUFFER",pending_transcript
IU-002,image-5e50d84c88e02e9f464a392d3f9c1966e7176f5d,95899114ca77.png,95899114ca77,R05,8213.802832646134,2080.400954478594,840.0,388.0,1.0,,T-003|T-002|T-001,RETURNING TO POOL|OWNERSHIP AND RESPONSIBILITY OF|LIKE ARRAYPOOL BUT WITH POSSIBILITY TO TRANSFER,pending_transcript
IU-003,image-e6d3c9f5faf01c4547d4fc49d1eae77a03861b1e,c14ce61e4e06.png,c14ce61e4e06,R05,8234.950405973424,2496.5047728441778,690.0,482.0,1.0,,T-003|T-002|T-001,RETURNING TO POOL|OWNERSHIP AND RESPONSIBILITY OF|LIKE ARRAYPOOL BUT WITH POSSIBILITY TO TRANSFER,pending_transcript
IU-004,image-ca878e223bfb44d582ddd9a8c4380dc57d2eddbb,0d072dd07499.png,0d072dd07499,R05,8223.291619117206,3030.3172986059135,575.0,177.0,1.0,,T-014|T-013|T-003,AVOID MESSY ARGS|!!!|RETURNING TO POOL,pending_transcript
IU-005,image-240a2333253090cdda85de798b2548dde3a227d7,81a7e2fed92f.png,81a7e2fed92f,R05,8210.13797644015,3232.996721207338,793.0,476.0,1.0,,T-014|T-013|T-003,AVOID MESSY ARGS|!!!|RETURNING TO POOL,pending_transcript
IU-006,image-c13dfbff61d246b4d644351d57f2d7a25cf35f5d,44ce72bd21c9.png,44ce72bd21c9,R05,8199.452166390223,3710.2619789676237,835.0,326.0,1.0,,T-014|T-013|T-003,AVOID MESSY ARGS|!!!|RETURNING TO POOL,pending_transcript
IU-007,image-75aa59cb17b7326efd76f99001ee107a3db69ad3,cba8e5308ff7.png,cba8e5308ff7,R05,8176.97241831649,4081.6847867937313,825.0,389.0,1.0,,T-014|T-013|T-003,AVOID MESSY ARGS|!!!|RETURNING TO POOL,pending_transcript
IU-008,image-8180870d5c0eb55534590f82c32954b85c057e99,098d6977b548.png,098d6977b548,R05,8221.417148262473,1577.0888136909698,822.0,460.0,1.0,,T-003|T-002|T-001,RETURNING TO POOL|OWNERSHIP AND RESPONSIBILITY OF|LIKE ARRAYPOOL BUT WITH POSSIBILITY TO TRANSFER,pending_transcript
IU-009,image-9bb63c1b158c5785fdd66774ff61bddb926da123,5b4af2748d83.png,5b4af2748d83,R05,8205.93971288282,879.3377279215483,842.0,423.0,1.0,,T-003|T-002|T-001,RETURNING TO POOL|OWNERSHIP AND RESPONSIBILITY OF|LIKE ARRAYPOOL BUT WITH POSSIBILITY TO TRANSFER,pending_transcript
IU-010,image-baaed37166c97039d794cd407cce441b1ec2f53b,5da9a738f89e.png,5da9a738f89e,R04,5981.422961437793,3507.144826787312,670.0,327.0,1.0,,T-014|T-013|T-018,AVOID MESSY ARGS|!!!|what objects good for pooling,pending_transcript
IU-011,image-1b25cacc9cdea3d32b77ec6b485e5c3f03d17c67,9ff15aced896.png,9ff15aced896,R04,5990.736165451555,2997.5038287021225,631.0,482.0,1.0,,T-014|T-013|T-018,AVOID MESSY ARGS|!!!|what objects good for pooling,pending_transcript
IU-012,image-0443a9b33cbdeb6ecad8f9b604f81da2e4d7a142,3e978ed7b83d.png,3e978ed7b83d,R04,5922.360940488137,2566.063335300706,800.0,407.0,1.0,,T-018|T-017|T-014,what objects good for pooling|what do you gain|AVOID MESSY ARGS,pending_transcript
IU-013,image-b562a3a4c6e4183a38ae9d9b15d8aa8e009ba8a1,752277af29f0.png,752277af29f0,R04,5951.586370637129,2065.2481850411195,587.0,482.0,1.0,,T-018|T-017|T-012,what objects good for pooling|what do you gain|BUFFER IS VERY FREQUESNT AND NOT TINY,pending_transcript
IU-014,image-f6df07427e19438ae3c6bffe7b25aaee392cbe8b,934a4cc0d5e8.png,934a4cc0d5e8,R04,5897.795494861286,1638.6991210006736,766.0,418.0,1.0,,T-012|T-011|T-010,BUFFER IS VERY FREQUESNT AND NOT TINY|BY ITSLEF|THE CALLING METHOD CAN RETURN IT TO POOL,pending_transcript
IU-015,image-a3dd2cc03c6a3e9ae57c8aea7a9392853dd63238,403e74da3cc6.png,403e74da3cc6,R04,5932.3814730686045,1456.8955103527906,489.0,170.0,1.0,,T-012|T-011|T-010,BUFFER IS VERY FREQUESNT AND NOT TINY|BY ITSLEF|THE CALLING METHOD CAN RETURN IT TO POOL,pending_transcript
IU-016,image-3e4ed903dc3c0a0427d63a18074a412469ccef18,02275c9d5471.png,02275c9d5471,R04,5904.5147168376225,972.6684661060199,669.0,482.0,1.0,,T-012|T-011|T-010,BUFFER IS VERY FREQUESNT AND NOT TINY|BY ITSLEF|THE CALLING METHOD CAN RETURN IT TO POOL,pending_transcript
IU-017,image-40ff72c005e1b341262262078224742900da963a,d560b5422ff7.png,d560b5422ff7,R02,4526.579854208636,408.0819795993157,472.0,360.0,1.0,,T-005|T-019|T-020,"OBJECTPOOL|basics,|provider.create",pending_transcript
IU-018,image-d77248b461a8e6a2fc7569aa07716bec4fe81022,bd1a6d810d8b.png,bd1a6d810d8b,R02,3610.4911565061193,1267.8553587040524,814.0,482.0,1.0,,T-015|T-017|T-018,customobjectpool|what do you gain|what objects good for pooling,pending_transcript
IU-019,image-5e6673221d6b7d914e14c91a698843235b393dc1,3e99f21603db.png,3e99f21603db,R02,3644.336423933848,767.2493350890009,632.0,482.0,1.0,,T-015|T-005|T-020,customobjectpool|OBJECTPOOL|provider.create,pending_transcript
IU-020,image-3f99bc57eb7719224839422dd5d2ded7bf9027a7,2eb3f7529386.png,2eb3f7529386,R03,4981.54472932577,4659.319818672396,790.0,482.0,1.0,,T-013|T-014|T-018,!!!|AVOID MESSY ARGS|what objects good for pooling,pending_transcript
IU-021,image-11f3368918167d952ecddf2a4305d526e78cb316,6b801f91e13f.png,6b801f91e13f,R03,4969.009502215113,4194.476040929155,737.0,452.0,1.0,,T-013|T-014|T-018,!!!|AVOID MESSY ARGS|what objects good for pooling,pending_transcript
IU-022,image-3419bb3455e12518e2c6b945f7debf87d44b7d86,24725fea43c6.png,24725fea43c6,R03,4967.5864674584445,3700.5319768755353,706.0,482.0,1.0,,T-014|T-013|T-018,AVOID MESSY ARGS|!!!|what objects good for pooling,pending_transcript
IU-023,image-ec02c01ed32a8e9c5a7680d98ac1242179a67e71,552705685e2b.png,552705685e2b,R03,4982.251889466533,3530.430586383706,679.0,151.0,1.0,,T-018|T-017|T-014,what objects good for pooling|what do you gain|AVOID MESSY ARGS,pending_transcript
IU-024,image-196354fcc4ee8436a7e3bf49c7f4d74e9b732512,264558f23ae1.png,264558f23ae1,R03,4990.771913816579,3018.1077159557963,647.0,482.0,1.0,,T-018|T-017|T-014,what objects good for pooling|what do you gain|AVOID MESSY ARGS,pending_transcript
IU-025,image-77e207cc92bcc86d7219a253d2ab8f3306c6c13d,8617340c13d8.png,8617340c13d8,R03,4935.418593124204,2917.5821477739873,826.0,87.0,1.0,,T-018|T-017|T-014,what objects good for pooling|what do you gain|AVOID MESSY ARGS,pending_transcript
IU-026,image-5158e1f61b7d3215d871036540a828847a6518b5,edc7c05a0bfc.png,edc7c05a0bfc,R03,4955.303452459747,2419.3198186724176,667.0,482.0,1.0,,T-018|T-017|T-020,what objects good for pooling|what do you gain|provider.create,pending_transcript
IU-027,image-8b4028cab69b72c604f2107441712e00eb51780d,218102354074.png,218102354074,R02,3769.2218296520796,3947.900310171891,845.0,456.0,1.0,,T-018|T-017|T-016,what objects good for pooling|what do you gain|createstringbuilderpool,pending_transcript
IU-028,image-6c8b0c1205791020f55fccf36d4c02d77fb0b488,077169c7cc7a.png,077169c7cc7a,R02,3744.6916006037845,3488.3700811235967,848.0,449.0,1.0,,T-018|T-017|T-016,what objects good for pooling|what do you gain|createstringbuilderpool,pending_transcript
IU-029,image-893a5a97ba50884798df1cd2d74237c4aa0f433e,e7d4fb0ce13d.png,e7d4fb0ce13d,R02,3724.615602586502,3284.0214945498437,813.0,168.0,1.0,,T-018|T-017|T-016,what objects good for pooling|what do you gain|createstringbuilderpool,pending_transcript
IU-030,image-bff014adef70e42e910db17aee30d70af4f5a56a,17d97f409b96.png,17d97f409b96,R02,3735.308466843252,2815.7542012555778,654.0,482.0,1.0,,T-018|T-016|T-017,what objects good for pooling|createstringbuilderpool|what do you gain,pending_transcript
IU-031,image-4bc68a11c0355e2252d3a21bc3875e8fd88dcac6,a824593d3802.png,a824593d3802,R02,3651.1712259588976,2383.600847519053,851.0,439.0,1.0,,T-018|T-017|T-016,what objects good for pooling|what do you gain|createstringbuilderpool,pending_transcript
IU-032,image-bcc534bccebee02371e923e14f43ee54160bcd33,25ddf7fcf9c5.png,25ddf7fcf9c5,R03,4948.560050421788,1675.4897126720452,798.0,257.0,1.0,,T-017|T-018|T-020,what do you gain|what objects good for pooling|provider.create,pending_transcript
IU-033,image-56b8f807b5b6e9f25238e95f8d53567a2687a426,ae7154298934.png,ae7154298934,R03,4926.949007127517,1323.6563793387095,819.0,354.0,1.0,,T-017|T-020|T-018,what do you gain|provider.create|what objects good for pooling,pending_transcript
IU-034,image-b1d1e6992d7d853f1ad20563375bc2fdac089151,bd6ae1f294b0.png,bd6ae1f294b0,R03,4906.023173319466,1102.2674531505609,475.0,211.0,1.0,,T-020|T-019|T-005,"provider.create|basics,|OBJECTPOOL",pending_transcript
IU-035,image-2a5a7ad7c9a34d51b4bb0e9ffe2c7564622f3c96,037ff14482b5.png,037ff14482b5,R03,4852.689839986132,858.8785981700921,883.0,208.0,1.0,,T-020|T-019|T-005,"provider.create|basics,|OBJECTPOOL",pending_transcript
IU-036,image-9502a458a6256f1c430a3227d2646878dd1ead25,6f8e89b15a42.png,6f8e89b15a42,R04,6985.990968731383,2325.376338394074,986.0,255.0,1.0,,T-003|T-002|T-001,RETURNING TO POOL|OWNERSHIP AND RESPONSIBILITY OF|LIKE ARRAYPOOL BUT WITH POSSIBILITY TO TRANSFER,pending_transcript
IU-037,image-3b827dc501d21dc0243089e884e35c3e3ce7f205,a8dea328d399.png,a8dea328d399,R04,7027.586935038061,2623.7234964985537,763.0,482.0,1.0,,T-014|T-013|T-003,AVOID MESSY ARGS|!!!|RETURNING TO POOL,pending_transcript
IU-038,image-6df4bb8b7d804593c1247947f9490685a557ff97,e1bb2389dad2.png,e1bb2389dad2,R04,7041.277756487238,3130.3901377339052,822.0,482.0,1.0,,T-014|T-013|T-003,AVOID MESSY ARGS|!!!|RETURNING TO POOL,pending_transcript
