label_id,text,x,y,font_size,candidate_region,status,notes
T-001,LIKE ARRAYPOOL BUT WITH POSSIBILITY TO TRANSFER,8295.649019304923,679.8812584949983,20px,R03,pending-transcript,
T-002,OWNERSHIP AND RESPONSIBILITY OF,8295.649019304923,679.8812584949983,20px,R03,pending-transcript,
T-003,RETURNING TO POOL,8295.649019304923,679.8812584949983,20px,R03,pending-transcript,
T-004,MEMORYPOOL,8368.37749407431,448.89043694295015,53.88054197341261px,R03,pending-transcript,
T-005,OBJECTPOOL,5036.79371962483,416.2239297973347,107.77328580978497px,R02,pending-transcript,
T-006,ARRAYPOOL,6069.862512574928,625.9947952297143,49.689650616385904px,R02,pending-transcript,
T-007,TEMP ARRAY IS BEING CREATED,6055.153921850447,716.5227421011214,20px,R02,pending-transcript,
T-008,"FOR EACH REQUEST, LIKE BUFFER",6055.153921850447,716.5227421011214,20px,R02,pending-transcript,
T-009,NO PARALLEL PROCESSING SO,6055.153921850447,716.5227421011214,20px,R02,pending-transcript,
T-010,THE CALLING METHOD CAN RETURN IT TO POOL,6055.153921850447,716.5227421011214,20px,R02,pending-transcript,
T-011,BY ITSLEF,6055.153921850447,716.5227421011214,20px,R02,pending-transcript,
T-012,BUFFER IS VERY FREQUESNT AND NOT TINY,6055.153921850447,716.5227421011214,20px,R02,pending-transcript,
T-013,!!!,6879.404544443998,4587.764434264604,93.84615384615607px,R02,pending-transcript,
T-014,AVOID MESSY ARGS,6924.7966864545515,4285.734424530285,97.33333333333329px,R02,pending-transcript,
T-015,customobjectpool,3698.5854283922586,562.2995592228654,77.90478515625001px,R01,pending-transcript,
T-016,createstringbuilderpool,3121.464306319752,2088.881676903769,127.733349609375px,R01,pending-transcript,
T-017,what do you gain,4912.8771544139045,2048.992799882827,60.29630533854163px,R02,pending-transcript,
T-018,what objects good for pooling,4912.8771544139045,2048.992799882827,60.29630533854163px,R02,pending-transcript,
T-019,"basics,",5220.568312031515,614.7358956440803,74.47619628906249px,R02,pending-transcript,
T-020,provider.create,5220.568312031515,614.7358956440803,74.47619628906249px,R02,pending-transcript,
T-021,when may need not default provider,1706.005258100905,818.4307128743217,53.600024414062474px,R01,pending-transcript,
T-022,(almost never),1706.005258100905,818.4307128743217,53.600024414062474px,R01,pending-transcript,
T-023,do i need to register policies?,1531.4094551125727,1636.1886584806398,124.13112208785039px,R01,pending-transcript,
T-024,options for object poolprovider,12.693243754080868,10.0,200.86324544787416px,R01,pending-transcript,
T-025,"usage,default,not default,what to",12.693243754080868,10.0,200.86324544787416px,R01,pending-transcript,
T-026,register,12.693243754080868,10.0,200.86324544787416px,R01,pending-transcript,
T-027,why register a policy,1643.7551361597762,2343.7031205956464,75.61903599330391px,R01,pending-transcript,
T-028,1,402.92884913312446,827.6837035774834,20px,R01,pending-transcript,
T-029,3 register the pool itself,218.80986314664733,2613.5597396792095,72.50198124341371px,R01,pending-transcript,
T-030,1 create everything manually,387.20045164007297,793.0339544164649,72.50198124341371px,R01,pending-transcript,
