image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R02,"arrays of objects, object input, JSON paths and missing properties",processed,72da427cfc27,image-2e3813ea626f19dc25f69c03f529c75b88746306,2681.3691423696623,990.2687477181898,985.0,444.0,985,444,source/images/72da427cfc27.png
S-002,R04,outer objects containing array properties and selecting an array path,processed,7194d1d612fc,image-515fb73708088cb55d011047dd96281877a36ba4,5323.719488594046,1031.4404395466554,695.0,401.0,927,535,source/images/7194d1d612fc.png
S-003,R03,"nested objects and arrays, AS JSON and CROSS APPLY OPENJSON",processed,c304f479a60e,image-1d34de6002768d0a549dc650f6a54cbf8913eb00,4249.6698059617975,1034.2893280704884,581.0,376.0,928,601,source/images/c304f479a60e.png
S-004,R04,outer objects containing array properties and selecting an array path,processed,d5bd3051d4d1,image-b2bd68a579ab0825d9253761d5cc585f51cbfb3b,6225.16113160669,1039.9672047112567,717.0,482.0,916,616,source/images/d5bd3051d4d1.png
S-005,R01,"OPENJSON default key/value/type schema, WITH typed columns and parameterized filtering",processed,a5e198b7297e,image-3083f04f844115feeab18882c46efd6e0a5a960c,10.0,1047.9025691866536,947.0,482.0,1037,528,source/images/a5e198b7297e.png
S-006,R03,"nested objects and arrays, AS JSON and CROSS APPLY OPENJSON",processed,b70420f7c698,image-f3d362a86b9cb7d4e31440afeab24ef825e24311,4241.82808267076,1410.9560074528126,553.0,376.0,910,619,source/images/b70420f7c698.png
S-007,R04,outer objects containing array properties and selecting an array path,processed,35e29a06a0c3,image-b3e10ba5234ac28a4a279236603881861d275002,5324.716715898767,1468.4558930118947,628.0,376.0,919,551,source/images/35e29a06a0c3.png
S-008,R02,"arrays of objects, object input, JSON paths and missing properties",processed,b3801b6b1644,image-d9b357a4af6853cb89e9484f47d1b972acadafd7,2654.0357073110686,1473.4354652474867,923.0,431.0,923,431,source/images/b3801b6b1644.png
S-009,R04,outer objects containing array properties and selecting an array path,processed,71148aff261c,image-631c2159a36a115830ac6bb3ea40229a4ac383f0,6226.763912431821,1529.8587174137501,914.0,299.0,914,299,source/images/71148aff261c.png
S-010,R01,"OPENJSON default key/value/type schema, WITH typed columns and parameterized filtering",processed,31380ccd40dc,image-07a6ba15a3dcd2890cd1df901aa9744edb34237a,886.1968762315009,1554.0401791225722,750.0,482.0,1002,644,source/images/31380ccd40dc.png
S-011,R01,"OPENJSON default key/value/type schema, WITH typed columns and parameterized filtering",processed,fd63f47893d3,image-6277bd0e85675fa25b1fcdcaf45c12d6db46c3f1,35.9987531540246,1568.3258467842224,743.0,482.0,918,596,source/images/fd63f47893d3.png
S-012,R03,"nested objects and arrays, AS JSON and CROSS APPLY OPENJSON",processed,3bff2722da50,image-9ddf409205899db9b67ea119967349ac5df87099,4209.985464962745,1875.0809311588673,917.0,288.0,917,288,source/images/3bff2722da50.png
S-013,R02,"arrays of objects, object input, JSON paths and missing properties",processed,28a425a961df,image-73179a0e65dba0548823786fadd874dfbd875fae,2651.447949387908,1894.6521070465096,1100.0,328.0,1100,328,source/images/28a425a961df.png
S-014,R01,"OPENJSON default key/value/type schema, WITH typed columns and parameterized filtering",processed,97b64acf77b4,image-cc73fb82b35a5c73ab293144d406426ba9823763,13.685983226912867,2137.7439280375092,922.0,482.0,1063,556,source/images/97b64acf77b4.png
S-015,R02,"arrays of objects, object input, JSON paths and missing properties",processed,e131c9cec529,image-ab9fcb6e6c02e8a66e6d8a47fbe446ad5b7dfcc1,2676.614616054574,2185.0595031511184,943.0,322.0,943,322,source/images/e131c9cec529.png
S-016,R03,"nested objects and arrays, AS JSON and CROSS APPLY OPENJSON",processed,3a9255be931a,image-fd27518e30c2440fa8a4100d3a16bbc53818faaa,4246.818976315284,2258.3402207944196,905.0,375.0,905,375,source/images/3a9255be931a.png
S-017,R02,"arrays of objects, object input, JSON paths and missing properties",processed,c073c8cdcd94,image-26f819e33db08086a25898a99d1bc307e9aaf774,2676.596007113602,2521.2446770334936,946.0,340.0,946,340,source/images/c073c8cdcd94.png
S-018,R03,"nested objects and arrays, AS JSON and CROSS APPLY OPENJSON",processed,f39c0aface0b,image-85ba33180c2515ab9f0d2acd900be1a9a84563f7,4233.98554125669,2634.7966675480275,929.0,352.0,929,352,source/images/f39c0aface0b.png
S-019,R01,"OPENJSON default key/value/type schema, WITH typed columns and parameterized filtering",processed,c68f6903cfe3,image-6fc9e93e505648b770e06c98677388b3728acb58,17.763977667297695,2655.4557335930567,991.0,478.0,991,478,source/images/c68f6903cfe3.png
S-020,R02,"arrays of objects, object input, JSON paths and missing properties",processed,54565b8ef816,image-af8f524b321299aed7a5e7c45400d5438aa67e06,2683.569936049852,2903.5515743936776,629.0,401.0,931,594,source/images/54565b8ef816.png
S-021,R03,"nested objects and arrays, AS JSON and CROSS APPLY OPENJSON",processed,2b2e5697eff6,image-62b7b520460548b5a5292ef659f4d62a36a39b41,4231.639327751505,2995.171686621514,847.0,376.0,914,406,source/images/2b2e5697eff6.png
S-022,R02,"arrays of objects, object input, JSON paths and missing properties",processed,f26d9f9d3d0c,image-c85ae1589905195442129dea79ec3f6b3d4a8cff,2698.805173625259,3336.9404904092953,915.0,267.0,915,267,source/images/f26d9f9d3d0c.png
S-023,R01,"OPENJSON default key/value/type schema, WITH typed columns and parameterized filtering",processed,138943b10ad4,image-f151c9405c7f0bccd5da4080ea9e38fdfbbf3908,204.52511434327153,3726.971703490124,998.0,191.0,946,181,source/images/138943b10ad4.png
S-024,R01,"OPENJSON default key/value/type schema, WITH typed columns and parameterized filtering",processed,b944930e3d2d,image-7b1e70ff6a3c29f004934af8979599e84f15369f,173.52900103504453,3931.971703490124,860.0,451.0,860,451,source/images/b944930e3d2d.png
S-025,R01,"OPENJSON default key/value/type schema, WITH typed columns and parameterized filtering",processed,dbf56b3c7463,image-26a307c3dd3b5106f34b186ac9e664e28bb896cf,169.52869585926328,4416.4715509022335,868.0,282.0,868,282,source/images/dbf56b3c7463.png
S-026,R01,"OPENJSON default key/value/type schema, WITH typed columns and parameterized filtering",processed,ecd8eda19dc4,image-0615a028c36e3a53fb69ff35863b5b46afc98486,173.20104139604064,4722.611806300452,668.0,482.0,838,605,source/images/ecd8eda19dc4.png
S-027,R01,"OPENJSON default key/value/type schema, WITH typed columns and parameterized filtering",processed,4b34905f94f1,image-767f6a4b5adf5ea8d08e16da25a36cfe41e26a55,934.2880681465895,4728.860626287422,857.0,455.0,857,455,source/images/4b34905f94f1.png
