image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,OPTIONS semantics and CORS preflight triggers,processed,e1a06bb41759,image-752b7eb06b242179f88acd1df2ba2a30f5b35b54,243.83983674474302,491.1422748320574,1082.0,260.0,1082,260,source/images/e1a06bb41759.png
S-002,R02,ASP.NET Core CORS middleware and manual OPTIONS handling,processed,4c78952434fa,image-55e720162fe7096196d5ae237ca3e29196604286,2405.2226292178916,625.6801393778305,788.0,482.0,897,549,source/images/4c78952434fa.png
S-003,R01,OPTIONS semantics and CORS preflight triggers,processed,1f4ed2fdfe53,image-d0627b5794500a71b07d287c753f7ffc80f03af3,86.83983674474302,795.8087787383074,1236.0,440.0,1236,440,source/images/1f4ed2fdfe53.png
S-004,R02,ASP.NET Core CORS middleware and manual OPTIONS handling,processed,2a716c152ab8,image-b3659586faa4be1353f028bd666975756306951b,2364.1319340886084,1140.4856402960595,776.0,166.0,776,166,source/images/2a716c152ab8.png
S-005,R01,OPTIONS semantics and CORS preflight triggers,processed,a11923018e8d,image-bc110a0c3a21de60715f7e4e14cc3a511cc26a7b,253.50658479161802,1305.47540471487,940.0,434.0,940,434,source/images/a11923018e8d.png
S-006,R02,ASP.NET Core CORS middleware and manual OPTIONS handling,processed,b2007e29b3c3,image-e38ee2a3b1d1db0cd9a97d5cbf746101cf6f5aad,2332.9283208073584,1372.8005003221006,951.0,451.0,951,451,source/images/b2007e29b3c3.png
S-007,R03,"Vary: Origin, credentials and cache variants",processed,ea408e895e78,image-06e8f7a01a7bb94d13728cc0b9d9ae3f74730f9a,4027.8836846100758,1670.564213622105,889.0,482.0,931,505,source/images/ea408e895e78.png
S-008,R01,OPTIONS semantics and CORS preflight triggers,processed,128bfd7593cd,image-4c6a2c8b542bc893f04e0878bac1b88be6b87674,203.00658479161802,1825.142152761745,929.0,264.0,929,264,source/images/128bfd7593cd.png
S-009,R02,ASP.NET Core CORS middleware and manual OPTIONS handling,processed,042230ac01c8,image-ac32d0a9f519b85faf73e8aa91e0919737b8eb63,2303.7924231472216,1829.736820309081,811.0,482.0,901,536,source/images/042230ac01c8.png
S-010,R03,"Vary: Origin, credentials and cache variants",processed,a677f15c85ea,image-652b3ad683c8014f4e210b376ff97b4ae2af1fa0,4027.8836849176105,2174.7052939750865,941.0,371.0,941,371,source/images/a677f15c85ea.png
