source_id,image_use_id,fileId_short,region,subregion,coverage_status,decision_is_final,audit_result,review_notes
S-001,IU-001,23cfbe2caa,OPT02,OPT02A,processed-in-opt02-v001,yes-for-opt02-v001-boundary,ok-processed,Included in OPT02 v001 after NEXT01 visual/semantic transcript pass.
S-002,IU-002,8de67f5eb5,OPT02,OPT02A,processed-in-opt02-v001,yes-for-opt02-v001-boundary,ok-processed,Included in OPT02 v001 after NEXT01 visual/semantic transcript pass.
S-003,IU-003,27b6851421,OPT02,OPT02A,processed-in-opt02-v001,yes-for-opt02-v001-boundary,ok-processed,Included in OPT02 v001 after NEXT01 visual/semantic transcript pass.
S-004,IU-004,d4dadd8997,OPT02,OPT02A,processed-in-opt02-v001,yes-for-opt02-v001-boundary,ok-processed,Included in OPT02 v001 after NEXT01 visual/semantic transcript pass.
S-005,IU-005,33bae259ea,OPT02,OPT02A,processed-in-opt02-v001,yes-for-opt02-v001-boundary,ok-processed,Included in OPT02 v001 after NEXT01 visual/semantic transcript pass.
S-006,IU-006,cf540507ac,OPT02,OPT02A,processed-in-opt02-v001,yes-for-opt02-v001-boundary,ok-processed,Included in OPT02 v001 after NEXT01 visual/semantic transcript pass.
S-007,IU-007,566b6f6062,OPT02,OPT02B,processed-in-opt02-v001,yes-for-opt02-v001-boundary,ok-processed,Included in OPT02 v001 after NEXT01 visual/semantic transcript pass.
S-008,IU-008,6b34df0752,OPT02,OPT02B,processed-in-opt02-v001,yes-for-opt02-v001-boundary,ok-processed,Included in OPT02 v001 after NEXT01 visual/semantic transcript pass.
S-009,IU-009,f24871ada4,OPT02,OPT02B,processed-in-opt02-v001,yes-for-opt02-v001-boundary,ok-processed,Included in OPT02 v001 after NEXT01 visual/semantic transcript pass.
S-010,IU-010,4ab8b33fa9,OPT02,OPT02B,processed-in-opt02-v001,yes-for-opt02-v001-boundary,ok-processed,Included in OPT02 v001 after NEXT01 visual/semantic transcript pass.
S-011,IU-011,1b93b2b883,OPT02,OPT02B,processed-in-opt02-v001,yes-for-opt02-v001-boundary,ok-processed,Included in OPT02 v001 after NEXT01 visual/semantic transcript pass.
S-012,IU-012,3978f87e45,OPT03,OPT03A,processed-in-opt03-v001,yes-for-opt03-v001-boundary,ok-processed,Included in OPT03 v001 after NEXT01 visual/semantic transcript pass.
S-013,IU-013,4253a1655b,OPT03,OPT03A,processed-in-opt03-v001,yes-for-opt03-v001-boundary,ok-processed,Included in OPT03 v001 after NEXT01 visual/semantic transcript pass.
S-014,IU-014,e032b6b978,OPT03,OPT03A,processed-in-opt03-v001,yes-for-opt03-v001-boundary,ok-processed,Included in OPT03 v001 after NEXT01 visual/semantic transcript pass.
S-015,IU-015,6113e4d2f4,OPT03,OPT03A,processed-in-opt03-v001,yes-for-opt03-v001-boundary,ok-processed,Included in OPT03 v001 after NEXT01 visual/semantic transcript pass.
S-016,IU-016,26e284e7bb,OPT03,OPT03A,processed-in-opt03-v001,yes-for-opt03-v001-boundary,ok-processed,Included in OPT03 v001 after NEXT01 visual/semantic transcript pass.
S-017,IU-017,542650bbeb,OPT03,OPT03A,processed-in-opt03-v001,yes-for-opt03-v001-boundary,ok-processed,Included in OPT03 v001 after NEXT01 visual/semantic transcript pass.
S-018,IU-018,355b227be0,OPT03,OPT03B,processed-in-opt03-v001,yes-for-opt03-v001-boundary,ok-processed,Included in OPT03 v001 after NEXT01 visual/semantic transcript pass.
S-019,IU-019,ced1fc23dc,OPT03,OPT03B,processed-in-opt03-v001,yes-for-opt03-v001-boundary,ok-processed,Included in OPT03 v001 after NEXT01 visual/semantic transcript pass.
S-020,IU-020,861389dd17,OPT03,OPT03B,processed-in-opt03-v001,yes-for-opt03-v001-boundary,ok-processed,Included in OPT03 v001 after NEXT01 visual/semantic transcript pass.
S-021,IU-021,6ae9f5cce7,OPT03,OPT03B,processed-in-opt03-v001,yes-for-opt03-v001-boundary,ok-processed,Included in OPT03 v001 after NEXT01 visual/semantic transcript pass.
S-022,IU-022,86f9c56ef5,OPT03,OPT03B,processed-in-opt03-v001,yes-for-opt03-v001-boundary,ok-processed,Included in OPT03 v001 after NEXT01 visual/semantic transcript pass.
S-023,IU-023,2cf4094ce1,OPT03,OPT03B,processed-in-opt03-v001,yes-for-opt03-v001-boundary,ok-processed,Included in OPT03 v001 after NEXT01 visual/semantic transcript pass.
S-024,IU-024,5c2abc7f48,OPT03,OPT03B,processed-in-opt03-v001,yes-for-opt03-v001-boundary,ok-processed,Included in OPT03 v001 after NEXT01 visual/semantic transcript pass.
S-025,IU-025,96ec1179ba,OPT01,OPT01B,processed-in-opt01-v001,yes-for-opt01-v001-boundary,ok-processed,Included in OPT01 v001 after NEXT01 visual/semantic transcript pass.
S-026,IU-026,2f6de5dee6,OPT01,OPT01A,processed-in-opt01-v001,yes-for-opt01-v001-boundary,ok-processed,Included in OPT01 v001 after NEXT01 visual/semantic transcript pass.
S-027,IU-027,ff4463da2e,OPT01,OPT01A,processed-in-opt01-v001,yes-for-opt01-v001-boundary,ok-processed,Included in OPT01 v001 after NEXT01 visual/semantic transcript pass.
S-028,IU-028,9a956e7a31,OPT01,OPT01A,processed-in-opt01-v001,yes-for-opt01-v001-boundary,ok-processed,Included in OPT01 v001 after NEXT01 visual/semantic transcript pass.
S-029,IU-029,b88cfcea8c,OPT01,OPT01B,processed-in-opt01-v001,yes-for-opt01-v001-boundary,ok-processed,Included in OPT01 v001 after NEXT01 visual/semantic transcript pass.
S-030,IU-030,0b967cc91e,OPT01,OPT01B,processed-in-opt01-v001,yes-for-opt01-v001-boundary,ok-processed,Included in OPT01 v001 after NEXT01 visual/semantic transcript pass.
S-031,IU-031,4aabd15a3e,OPT04,OPT04A,processed-in-opt04-v001,yes-for-opt04-v001-boundary,ok-processed,Included in OPT04 v001 after NEXT01 visual/semantic transcript pass.
S-032,IU-032,9a5adc97bf,OPT04,OPT04A,processed-in-opt04-v001,yes-for-opt04-v001-boundary,ok-processed,Included in OPT04 v001 after NEXT01 visual/semantic transcript pass.
S-033,IU-033,9fa2aaa942,OPT04,OPT04A,processed-in-opt04-v001,yes-for-opt04-v001-boundary,ok-processed,Included in OPT04 v001 after NEXT01 visual/semantic transcript pass.
S-034,IU-034,d3253050f2,OPT04,OPT04B,processed-in-opt04-v001,yes-for-opt04-v001-boundary,ok-processed,Included in OPT04 v001 after NEXT01 visual/semantic transcript pass.
