image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R02,"Zustand persist core, storage versioning and migration",processed,88db16002527,image-ba7e68be34f5f313a2eaf96e8d2cb669b172c7d1,7407.4399989089,442.459491470021,572.0,482.0,842,710,source/images/88db16002527.png
S-002,R02,"Zustand persist core, storage versioning and migration",processed,c1ade73e9aad,image-8e1d3c2b5852747354eaedf5ca4718012204a24d,6500.332321215912,448.7925908352554,656.0,482.0,825,607,source/images/c1ade73e9aad.png
S-003,R01,"React Query persistence, dehydration, hydration and filtering",processed,da83f6375700,image-679e04b8999dde921cb83ed8a1639f320c870a73,3101.884701310235,534.017967699263,792.0,482.0,870,530,source/images/da83f6375700.png
S-004,R01,"React Query persistence, dehydration, hydration and filtering",processed,0e03f11ddc8f,image-860c8b07fb143f95d3da8c2b377c4c1d17a5c8a7,4294.815268985729,554.3889567057304,901.0,379.0,901,379,source/images/0e03f11ddc8f.png
S-005,R01,"React Query persistence, dehydration, hydration and filtering",processed,0a9470671454,image-2256dc1fa326c613d18d137e3074edc0d7d95f27,1775.1942138671875,574.7696683276336,896.0,351.0,896,351,source/images/0a9470671454.png
S-006,R02,"Zustand persist core, storage versioning and migration",processed,5cb60e660ce0,image-70e44084cea89cfc5b6177bf52929150e569d5cc,9648.594616558354,584.2715139817483,843.0,482.0,1037,593,source/images/5cb60e660ce0.png
S-007,R01,"React Query persistence, dehydration, hydration and filtering",processed,4347c376ea2e,image-ea74e9dd7284aff882a41d9841cc1c18df891b42,486.36866621408626,703.1029660571257,926.0,325.0,926,325,source/images/4347c376ea2e.png
S-008,R03,"Redux Persist configuration, transforms and reconciliation",processed,8e4987cea917,image-fc044c0ce5171dbfff0890276741f8b6d44a626a,12344.650077335338,707.889483133953,810.0,136.0,810,136,source/images/8e4987cea917.png
S-009,R02,"Zustand persist core, storage versioning and migration",processed,41039cb8b303,image-2e3b466d3dc9653ba306f3402721227b7fe1d4ca,8424.816337100963,757.5559031168632,821.0,276.0,821,276,source/images/41039cb8b303.png
S-010,R01,"React Query persistence, dehydration, hydration and filtering",processed,5f540ccb4d26,image-79f4541118b144e2ee6dbafa849c1317526f2e5c,5545.7648553473355,761.4488560940445,864.0,331.0,864,331,source/images/5f540ccb4d26.png
S-011,R03,"Redux Persist configuration, transforms and reconciliation",processed,e78da4419f00,image-7787888cc107b6ed8fd9252e06f738c03a429455,12349.483359806041,866.0561625162773,827.0,253.0,827,253,source/images/e78da4419f00.png
S-012,R01,"React Query persistence, dehydration, hydration and filtering",processed,9e453abd9895,image-90d6081ffbce9623910c40e8321055a69848ec65,1778.6944580078125,950.8173629425837,857.0,445.0,857,445,source/images/9e453abd9895.png
S-013,R02,"Zustand persist core, storage versioning and migration",processed,e83f7d8f46ad,image-2943a1433b7a56a371fcd7b2798d303b6f2e2997,7386.491082326393,955.7928044583023,774.0,482.0,852,531,source/images/e83f7d8f46ad.png
S-014,R01,"React Query persistence, dehydration, hydration and filtering",processed,93cd964885f2,image-60da9abc3f9bb235dcbc419008c3b2695265d960,6457.931481323898,994.1155278469741,823.0,389.0,823,389,source/images/93cd964885f2.png
S-015,R01,"React Query persistence, dehydration, hydration and filtering",processed,6f57ffdaaa92,image-86f6c97ef9f9e9e6947d09346872c0bae0a97d60,3030.911830861385,1029.007500169966,917.0,309.0,917,309,source/images/6f57ffdaaa92.png
S-016,R01,"React Query persistence, dehydration, hydration and filtering",processed,8fe3305bd40b,image-1bd326b2cab84f4a4fdc1ed52b3e248ec20d4449,505.70216230783626,1035.1029660571257,818.0,397.0,818,397,source/images/8fe3305bd40b.png
S-017,R02,"Zustand persist core, storage versioning and migration",processed,6e446f20d8e2,image-13df82c20d25773ec8f54284391ccda319ccb601,8442.98305463026,1047.8891855875663,778.0,262.0,778,262,source/images/6e446f20d8e2.png
S-018,R01,"React Query persistence, dehydration, hydration and filtering",processed,55f7a07918ff,image-daa75f3ea0bcde8fc323d0211e710b1f8e80cdb8,5527.764733277023,1101.615482070607,860.0,328.0,860,328,source/images/55f7a07918ff.png
S-019,R02,"Zustand persist core, storage versioning and migration",processed,904eccc98aa6,image-152769cb4225db713c966972fedb40e1f36df1bf,9648.933704795003,1101.6525353905636,944.0,482.0,955,488,source/images/904eccc98aa6.png
S-020,R03,"Redux Persist configuration, transforms and reconciliation",processed,a5de460b841e,image-7cc90917bd374d7fdbc85637c4f7c80052bbf03f,12374.816642276744,1123.7228037516288,753.0,411.0,753,411,source/images/a5de460b841e.png
S-021,R02,"Zustand persist core, storage versioning and migration",processed,39517e7318da,image-1696838aa682d237a849131efd24e9b4d718c39e,8461.316337100963,1317.8891855875663,688.0,412.0,688,412,source/images/39517e7318da.png
S-022,R01,"React Query persistence, dehydration, hydration and filtering",processed,536ccbcba6dc,image-d3a05c5900d3d6b8eb8b6a1f49b097c58703903d,3025.0784720967367,1365.6741414053176,982.0,389.0,982,389,source/images/536ccbcba6dc.png
S-023,R01,"React Query persistence, dehydration, hydration and filtering",processed,9e453abd9895,image-90d6081ffbce9623910c40e8321055a69848ec65,4355.087668282646,1379.591161567263,857.0,445.0,857,445,source/images/9e453abd9895.png
S-024,R01,"React Query persistence, dehydration, hydration and filtering",processed,ff77db62e095,image-bfdd0bf48edc4041dabfaf97778f28ebb3046995,1791.1942138671875,1407.7697293627898,864.0,477.0,864,477,source/images/ff77db62e095.png
S-025,R01,"React Query persistence, dehydration, hydration and filtering",processed,42ad234832c4,image-2a6a312fee3d8baab32b676050e317fe28c5737d,6454.2648553473355,1418.1155888821304,753.0,365.0,753,365,source/images/42ad234832c4.png
S-026,R01,"React Query persistence, dehydration, hydration and filtering",processed,606f58d8d3ed,image-fadc3b95063bcfab2516bc74c3e28431f69b3198,491.20216230783626,1443.7699582446257,943.0,369.0,943,369,source/images/606f58d8d3ed.png
S-027,R01,"React Query persistence, dehydration, hydration and filtering",processed,59436894a894,image-054856f5847bc8431fdbda34ef0cd03be153bdf2,5523.4313592535855,1449.4487950588882,802.0,211.0,802,211,source/images/59436894a894.png
S-028,R02,"Zustand persist core, storage versioning and migration",processed,709e304cb0c0,image-b8b79eeda989c473561010b092b15807374c7dd2,7401.019245056927,1475.7928654934585,795.0,482.0,856,519,source/images/709e304cb0c0.png
S-029,R03,"Redux Persist configuration, transforms and reconciliation",processed,6efb007e6364,image-fa7f95c34bd3fb7bb42c7fd8a2f4f5c06717cbbe,12367.816642276744,1558.8895212809257,837.0,214.0,837,214,source/images/6efb007e6364.png
S-030,R02,"Zustand persist core, storage versioning and migration",processed,abdd4295a9fa,image-a07df2bf2a17efaeefdba8d6e58d40f7d680aad1,9655.962343303356,1584.1922300404003,923.0,482.0,957,500,source/images/abdd4295a9fa.png
S-031,R02,"Zustand persist core, storage versioning and migration",processed,7814e4aab43a,image-ce12abc1c7d119ecca23dbc0aa049151995192f5,8447.98305463026,1732.0559031168632,628.0,187.0,628,187,source/images/7814e4aab43a.png
S-032,R01,"React Query persistence, dehydration, hydration and filtering",processed,3645698e2170,image-8d02dc146245cd281a605ad52eab8d758a9fd70c,3031.7451133320883,1749.0075764639114,712.0,329.0,712,329,source/images/3645698e2170.png
S-033,R01,"React Query persistence, dehydration, hydration and filtering",processed,a50e19ceb8d4,image-bca292ecfa608479ed7ee044ef7a2823ce230a49,4364.920950753349,1842.4244440379662,934.0,406.0,934,406,source/images/a50e19ceb8d4.png
S-034,R01,"React Query persistence, dehydration, hydration and filtering",processed,8b1d4dac3c32,image-95626c5870a85028a43b0cfb4f482b91265301e3,1819.3609619140625,1919.6032254565398,941.0,200.0,941,200,source/images/8b1d4dac3c32.png
S-035,R02,"Zustand persist core, storage versioning and migration",processed,5e41e9cda513,image-9e27e46fbdd1f672612e917b04d997556d7f5de9,7413.854891373361,1966.459491470021,530.0,482.0,658,599,source/images/5e41e9cda513.png
S-036,R02,"Zustand persist core, storage versioning and migration",processed,4557449be40d,image-b786e712d574899a0a69b96a07e850e5db56ff3b,8382.149619571666,1970.0559031168614,693.0,211.0,693,211,source/images/4557449be40d.png
S-037,R01,"React Query persistence, dehydration, hydration and filtering",processed,5f79227be576,image-d86b6d23e380b4b84ba463e14af64e12d5671410,5576.419671945936,1978.6592825016705,843.0,332.0,843,332,source/images/5f79227be576.png
S-038,R03,"Redux Persist configuration, transforms and reconciliation",processed,8e936c82e44d,image-77be6b790369b120c67868898d85632448e6fee5,15697.333236333454,1994.9448964698677,675.0,482.0,826,590,source/images/8e936c82e44d.png
