image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,duplicate_content_of_image_id,use_count,status
image-20385d9cca51d236d62ed350c4e3dce68a640d99,568453b373c7.png,568453b373c7c1aa487a9e6827001f3b0259fdf72c4eeeb394e8380c0065c840,568453b373c7,image/png,43297,898,555,RGBA,,1,extracted
image-e9ceb0fe535b409aa395ac19612fafae35d51630,af4fd553ab7c.png,af4fd553ab7ccd94aa22a12feb2741d66138f2e34d3d9f973c71e183fd555b47,af4fd553ab7c,image/png,17468,691,215,RGBA,,1,extracted
image-e4df6a9f5d75589343a062ad80b3650f7588a469,7eed20d1e754.png,7eed20d1e754d6669be92353ccd305bb2dfad7c5c8bf19581b053212eca24ec0,7eed20d1e754,image/png,29967,993,428,RGBA,,1,extracted
image-d3347779fede3c4730011f62572f1e51ea5597b9,4b9e3cf9f29b.png,4b9e3cf9f29b3745f7d1ff68c4de18427fc6dc3814cc322f93e39d80d46ac6f9,4b9e3cf9f29b,image/png,18096,1139,273,RGBA,,1,extracted
image-dc7c5db93d6cd1e9a4609029cb5fbb8d900e111e,4787663fe289.png,4787663fe28990e834dd38e412bac0ddd2940e46a9ee6f2732bb5e7d09657c6b,4787663fe289,image/png,37865,1032,396,RGBA,,1,extracted
image-2a14b01fb564c1c0c1d4754447428e838ced2dd1,454dea566b41.png,454dea566b41fb800bee65046c4ccf7d101d64337fc46500edb5a673f6ce93cf,454dea566b41,image/png,28264,1050,313,RGBA,,1,extracted
image-9077206eb830419e843553e348de755a085fb9ef,71a769b74431.png,71a769b74431f6300d5bf0a9a0193318280d4e1c931128ad8c0654be0b751771,71a769b74431,image/png,50782,1037,476,RGBA,,1,extracted
image-e6b4ddc6932d9d601e4511157176a3d0b4738697,8849e1b82954.png,8849e1b82954692ce7f8aaad3c1e760bedc29b1218c22f4e427d52c7de7bdfe8,8849e1b82954,image/png,37164,959,482,RGBA,,1,extracted
image-397c42e53fc9ba329d4e6ccc44d869af3b132e0e,f2ba9b0d27f0.png,f2ba9b0d27f0a72f347c3c3e97756b14523b891bcf949427980a0812ab552d76,f2ba9b0d27f0,image/png,24115,1010,191,RGBA,,1,extracted
image-70ae283c1975f24e4ff221abaefc984cc82d0fc3,5dd202063d8b.png,5dd202063d8b24593facaa555a722a191aa771f25d9dc4a127e285b4f0342a89,5dd202063d8b,image/png,31938,995,381,RGBA,,1,extracted
image-faddfaf078b5f866f568b20a52e0192d16b0a76c,c8199804dee7.png,c8199804dee7e7a43a8c490ebce6516413a3f8cf95ded5923fafda4ceb9c7ec7,c8199804dee7,image/png,51026,1076,638,RGBA,,1,extracted
image-51f0b7c2f7717e6bd109ec381a9baed0f19f6f0e,da65386602ca.png,da65386602ca0eccb0e467125d587b4455499d78f627fc9c4e8d9127e0acdc6c,da65386602ca,image/png,59935,1085,527,RGBA,,1,extracted
image-c6d4abf2a3f390f599eb5a635e9908cea76707a5,ea9a01b6df08.png,ea9a01b6df08b565f1317e8be2771bd8cdbe27a7962c2c85a9003f71d28b448d,ea9a01b6df08,image/png,46095,997,383,RGBA,,1,extracted
image-6fe509a8a7ffcdd478ddf560127afc0e3e7e32b5,de10e1d6ea39.png,de10e1d6ea3949acea0c3a36ace9fca446378ef1f281f62f396e48ce5ea01974,de10e1d6ea39,image/png,15582,988,181,RGBA,,1,extracted
image-0ce8e1bf8172a0ebe0c8f19c3b41211ff1cfce67,65b54ddc7e36.png,65b54ddc7e365cd7cf428c0233a7c57a4515c986e8147f36b1e2984acae6de1d,65b54ddc7e36,image/png,53252,1035,533,RGBA,,1,extracted
image-f34d3886a1fca2b9d505472559af8a9b7a6b1a54,1d1acd7f92a4.png,1d1acd7f92a4fd4e688a9cbbfc6abb700b872e967dda6486effa6fe2be57f5ba,1d1acd7f92a4,image/png,38476,1035,461,RGBA,,1,extracted
image-c46a662ee33a51f88d8184cad7c1482a36fc4968,c0c601bfd053.png,c0c601bfd0531c64034d75c5b93e76e1bfb3b87beda572bb9028dc9a21d99486,c0c601bfd053,image/png,39336,985,553,RGBA,,1,extracted
image-16622d8104c66f2b0d134070539f11dc379cba81,86887be72d66.png,86887be72d6653fa426da6783267f38dab6380ac8cd9cb6e8b8a82e56ed206e3,86887be72d66,image/png,24751,877,361,RGBA,,1,extracted
image-4f40ce18e294d6cb087764586dbe9406d6c8dddd,21b2322de2dd.png,21b2322de2dd9f9a84d0abdaecb50628fca0ed9ba086962603b530249bbe933b,21b2322de2dd,image/png,31617,717,488,RGBA,,1,extracted
image-7b508617244f11dc13d2ffe1283871ee9c7aa8e1,95c24b1f5629.png,95c24b1f5629fb5658fc453ad4284cc2859daa7346159dd558fbe8fa8097ba66,95c24b1f5629,image/png,16460,677,279,RGBA,,1,extracted
image-39ec27a0c37356a787f7f485d0906654388eab1b,44baa5b45904.png,44baa5b4590476ea788710b0237111424b532ab3f02b2654fded38b2db02606c,44baa5b45904,image/png,63456,971,600,RGBA,,1,extracted
image-b9f2953a31ad675f98f367fa84bf8e98fa0223f3,05fcffe05bb0.png,05fcffe05bb0f4a4d813949282ef1e8bb148c8b2fe8a0bb4f43e1eafe376b913,05fcffe05bb0,image/png,42355,991,363,RGBA,,1,extracted
image-ab75fdcbf82c1c4626731bf1adbe4c890fcca09d,000ece6d515a.png,000ece6d515a9611c57542085a31e2786ffaa73437e8e401e5418d18aa5a4123,000ece6d515a,image/png,47209,956,514,RGBA,,1,extracted
image-eea194c4b4bb82bc0493edcde2b15854fc770660,2d812fa00019.png,2d812fa0001995dcd70e1fef65b176c6c75e8360305cc01bc2a03bb7e7a3ec31,2d812fa00019,image/png,52437,997,653,RGBA,,1,extracted
image-66e14c8b97bc9304777d7aef87addd0578c3b3ce,e71e6e48e68b.png,e71e6e48e68b1455b323ce4193406530c36e23db62ba96560ac258f35d26efd7,e71e6e48e68b,image/png,26939,796,339,RGBA,,1,extracted
image-51a55eeb8b770c3b7bd111d72a082c46f8b7b500,49796b2eb1e2.png,49796b2eb1e248233242b05da6655aca3f187cfc49dee7090fdecc6daaab7cb1,49796b2eb1e2,image/png,8217,907,154,RGBA,,1,extracted
