text_id,text,x,y,region_id,status,transcript_file,authoritative_transcript
T-001,textdecoderstream,136.26164791421797,4335.478599657588,R01,closed,01-transcript-R01-readablestream-fundamentals-tee-and-network-stream-behavior.md,07-full-combined-final-transcript.md
T-002,pipethrough,2842.652744642684,4246.592640016086,R01,closed,01-transcript-R01-readablestream-fundamentals-tee-and-network-stream-behavior.md,07-full-combined-final-transcript.md
T-003,pipeto,5153.127328195117,7261.993748836284,R06,closed,06-transcript-R06-pipeto-writablestream-file-writing-and-manual-reader-comparison.md,07-full-combined-final-transcript.md
T-004,transform of transformstream,1192.1847896909658,8300.113709240277,R05,closed,05-transcript-R05-pipethrough-transformstream-chunks-buffering-and-flush.md,07-full-combined-final-transcript.md
T-005,class or instance?,3781.31076320561,8137.711916862446,R05,closed,05-transcript-R05-pipethrough-transformstream-chunks-buffering-and-flush.md,07-full-combined-final-transcript.md
T-006,writablestream,6537.943845597666,7149.9017420940045,R06,closed,06-transcript-R06-pipeto-writablestream-file-writing-and-manual-reader-comparison.md,07-full-combined-final-transcript.md
T-007,chunks type,1418.6805385972525,7184.4240557733065,R05,closed,05-transcript-R05-pipethrough-transformstream-chunks-buffering-and-flush.md,07-full-combined-final-transcript.md
T-008,writablestream examples,8012.246127037811,7034.89388930269,R06,closed,06-transcript-R06-pipeto-writablestream-file-writing-and-manual-reader-comparison.md,07-full-combined-final-transcript.md
T-009,filewritablestream,9661.838792584884,7022.176301897889,R06,closed,06-transcript-R06-pipeto-writablestream-file-writing-and-manual-reader-comparison.md,07-full-combined-final-transcript.md
T-010,why over simple processing with getreader,4625.538747801218,9485.578222735101,R05,closed,05-transcript-R05-pipethrough-transformstream-chunks-buffering-and-flush.md,07-full-combined-final-transcript.md
T-011,nultiple pipetrhough chaingin,3456.7869900968935,7668.432681941853,R05,closed,05-transcript-R05-pipethrough-transformstream-chunks-buffering-and-flush.md,07-full-combined-final-transcript.md
T-012,does pipethrough buffer,3595.3794564209884,8874.38902876163,R05,closed,05-transcript-R05-pipethrough-transformstream-chunks-buffering-and-flush.md,07-full-combined-final-transcript.md
T-013,flush of transformstream,10.0,10730.330961878053,R05,closed,05-transcript-R05-pipethrough-transformstream-chunks-buffering-and-flush.md,07-full-combined-final-transcript.md
T-014,readablestream,5474.936693814255,544.4731899414063,R01,closed,01-transcript-R01-readablestream-fundamentals-tee-and-network-stream-behavior.md,07-full-combined-final-transcript.md
T-015,readablestream,6644.953042320025,951.734930875108,R01,closed,01-transcript-R01-readablestream-fundamentals-tee-and-network-stream-behavior.md,07-full-combined-final-transcript.md
T-016,"overview,callbacks",6644.953042320025,1105.0682896397564,R01,closed,01-transcript-R01-readablestream-fundamentals-tee-and-network-stream-behavior.md,07-full-combined-final-transcript.md
T-017,tee(),5465.930742606217,1049.2689740988055,R01,closed,01-transcript-R01-readablestream-fundamentals-tee-and-network-stream-behavior.md,07-full-combined-final-transcript.md
T-018,manual construction,6740.314367220031,3880.5854094389674,R01,closed,01-transcript-R01-readablestream-fundamentals-tee-and-network-stream-behavior.md,07-full-combined-final-transcript.md
T-019,of readablestream,6740.314367220031,3942.3356766056095,R01,closed,01-transcript-R01-readablestream-fundamentals-tee-and-network-stream-behavior.md,07-full-combined-final-transcript.md
