label_id,region,semantic_review_status,x,y,text
T-001,R01,processed,4648.496388216796,10.0,practical patterns
T-002,R01,processed,6018.496510287108,255.33331298828125,socketshttphandleroptions
T-003,R01,processed,6030.8645807396515,949.3468571345948,allowautoredirect
T-004,R01,processed,9979.859198258262,1566.35274269797,what is uri in credcache.add(uri....)
T-005,R01,processed,8177.285652646294,1603.6519334381228,who is being authenticated with credentials
T-006,R01,processed,8177.285652646294,1603.6519334381228,and preauthenticate
T-007,R01,processed,5689.4099908959015,1767.8923338746463,maxautomaticredirections
T-008,R01,processed,129.99836597655667,1849.3289842161175,how to use this shit then
T-009,R01,processed,1519.8704614994404,1878.4013462673101,problems with shared cookiecontainer
T-010,R01,processed,1519.8704614994404,1878.4013462673101,when you do poolint with httpclientfactory
T-011,R01,processed,3063.623990643149,2007.0287852800247,floww
T-012,R01,processed,4359.352718910185,2019.9467379585967,cookiecontainer
T-013,R01,processed,12414.901832696201,2447.9230653138075,"networkcredentials (user,pass)"
T-014,R01,processed,12414.901832696201,2447.9230653138075,"networkcred(user,pass,domain)"
T-015,R01,processed,5722.8640924584015,2640.013605181477,automaticdecompressoin
T-016,R02,processed,7708.8239955146655,3362.760571599909,credentials overview
T-017,R02,processed,4125.714159827259,3384.20071977593,adding manually to the container
T-018,R02,processed,3081.8711452315056,3392.163991841793,"cookie flow,"
T-019,R02,processed,3081.8711452315056,3392.163991841793,actually just a normal cookie flow
T-020,R02,processed,6153.197527516995,3443.6802311580395,usecookies
T-021,R02,processed,10655.964367661509,3501.1674235692117,defaultcredentials
T-022,R02,processed,7795.434990843842,3592.1718495289606,"and we are using ntlm,kerberos,basic usually to authenticate our app, not end user"
T-023,R02,processed,9382.003242575967,3634.8239385172783,credentialcache
T-024,R02,processed,6090.340384659854,4661.9341824578005,credentials
T-025,R02,processed,5891.199691272404,5401.1561313676575,preauthenticate
T-026,R02,processed,10809.284431037624,5415.460094855769,credentials sending with httpclinet
T-027,R02,processed,10809.284431037624,5415.460094855769,vs
T-028,R02,processed,10809.284431037624,5415.460094855769,jwt sending
T-029,R02,processed,13406.829912588566,5581.130864109451,flow examples
T-030,R02,processed,8131.270950744103,5946.115705197646,default system proxy
T-031,R02,processed,8131.270950744103,5946.115705197646,when proxy = null
T-032,R03,processed,9390.437591979455,6027.782365506484,visual flow
T-033,R03,processed,6153.007214086936,6149.71186190116,useproxy
T-034,R03,processed,6145.007214086936,6880.378609948035,proxy
T-035,R03,processed,7991.152421553645,6991.844530101735,!!!
T-036,R03,processed,6091.673880753604,7664.823037438269,connecttimeout
T-037,R03,processed,6057.007132706729,8339.489754967566,pooledconnectionlifetime
T-038,R04,processed,6002.192272680686,9083.193503882492,pooledconnectionidletimeout
T-039,R04,processed,4381.566897814541,9367.738650442678,http/1.1 vs http/2
T-040,R04,processed,4381.566897814541,9367.738650442678,one connection per request
T-041,R04,processed,4381.566897814541,9367.738650442678,vs
T-042,R04,processed,4381.566897814541,9367.738650442678,multiple connections
T-043,R04,processed,6086.192272680686,9740.52687790593,maxconnectionsperserver
T-044,R04,processed,8595.96165241297,10211.562800779646,expect 100 continue
T-045,R04,processed,8595.96165241297,10211.562800779646,save bandwidth
T-046,R04,processed,5997.269515128786,10394.218109897898,expect100continuetimeout
T-047,R04,processed,6213.969982641624,10993.860363827152,ssloptions ?? later
