source_id,image_use,symbol_id,asset_sha1,region,x,y,width,height,center_x,center_y,mime,pixel_width,pixel_height,status,transcript_status
S-001,U-001,image-4906cfee61ec51dc9b2fc688d73a0cec7b88792a,ff4e72df8746e149c93a6e4b0890f89bf668b039,R01,6602.593151,1454.087736,955.0,440.0,7080.093151,1674.087736,image/png,955,440,reviewed,closed
S-002,U-002,image-dedbd39671a802bc147df68aa26a7560c17e99f5,19bf66e29613163413e0bafeb3e1c032c6f47d66,R02,13646.55187,1551.790894,1003.0,482.0,14148.05187,1792.790894,image/png,1023,492,reviewed,closed
S-003,U-003,image-de9dd7db9c5724066c88078100998282796fe1d3,0eb8e0b938c56ea15e6e6f73a32781cd9c850556,R01,1081.281618,1662.560921,996.0,378.0,1579.281618,1851.560921,image/png,996,378,reviewed,closed
S-004,U-004,image-b992066d311619cca4748318e9dfd195a3977caa,30a4581780369cbf469ed997540df4ef1220d6dc,R01,36.331939,1641.155266,816.0,482.0,444.331939,1882.155266,image/png,958,566,reviewed,closed
S-005,U-005,image-fc5ec7a27ef1173e15be2b1bc8e8058ded311464,531da24a58446f8d8873d4c368ff29e1fda2cd59,R02,12881.112881,1718.567071,509.0,482.0,13135.612881,1959.567071,image/png,601,569,reviewed,closed
S-006,U-006,image-2da5a4e5a4ede9621eb771740827f11982e50aa2,194816b6ac35907fbf90113e63e8ae6ffb990976,R03,16409.479707,1821.276932,912.0,312.0,16865.479707,1977.276932,image/png,912,312,reviewed,closed
S-007,U-007,image-f3864fa46dddd4469ec44476d17c408439382112,5f3eef241526feda5e82fe0a67237d46c6a40b56,R03,15359.484674,1825.492216,820.0,455.0,15769.484674,2052.992216,image/png,820,455,reviewed,closed
S-008,U-008,image-86118427031f3cdd3223c1bc58045c1677d0bd69,e6f86f2d7fe863b798fe128825b2bfcfb5a7279e,R02,10043.011335,1840.792374,568.0,482.0,10327.011335,2081.792374,image/png,577,490,reviewed,closed
S-009,U-009,image-3d3ce9d81a1ce67e7c46532695878596d8545bfb,c691c1c4fce5178db45461b7f1b05a3d91814670,R02,13745.035892,2048.335999,917.0,187.0,14203.535892,2141.835999,image/png,917,187,reviewed,closed
S-010,U-010,image-62179c1a5c4610872f7cd7c6d046588136bf9f68,179929c8b5e2a14ba6cd5c9b6f78a3ada9ab9edd,R01,3799.997285,1927.952424,762.0,439.0,4180.997285,2147.452424,image/png,762,439,reviewed,closed
S-011,U-011,image-fee3f8f0859d0cfe74fdce626c85de7006bc04d9,b520b96738a006ed312ce6f6065d02f392fa1074,R01,6562.732696,1986.854741,972.0,398.0,7048.732696,2185.854741,image/png,972,398,reviewed,closed
S-012,U-012,image-f0150a10a7b0102b75d350dfd26a8b6cef52720e,d63f97b1115b0f36a1698f493b25b551d03cff63,R01,1094.001061,2090.404684,662.0,482.0,1425.001061,2331.404684,image/png,878,640,reviewed,closed
S-013,U-013,image-0b0089239b9103b6bce4be5d88e5a64f5e5f5d7d,6de445ebe02ae57359f460b4fc77c537d2cc6f9c,R01,18.285816,2175.533765,928.0,346.0,482.285816,2348.533765,image/png,928,346,reviewed,closed
S-014,U-014,image-031612ffea8611a6d4fc8de8473e250f63c1a744,2e65a770cd86a853d404f2d51e9747ab3b0aa5c4,R03,16478.16032,2190.994436,752.0,482.0,16854.16032,2431.994436,image/png,949,609,reviewed,closed
S-015,U-015,image-a8573c2e29008868bc9a02eb68ae536b0218b285,073e77e0b45e06a965d53eaeaf6b0055ea79f0d9,R02,12737.752238,2234.466294,817.0,475.0,13146.252238,2471.966294,image/png,817,475,reviewed,closed
S-016,U-016,image-e59d6bc51cb53812a7d74d642592577a37c0ed3c,e4b00a985f537a303d245a2024413478355ef97b,R04,21838.971811,2295.213375,588.0,401.0,22132.971811,2495.713375,image/png,588,401,reviewed,closed
S-017,U-017,image-78141b8dfa198440b29c0de07bab8d2b14fb8fd7,41d467160cff2118230d8946e6165df2e44718c9,R04,20784.276264,2346.182119,836.0,304.0,21202.276264,2498.182119,image/png,836,304,reviewed,closed
S-018,U-018,image-e44924341d2e15b7fd6f70fa48c20fa43da38773,d6a2bce7f09fd8435333b9ba1a2b6e90c24565f4,R03,15368.151137,2299.865244,816.0,458.0,15776.151137,2528.865244,image/png,816,458,reviewed,closed
S-019,U-019,image-0ed7730dd75de834c4606090a09329966b110be3,9c87074c354215f9bcda956d2899db4f2360baef,R02,9986.185498,2363.920977,754.0,376.0,10363.185498,2551.920977,image/png,754,376,reviewed,closed
S-020,U-020,image-2bca56f86a635885f5e552d93f3a221fa3b22b07,66fd7bf3d695b79f01b2d3b431a1fd403c7c8247,R01,6592.047125,2435.106867,722.0,482.0,6953.047125,2676.106867,image/png,838,560,reviewed,closed
