source_id,image_use,symbol_id,file_sha,x,y,width,height,candidate_region
S-001,IU-001,image-d41daccbd554adb2fac96e6f9cf22a50905c5563,ce656c1133,9845.701363919674,3351.1503805988496,730.0,482.0,R02
S-002,IU-002,image-cee374de426a46b035b1f5d4a112e313ca014df4,7d1ec1df1f,9828.887019334878,3885.7535416386554,750.0,482.0,R02
S-003,IU-003,image-f3864fa46dddd4469ec44476d17c408439382112,5f3eef2415,15359.484674192256,1825.492216128249,820.0,455.0,R03
S-004,IU-004,image-e44924341d2e15b7fd6f70fa48c20fa43da38773,d6a2bce7f0,15368.1511374084,2299.8652441114173,816.0,458.0,R03
S-005,IU-005,image-652871527684b8b47f736c9b91089b24850e63fd,b3c5013169,15403.207167681838,2797.0873306999565,877.0,248.0,R03
S-006,IU-006,image-9385c8ccd67b6c4a8c179f7cf19605dd3a63fbf0,3d1ce85f0c,16461.548092784014,3562.63460034096,686.0,482.0,R03
S-007,IU-007,image-031612ffea8611a6d4fc8de8473e250f63c1a744,2e65a770cd,16478.160319982104,2190.9944355266634,752.0,482.0,R03
S-008,IU-008,image-2da5a4e5a4ede9621eb771740827f11982e50aa2,194816b6ac,16409.479706556387,1821.2769317485906,912.0,312.0,R03
S-009,IU-009,image-d4fe3050374da5f48851f0f1dcd3146a107d8653,9866670fb0,16490.53539815996,4083.170277182952,634.0,482.0,R03
S-010,IU-010,image-9b12324f8cd32a92caba15eabd577062ebfa7dca,82b95afb9e,16432.397885303344,2844.1438758651957,750.0,294.0,R03
S-011,IU-011,image-590e9e32a02cd3c950c28a5ebbd9f7f8deecf709,29ee2062a8,16470.3979463385,3146.477234629844,858.0,195.0,R03
S-012,IU-012,image-5ea9bed8b837f0cda911907b4fdd9887db4f37a3,04869138a4,17549.389951666737,2942.743239779309,515.0,463.0,R03
S-013,IU-013,image-f97abc954ebf5d581a5eb5b67976123e2759e54b,8c8fc54aca,17473.54888821753,3693.1407648667246,829.0,369.0,R03
S-014,IU-014,image-8b554fce01cd421dba2deb961c14c6b4d111c56b,820271d3e8,17464.241720470724,4080.928942356962,745.0,482.0,R03
S-015,IU-015,image-de7312f3f67acbad838594407ddae03f23f06984,90f95ed56b,17457.54878649227,4565.585192356966,821.0,473.0,R03
S-016,IU-016,image-ba072fb9a14fffda66e2652db08bb8f69871d914,0f3649aa3f,17469.252518452988,3502.622257651017,745.0,193.0,R03
S-017,IU-017,image-11c3b6dbe76fdc528b99d6e49defa31f19248835,82a2e1f1bf,9857.56574227812,4444.638345595117,603.0,253.0,R02
S-018,IU-018,image-652871527684b8b47f736c9b91089b24850e63fd,b3c5013169,19871.435494001875,3115.50687240773,877.0,248.0,R04
S-019,IU-019,image-f97abc954ebf5d581a5eb5b67976123e2759e54b,8c8fc54aca,20775.368790222827,4709.456525285786,829.0,369.0,R04
S-020,IU-020,image-8b554fce01cd421dba2deb961c14c6b4d111c56b,820271d3e8,20766.061622476023,5097.244702776024,745.0,482.0,R04
S-021,IU-021,image-de7312f3f67acbad838594407ddae03f23f06984,90f95ed56b,20759.36868849757,5581.900952776027,821.0,473.0,R04
S-022,IU-022,image-ba072fb9a14fffda66e2652db08bb8f69871d914,0f3649aa3f,20771.072420458288,4518.938018070078,745.0,193.0,R04
S-023,IU-023,image-5ea9bed8b837f0cda911907b4fdd9887db4f37a3,04869138a4,20772.79512779555,6375.139209666381,515.0,463.0,R04
S-024,IU-024,image-9b12324f8cd32a92caba15eabd577062ebfa7dca,82b95afb9e,20726.205853216816,3941.9850465398636,750.0,294.0,R04
S-025,IU-025,image-590e9e32a02cd3c950c28a5ebbd9f7f8deecf709,29ee2062a8,20701.052605300618,4253.029168726812,858.0,195.0,R04
