label_id,text,x,y,font_size,fill
L-001,!!!,4042.496,3871.088,126.43401646837597px,#d3d3d3
L-002,in controller,1466.28,5532.813,152.10255784254792px,#d3d3d3
L-003,using Microsoft.Net.Http.Headers;,10.0,562.233,20px,#d3d3d3
L-004,using Microsoft.Extensions.Primitives;,10.0,587.233,20px,#d3d3d3
L-005,public static class AcceptHeaderSelectionHelper,10.0,637.233,20px,#d3d3d3
L-006,{,10.0,662.233,20px,#d3d3d3
L-007,// Define server preference order (first = most preferred when q ties),10.0,687.233,20px,#d3d3d3
L-008,// Put the variants you support here in the exact preference order you want.,10.0,712.233,20px,#d3d3d3
L-009,private static readonly string[] SupportedByPreference =,10.0,737.233,20px,#d3d3d3
L-010,{,10.0,762.233,20px,#d3d3d3
L-011,"""application/vnd.marvin.author.full.hateoas+json"",",10.0,787.233,20px,#d3d3d3
L-012,"""application/vnd.marvin.author.full+json"",",10.0,812.233,20px,#d3d3d3
L-013,"""application/vnd.marvin.author.friendly.hateoas+json"",",10.0,837.233,20px,#d3d3d3
L-014,"""application/vnd.marvin.author.friendly+json"",",10.0,862.233,20px,#d3d3d3
L-015,"""application/json"",",10.0,887.233,20px,#d3d3d3
L-016,"""application/*"",",10.0,912.233,20px,#d3d3d3
L-017,"""*/*""",10.0,937.233,20px,#d3d3d3
L-018,};,10.0,962.233,20px,#d3d3d3
L-019,public sealed record NegotiationResult(,10.0,1012.233,20px,#d3d3d3
L-020,"string MediaType,",10.0,1037.233,20px,#d3d3d3
L-021,"string PrimaryMediaType,  // e.g. vnd.marvin.author.full / vnd.marvin.author.friendly / application",10.0,1062.233,20px,#d3d3d3
L-022,bool IncludeLinks          // true if hateoas requested,10.0,1087.233,20px,#d3d3d3
L-023,);,10.0,1112.233,20px,#d3d3d3
L-024,/// <summary>,10.0,1162.233,20px,#d3d3d3
L-025,/// Picks the best matching media type from Accept header using:,10.0,1187.233,20px,#d3d3d3
L-026,/// 1) q weight (descending),10.0,1212.233,20px,#d3d3d3
L-027,/// 2) specificity (exact > type/* > */*),10.0,1237.233,20px,#d3d3d3
L-028,/// 3) server preference order (SupportedByPreference),10.0,1262.233,20px,#d3d3d3
L-029,/// 4) header order as a final tie-breaker (stable by index),10.0,1287.233,20px,#d3d3d3
L-030,/// </summary>,10.0,1312.233,20px,#d3d3d3
L-031,public static bool TrySelect(,10.0,1337.233,20px,#d3d3d3
L-032,"StringValues acceptHeader,",10.0,1362.233,20px,#d3d3d3
L-033,out NegotiationResult? result),10.0,1387.233,20px,#d3d3d3
L-034,{,10.0,1412.233,20px,#d3d3d3
L-035,result = null;,10.0,1437.233,20px,#d3d3d3
L-036,// Missing Accept => treat as */* (client accepts anything),10.0,1487.233,20px,#d3d3d3
L-037,if (StringValues.IsNullOrEmpty(acceptHeader)),10.0,1512.233,20px,#d3d3d3
L-038,{,10.0,1537.233,20px,#d3d3d3
L-039,// choose your default representation here,10.0,1562.233,20px,#d3d3d3
L-040,"var defaultMt = ""application/vnd.marvin.author.friendly+json"";",10.0,1587.233,20px,#d3d3d3
L-041,result = BuildResult(defaultMt);,10.0,1612.233,20px,#d3d3d3
L-042,return true;,10.0,1637.233,20px,#d3d3d3
L-043,},10.0,1662.233,20px,#d3d3d3
L-044,"if (!MediaTypeHeaderValue.TryParseList(acceptHeader, out var parsedList))",10.0,1712.233,20px,#d3d3d3
L-045,{,10.0,1737.233,20px,#d3d3d3
L-046,return false; // invalid syntax -> caller should return 400 ProblemDetails,10.0,1762.233,20px,#d3d3d3
L-047,},10.0,1787.233,20px,#d3d3d3
L-048,// Build candidates from Accept values,10.0,1837.233,20px,#d3d3d3
L-049,var candidates = parsedList,10.0,1862.233,20px,#d3d3d3
L-050,".Select((mt, index) => new Candidate(mt, index))",10.0,1887.233,20px,#d3d3d3
L-051,".Where(c => c.Q > 0) // q=0 means ""not acceptable""",10.0,1912.233,20px,#d3d3d3
L-052,.ToList();,10.0,1937.233,20px,#d3d3d3
L-053,if (candidates.Count == 0),10.0,1987.233,20px,#d3d3d3
L-054,{,10.0,2012.233,20px,#d3d3d3
L-055,return false;,10.0,2037.233,20px,#d3d3d3
L-056,},10.0,2062.233,20px,#d3d3d3
L-057,"// For each Accept candidate, find best supported match based on:",10.0,2112.233,20px,#d3d3d3
L-058,// - exact match in SupportedByPreference,10.0,2137.233,20px,#d3d3d3
L-059,"// - or ""application/*"" / ""*/*"" wildcard",10.0,2162.233,20px,#d3d3d3
L-060,var supportedMatches = new List<SupportedMatch>();,10.0,2187.233,20px,#d3d3d3
L-061,foreach (var c in candidates),10.0,2237.233,20px,#d3d3d3
L-062,{,10.0,2262.233,20px,#d3d3d3
L-063,foreach (var supported in SupportedByPreference),10.0,2287.233,20px,#d3d3d3
L-064,{,10.0,2312.233,20px,#d3d3d3
L-065,"if (Matches(c, supported))",10.0,2337.233,20px,#d3d3d3
L-066,{,10.0,2362.233,20px,#d3d3d3
L-067,supportedMatches.Add(new SupportedMatch(,10.0,2387.233,20px,#d3d3d3
L-068,"supportedMediaType: Normalize(supported),",10.0,2412.233,20px,#d3d3d3
L-069,"q: c.Q,",10.0,2437.233,20px,#d3d3d3
L-070,"specificity: c.Specificity,",10.0,2462.233,20px,#d3d3d3
L-071,"supportedPreferenceRank: Array.IndexOf(SupportedByPreference, supported),",10.0,2487.233,20px,#d3d3d3
L-072,acceptHeaderIndex: c.Index));,10.0,2512.233,20px,#d3d3d3
L-073,},10.0,2537.233,20px,#d3d3d3
L-074,},10.0,2562.233,20px,#d3d3d3
L-075,},10.0,2587.233,20px,#d3d3d3
L-076,if (supportedMatches.Count == 0),10.0,2637.233,20px,#d3d3d3
L-077,{,10.0,2662.233,20px,#d3d3d3
L-078,// No overlap between Accept and what we can produce -> 406 scenario,10.0,2687.233,20px,#d3d3d3
L-079,return false;,10.0,2712.233,20px,#d3d3d3
L-080,},10.0,2737.233,20px,#d3d3d3
L-081,var winner = supportedMatches,10.0,2787.233,20px,#d3d3d3
L-082,.OrderByDescending(m => m.Q),10.0,2812.233,20px,#d3d3d3
L-083,.ThenByDescending(m => m.Specificity),10.0,2837.233,20px,#d3d3d3
L-084,.ThenBy(m => m.SupportedPreferenceRank),10.0,2862.233,20px,#d3d3d3
L-085,.ThenBy(m => m.AcceptHeaderIndex),10.0,2887.233,20px,#d3d3d3
L-086,.First();,10.0,2912.233,20px,#d3d3d3
L-087,result = BuildResult(winner.SupportedMediaType);,10.0,2962.233,20px,#d3d3d3
L-088,return true;,10.0,2987.233,20px,#d3d3d3
L-089,},10.0,3012.233,20px,#d3d3d3
L-090,private static NegotiationResult BuildResult(string mediaType),10.0,3062.233,20px,#d3d3d3
L-091,{,10.0,3087.233,20px,#d3d3d3
L-092,"// your course logic: include links if subtype ends with ""hateoas""",10.0,3112.233,20px,#d3d3d3
L-093,"var includeLinks = mediaType.Contains(""hateoas"", StringComparison.OrdinalIgnoreCase);",10.0,3137.233,20px,#d3d3d3
L-094,"// derive ""primary"" type similar to course:",10.0,3187.233,20px,#d3d3d3
L-095,// application/vnd.marvin.author.full.hateoas+json -> vnd.marvin.author.full,10.0,3212.233,20px,#d3d3d3
L-096,// application/vnd.marvin.author.friendly+json -> vnd.marvin.author.friendly,10.0,3237.233,20px,#d3d3d3
L-097,// application/json -> application,10.0,3262.233,20px,#d3d3d3
L-098,var parsed = MediaTypeHeaderValue.Parse(mediaType);,10.0,3287.233,20px,#d3d3d3
L-099,var subType = parsed.SubTypeWithoutSuffix.Value; // e.g. vnd.marvin.author.full.hateoas or json,10.0,3312.233,20px,#d3d3d3
L-100,"var primary = subType.EndsWith("".hateoas"", StringComparison.OrdinalIgnoreCase)",10.0,3337.233,20px,#d3d3d3
L-101,"? subType[..^("".hateoas"".Length)]",10.0,3362.233,20px,#d3d3d3
L-102,: subType;,10.0,3387.233,20px,#d3d3d3
L-103,"return new NegotiationResult(mediaType, primary, includeLinks);",10.0,3437.233,20px,#d3d3d3
L-104,},10.0,3462.233,20px,#d3d3d3
L-105,private static string Normalize(string mediaType) => mediaType.Trim();,10.0,3512.233,20px,#d3d3d3
L-106,"private sealed record Candidate(MediaTypeHeaderValue Value, int Index)",10.0,3562.233,20px,#d3d3d3
L-107,{,10.0,3587.233,20px,#d3d3d3
