source_id,image_use,symbol_id,file_sha,x,y,width,height,candidate_region,status,notes
S-001,IU-001,image-d98c1b826119698ffdd2979d8c5fd62cfda9455c,4d9012fa6b,3097.048566499114,322.3265598430662,937.0,459.0,R02,pending-transcript,
S-002,IU-002,image-54c0b126d77e84723d76bffcb3718c4f0516ac96,7644e1ff20,3074.3147587433377,804.00374490166,762.0,482.0,R02,pending-transcript,
S-003,IU-003,image-0539666a80b6d3f099362b3031e52ef4f98019ec,32b763f631,3065.60581840751,1299.9622135611617,760.0,430.0,R02,pending-transcript,
S-004,IU-004,image-8c818eb589a362ad666c9adec23ef7283db0f69e,d1b62c3e5b,2982.8819579611663,1766.278980758936,912.0,423.0,R02,pending-transcript,
S-005,IU-005,image-eae02f521a8b68657d6bd81f5d472c090eb36d33,2b47ce4ba5,2989.9533865325957,2230.6361236160737,955.0,300.0,R02,pending-transcript,
S-006,IU-006,image-91bc1924b5d6ae7d6c9c0cc8cd68de20f394f0d2,26f93c80e9,3011.0661696157604,2603.7313907756616,669.0,430.0,R03,pending-transcript,
S-007,IU-007,image-43c5ec660236d029b0440e805f9bdcf6d58742ad,257dc42fac,2921.8818707680866,3074.302775750548,954.0,226.0,R03,pending-transcript,
S-008,IU-008,image-def4f5f01cdfe227de1e0f73627d1d8cea57349c,b73eec8fad,2890.500976515854,3331.94563289341,912.0,185.0,R03,pending-transcript,
S-009,IU-009,image-0e7ef7e09e640c44449a823f2ae85f2589e86941,b97e4648ae,2931.273215962551,3587.540856456464,665.0,430.0,R03,pending-transcript,
S-010,IU-010,image-114d1451f256712b418a02a6f0ddaebdb2622796,7790d24cd4,2876.262852213398,4095.3504093303345,950.0,182.0,R03,pending-transcript,
S-011,IU-011,image-983427f2c608f8c7a557993fa4339131f26a08a9,c0dcc3072f,2789.21526223014,4317.183713599312,926.0,245.0,R03,pending-transcript,
S-012,IU-012,image-ced5e010f1bc6b5776beb8b629135c62681d8c8a,cc83951a57,1155.4187904100272,1154.3467932301937,931.0,470.0,R01,pending-transcript,
S-013,IU-013,image-79070d6048d4bc1545b4607a421b90a691b8b809,9eb4f41737,1147.8362906073125,1642.4023302902424,1003.0,445.0,R01,pending-transcript,
S-014,IU-014,image-f8a878f23b7b7baedc4d7b702a7aee9a9c9f33bf,c6776b8168,1146.9878797408346,2118.5993184827166,995.0,312.0,R01,pending-transcript,
S-015,IU-015,image-00a8ddd0dc7feb11c4c47bdb300d1d4a85d323d4,995a7197b3,10.0,1187.952195228661,955.0,446.0,R01,pending-transcript,
