source_id,region_file,near_literal_transcript,code_or_concrete_example_preserved,recall_questions,status
S-001,R01-query-filter-basics-and-multiple-filters.md,yes,yes,yes,complete
S-002,R01-query-filter-basics-and-multiple-filters.md,yes,yes,yes,complete
S-003,R01-query-filter-basics-and-multiple-filters.md,yes,yes,yes,complete
S-004,R01-query-filter-basics-and-multiple-filters.md,yes,yes,yes,complete
S-005,R01-query-filter-basics-and-multiple-filters.md,yes,yes,yes,complete
S-006,R02-required-navigation-inner-join-data-loss.md,yes,yes,yes,complete
S-007,R02-required-navigation-inner-join-data-loss.md,yes,yes,yes,complete
S-008,R02-required-navigation-inner-join-data-loss.md,yes,yes,yes,complete
S-009,R02-required-navigation-inner-join-data-loss.md,yes,yes,yes,complete
S-010,R03-multitenancy-pooling-and-mitigation.md,yes,yes,yes,complete
S-011,R03-multitenancy-pooling-and-mitigation.md,yes,yes,yes,complete
S-012,R03-multitenancy-pooling-and-mitigation.md,yes,yes,yes,complete
S-013,R03-multitenancy-pooling-and-mitigation.md,yes,yes,yes,complete
S-014,R03-multitenancy-pooling-and-mitigation.md,yes,yes,yes,complete
S-015,R03-multitenancy-pooling-and-mitigation.md,yes,yes,yes,complete
