source_id,image_use,file_sha,x,y,width,height,candidate_region,status,notes
S-007,IU-007,4ff0f39eb3,1149.300122801871,206.4890025764371,696.0,482.0,R01,verified-semantic-transcript,closed in stage1 final coverage v001
S-002,IU-002,dd56f17a83,10.0,206.90042419465044,724.0,482.0,R01,verified-semantic-transcript,closed in stage1 final coverage v001
S-011,IU-011,3cf9883d3c,2376.0894346658356,314.8536809816187,822.0,419.0,R01,verified-semantic-transcript,closed in stage1 final coverage v001
S-010,IU-010,dd2c00fa79,2392.741485902295,787.7252435142316,714.0,482.0,R01,verified-semantic-transcript,closed in stage1 final coverage v001
S-006,IU-006,e5ec724dad,1174.1398919302576,862.3779166289071,790.0,482.0,R02,verified-semantic-transcript,closed in stage1 final coverage v001
S-009,IU-009,4f22ade365,2391.8825778918535,1268.4559447530964,803.0,482.0,R02,verified-semantic-transcript,closed in stage1 final coverage v001
S-005,IU-005,e3906ca147,1180.3126719756287,1473.3514817078758,959.0,355.0,R02,verified-semantic-transcript,closed in stage1 final coverage v001
S-008,IU-008,18b71e4641,2410.889563427685,1744.2234414978857,836.0,233.0,R02,verified-semantic-transcript,closed in stage1 final coverage v001
S-001,IU-001,d9edaa46ca,1190.8390557669525,1815.6033338121706,833.0,351.0,R02,verified-semantic-transcript,closed in stage1 final coverage v001
S-004,IU-004,11bb9dc184,1235.0858190686404,2392.4508004812324,836.0,295.0,R03,verified-semantic-transcript,closed in stage1 final coverage v001
S-003,IU-003,bb462d4eb9,1243.3635968464177,2692.72851044217,855.0,290.0,R03,verified-semantic-transcript,closed in stage1 final coverage v001
