image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,"GetRange, Skip/Take, range syntax and mutation operations",processed,6c90789e4b42,image-d0489a01b7eaab74a95ec7f956b8e67ddc6e0719,151.85534397332492,10.0,820.0,440.0,971,521,source/images/6c90789e4b42.png
S-002,R01,"GetRange, Skip/Take, range syntax and mutation operations",processed,09bcc7c5bd3c,image-5c4842a94000ba6f16dd4ddfdeb1aaf4c6216a91,132.43028729893786,498.2241727360274,933.0,440.0,969,457,source/images/09bcc7c5bd3c.png
S-003,R01,"GetRange, Skip/Take, range syntax and mutation operations",processed,f32f1cf7bcea,image-e3f19830500975f583df3d72e01a25f9927c1950,173.14888474931547,1037.1222720152991,975.0,605.0,1030,639,source/images/f32f1cf7bcea.png
S-004,R01,"GetRange, Skip/Take, range syntax and mutation operations",processed,9bc1e3d4c92f,image-e336705b72c6f4a4e7d6433c65309b9a5b884d6e,111.9169612284594,1698.7239842608035,880.0,541.0,1058,650,source/images/9bc1e3d4c92f.png
S-005,R01,"GetRange, Skip/Take, range syntax and mutation operations",processed,dd3ea15a9f51,image-bcf08327b93a521cdc78de766373b7699362012f,241.44935546629188,2254.99753019209,756.0,482.0,1012,646,source/images/dd3ea15a9f51.png
S-006,R02,index-safe clamping and non-throwing range behavior,processed,3e4587505de6,image-6360eddaff371aa3c710da107ebbc3f84de70d57,154.84809100138796,2850.663109237084,1009.0,349.0,1009,349,source/images/3e4587505de6.png
S-007,R02,index-safe clamping and non-throwing range behavior,processed,7ded1abb6c0a,image-56b8d60eb8b368beb3b6e7f2f4b2339b320571e8,152.46791948092357,3336.016508465243,1086.0,345.0,1086,345,source/images/7ded1abb6c0a.png
S-008,R02,index-safe clamping and non-throwing range behavior,processed,c6e30a451b68,image-93f821e6e282a8100955fd36d85de6e35c5e8fe5,240.7653765949509,3724.066635239511,758.0,354.0,1006,470,source/images/c6e30a451b68.png
S-009,R02,index-safe clamping and non-throwing range behavior,processed,8febe821576a,image-a561382b566adf123a3769ea08636f9d213a33c6,212.05385326618398,4164.303248604189,697.0,321.0,697,321,source/images/8febe821576a.png
S-010,R02,index-safe clamping and non-throwing range behavior,processed,0377c7e7e237,image-6e7d852eea0c0dd9413d37a55054c88cf4417e5a,173.5022916780282,5239.662424876618,767.0,482.0,1011,636,source/images/0377c7e7e237.png
S-011,R02,index-safe clamping and non-throwing range behavior,processed,4354a94c3d0d,image-a0debcacfb259af99881a99b953045d14d4eab31,161.61703828442649,5788.853963936133,759.0,482.0,1013,644,source/images/4354a94c3d0d.png
S-012,R02,index-safe clamping and non-throwing range behavior,processed,4aff1e2a5511,image-9a9dbca7453b4d113fa5672b4cf2b763c725e83a,110.00502011263336,6397.964567088101,839.0,482.0,999,574,source/images/4aff1e2a5511.png
S-013,R03,"enumeration, chunks and sliding windows",processed,1cf69c71b2f1,image-69f66143f661930a1148aa6c491083374ba108ad,90.84968440853993,6981.442472453236,711.0,482.0,992,673,source/images/1cf69c71b2f1.png
S-014,R03,"enumeration, chunks and sliding windows",processed,db9fcf12e79a,image-1fae24f664b6dcb67a557f6e9b3f15d9e54d6ea5,10.0,7576.79796749253,1026.0,467.0,1026,467,source/images/db9fcf12e79a.png
S-015,R03,"enumeration, chunks and sliding windows",processed,e97571bd551d,image-a393bf1f1846b6270639d0347f2fc4f960226553,158.86680193203267,8108.907311559577,677.0,482.0,1029,733,source/images/e97571bd551d.png
S-016,R04,performance notes and operation selection,processed,731cbad281c8,image-f8c8433635b83d419d16341f25d33ef662e7037d,177.36569141144741,8937.752744340469,670.0,392.0,945,553,source/images/731cbad281c8.png
S-017,R04,performance notes and operation selection,processed,5a3d4ea944fd,image-44ab60a2feed5c15e5e2bec987898ca9240a2c53,206.86229822338737,9426.351571687966,527.0,392.0,872,648,source/images/5a3d4ea944fd.png
S-018,R04,performance notes and operation selection,processed,690003dd9bd8,image-7ffbdccee87ef95680969f6592abf9f0eecd0a1c,214.46952421750393,9894.669726796637,527.0,360.0,902,615,source/images/690003dd9bd8.png
