source_id,stage0_group,stage1_region,decision,status,reason,notes
S-013,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,included-in-rawconn-r02-stage1-v001,verified-visible-semantic-transcript,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-014,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,included-in-rawconn-r02-stage1-v001,verified-visible-semantic-transcript,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-015,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,included-in-rawconn-r02-stage1-v001,verified-visible-semantic-transcript,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-016,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,included-in-rawconn-r02-stage1-v001,verified-visible-semantic-transcript,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-017,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,included-in-rawconn-r02-stage1-v001,verified-visible-semantic-transcript,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-018,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,included-in-rawconn-r02-stage1-v001,verified-visible-semantic-transcript,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-019,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,included-in-rawconn-r02-stage1-v001,verified-visible-semantic-transcript,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-020,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,included-in-rawconn-r02-stage1-v001,verified-visible-semantic-transcript,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-021,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,included-in-rawconn-r02-stage1-v001,verified-visible-semantic-transcript,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-022,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,included-in-rawconn-r02-stage1-v001,verified-visible-semantic-transcript,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-023,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,included-in-rawconn-r02-stage1-v001,verified-visible-semantic-transcript,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-024,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,included-in-rawconn-r02-stage1-v001,verified-visible-semantic-transcript,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Included after Stage0 candidate split and Stage1 source-level semantic review.
