source_id,stage0_group,stage1_region,decision,status,reason,notes
S-001,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,included-in-rawconn-r01-stage1-v001,verified-visible-semantic-transcript,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-002,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,included-in-rawconn-r01-stage1-v001,verified-visible-semantic-transcript,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-003,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,included-in-rawconn-r01-stage1-v001,verified-visible-semantic-transcript,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-004,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,included-in-rawconn-r01-stage1-v001,verified-visible-semantic-transcript,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-005,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,included-in-rawconn-r01-stage1-v001,verified-visible-semantic-transcript,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-006,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,included-in-rawconn-r01-stage1-v001,verified-visible-semantic-transcript,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-007,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,included-in-rawconn-r01-stage1-v001,verified-visible-semantic-transcript,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-008,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,included-in-rawconn-r01-stage1-v001,verified-visible-semantic-transcript,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-009,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,included-in-rawconn-r01-stage1-v001,verified-visible-semantic-transcript,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-010,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,included-in-rawconn-r01-stage1-v001,verified-visible-semantic-transcript,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-011,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,included-in-rawconn-r01-stage1-v001,verified-visible-semantic-transcript,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-012,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,included-in-rawconn-r01-stage1-v001,verified-visible-semantic-transcript,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Included after Stage0 candidate split and Stage1 source-level semantic review.
