image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,"React Query observers, query subscriptions, token-cache rerenders and components that do or do not update",processed,6ae9cd34e85f,image-e273f32ad3ceb8e507868380bb83c6de50a92741,10.0,277.22997175649834,995.0,340.0,995,340,source/images/6ae9cd34e85f.png
S-002,R02,"singleton QueryClient, getQueryData/setQueryData outside React, token helpers, refresh and fetch wrappers",processed,771caac23b47,image-b580737a47af3e7e5a1500053f9c60d83b7a0aef,2041.1033201847904,430.29803055249977,891.0,482.0,977,529,source/images/771caac23b47.png
S-003,R01,"React Query observers, query subscriptions, token-cache rerenders and components that do or do not update",processed,8ffff9582ca0,image-47be1f6cf449dceb423a2a5e28d361b90a3a7096,112.77446732594535,653.4812195863615,822.0,482.0,934,548,source/images/8ffff9582ca0.png
S-004,R02,"singleton QueryClient, getQueryData/setQueryData outside React, token helpers, refresh and fetch wrappers",processed,af97b6837875,image-3750158eb4329cc262b62bc76c9d3920f59c7078,1996.7864450883853,905.3986571801051,1012.0,261.0,1012,261,source/images/af97b6837875.png
S-005,R01,"React Query observers, query subscriptions, token-cache rerenders and components that do or do not update",processed,de3845d9bc64,image-4e17aa9f0eb30e0038547d83c638c98c16bb26c1,133.79324658785026,1142.37014238367,765.0,482.0,917,578,source/images/de3845d9bc64.png
S-006,R02,"singleton QueryClient, getQueryData/setQueryData outside React, token helpers, refresh and fetch wrappers",processed,8df85fbdba47,image-bf935a71a8ab3b207f075a296ddef9fe30eee0c1,2052.9529761213716,1186.25059945441,953.0,443.0,953,443,source/images/8df85fbdba47.png
S-007,R01,"React Query observers, query subscriptions, token-cache rerenders and components that do or do not update",processed,0d3c78066523,image-58edaf7ca213e772b902beb8adb7c0471da752ca,170.6585557725689,1612.6374744304176,694.0,404.0,694,404,source/images/0d3c78066523.png
S-008,R02,"singleton QueryClient, getQueryData/setQueryData outside React, token helpers, refresh and fetch wrappers",processed,0d113368b431,image-8ef42118fc31db0f2d72848d713260a3b8cf894e,2120.9027567538246,1639.8603902068626,785.0,482.0,845,519,source/images/0d113368b431.png
S-009,R01,"React Query observers, query subscriptions, token-cache rerenders and components that do or do not update",processed,1ed66c660d5f,image-fa38b698268092609656a2948bbdbc742e844ddc,123.51569862971155,2042.6613130185851,914.0,443.0,914,443,source/images/1ed66c660d5f.png
S-010,R02,"singleton QueryClient, getQueryData/setQueryData outside React, token helpers, refresh and fetch wrappers",processed,4d53abae173a,image-c3bfad0cb56b75d5c8200e57a063888edcdec660,2080.6081569052144,2150.1833359378925,923.0,475.0,923,475,source/images/4d53abae173a.png
S-011,R01,"React Query observers, query subscriptions, token-cache rerenders and components that do or do not update",processed,ee5f4d75492a,image-f578b03792a5ce962bfc90af78aaae2accd06518,168.97520546585247,2487.290748239948,802.0,482.0,950,571,source/images/ee5f4d75492a.png
S-012,R02,"singleton QueryClient, getQueryData/setQueryData outside React, token helpers, refresh and fetch wrappers",processed,d12172375f88,image-c69757f66e92add817802491e828510fd4fa5270,2128.7128019355555,2652.4160089773995,838.0,482.0,957,551,source/images/d12172375f88.png
S-013,R01,"React Query observers, query subscriptions, token-cache rerenders and components that do or do not update",processed,f249e7dc0e8b,image-938f27b32147b0e0a8a4cf5e3f80b49aaf882282,168.97609843904866,2991.7247590635143,918.0,429.0,918,429,source/images/f249e7dc0e8b.png
S-014,R03,"login/logout cache updates, deduplicated refresh, shared QueryClient identity and authentication trade-offs",processed,42de23fd0d71,image-b43e725d8a85363e959d2d6d3d1e2288834fea47,2145.396382836049,3152.905571965681,951.0,348.0,951,348,source/images/42de23fd0d71.png
S-015,R03,"login/logout cache updates, deduplicated refresh, shared QueryClient identity and authentication trade-offs",processed,a09f1389fdca,image-81b3ad76eb2ed35082759cc36a64545cc61ba1a4,2201.332050845957,3521.749321965681,796.0,482.0,862,522,source/images/a09f1389fdca.png
S-016,R03,"login/logout cache updates, deduplicated refresh, shared QueryClient identity and authentication trade-offs",processed,e37ab327cff2,image-d79db17f8ca1518fc08309aa4799fd9af0c9592c,2196.2297568594863,4001.905571965681,908.0,314.0,908,314,source/images/e37ab327cff2.png
S-017,R03,"login/logout cache updates, deduplicated refresh, shared QueryClient identity and authentication trade-offs",processed,d60806bcb55a,image-55ecad1cfad1a756d4615d75a98f254b44afd7f9,2224.3965049063613,4305.238945989118,921.0,270.0,921,270,source/images/d60806bcb55a.png
S-018,R03,"login/logout cache updates, deduplicated refresh, shared QueryClient identity and authentication trade-offs",processed,13f858b3fcef,image-b0b97e5cd785a62ae336ba08e802ac73df31c123,2222.396626976674,4591.405449895368,1029.0,183.0,1029,183,source/images/13f858b3fcef.png
