source_id,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,is_processed,is_duplicate_use_record,pending_like,bad_placeholder_signal_found
S-001,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-002,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-003,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-004,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-005,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-006,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-007,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-008,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-009,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-010,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-011,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-012,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-013,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-014,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-015,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-016,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-017,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-018,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-019,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-020,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-021,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-022,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-023,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-024,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-025,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-026,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,yes,no,no,no
S-027,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,yes,no,no,no
S-028,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-029,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,yes,no,no,no
S-030,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-031,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-032,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,yes,no,no,no
S-033,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,yes,no,no,no
S-034,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-035,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,yes,no,no,no
S-036,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,yes,no,no,no
S-037,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,yes,no,no,no
S-038,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-039,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,yes,no,no,no
S-040,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,yes,no,no,no
S-041,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,yes,no,no,no
S-042,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,yes,no,no,no
S-043,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,yes,no,no,no
S-044,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-045,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,yes,no,no,no
S-046,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,yes,no,no,no
S-047,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,yes,no,no,no
S-048,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,yes,no,no,no
S-049,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-050,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,yes,no,no,no
S-051,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,yes,no,no,no
S-052,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,yes,no,no,no
S-053,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-054,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,yes,no,no,no
S-055,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,yes,no,no,no
S-056,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,yes,no,no,no
S-057,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,yes,no,no,no
S-058,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,yes,no,no,no
S-059,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,yes,no,no,no
S-060,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-061,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,yes,no,no,no
S-062,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-063,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-064,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,yes,no,no,no
S-065,processed-in-r03-v002-correction,R03,yes-for-r03-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-066,processed-in-r03-v002-correction,R03,yes-for-r03-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-067,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-068,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-069,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,yes,no,no,no
S-070,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-071,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
