image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R02,"render/commit/paint/effect lifecycle, valid external-sync use cases and dependency arrays",processed,adafd9b1642e,image-8ce9a0703f98be632e297b5966a129fc49a015b9,2474.688078802971,10.0,674.0,379.0,674,379,source/images/adafd9b1642e.png
S-002,R01,"effect timing, route/action cleanup and useEffect versus useLayoutEffect",processed,9249f3c0b73b,image-91c047eab63e88cb5e4adb9b65d1a58e18d65984,585.4364132016517,378.34972844682625,839.0,364.0,839,364,source/images/9249f3c0b73b.png
S-003,R02,"render/commit/paint/effect lifecycle, valid external-sync use cases and dependency arrays",processed,bce5076f8e06,image-2815c40b687188eb4a242559012a248dd5bd2ec5,2569.892310209129,478.70829010009766,502.0,376.0,849,636,source/images/bce5076f8e06.png
S-004,R01,"effect timing, route/action cleanup and useEffect versus useLayoutEffect",processed,4ebe18364aaa,image-f8a53e418610a182bcfcc0b0781a4b6d265469c3,639.2697872250892,784.1830414351075,726.0,283.0,726,283,source/images/4ebe18364aaa.png
S-005,R02,"render/commit/paint/effect lifecycle, valid external-sync use cases and dependency arrays",processed,85ef98bdee54,image-eed55a6295de4d82221b2a54129739b842233fe2,2542.3158745967444,885.5000305175781,579.0,301.0,1026,533,source/images/85ef98bdee54.png
S-006,R01,"effect timing, route/action cleanup and useEffect versus useLayoutEffect",processed,fba36d6520f4,image-aeee978f85c53b13e834ba0c6fca156e48e2d125,632.9364132016517,1155.5164764937012,1080.0,463.0,1080,463,source/images/fba36d6520f4.png
S-007,R02,"render/commit/paint/effect lifecycle, valid external-sync use cases and dependency arrays",processed,9cf11349365b,image-e74d415cee4728b52e02e7e4aef7e419d885e395,2435.223998343201,1215.3749694824219,705.0,376.0,978,522,source/images/9cf11349365b.png
S-008,R01,"effect timing, route/action cleanup and useEffect versus useLayoutEffect",processed,090400d4847a,image-a7c53f3e030afa28db3793b6917f3aff9cf30b6a,630.4365352719642,1684.8498505171387,1109.0,279.0,1109,279,source/images/090400d4847a.png
S-009,R02,"render/commit/paint/effect lifecycle, valid external-sync use cases and dependency arrays",processed,7cf688a6e6cd,image-72897a79f9ec8817ac16f760915cb1690e381ede,2435.3714442508176,1749.547205144709,669.0,482.0,891,642,source/images/7cf688a6e6cd.png
S-010,R01,"effect timing, route/action cleanup and useEffect versus useLayoutEffect",processed,e8147ed22305,image-040a756d676e5663bab9ebc1aafd919307c9051e,638.9364132016517,2022.8497894819825,1100.0,315.0,1100,315,source/images/e8147ed22305.png
S-011,R02,"render/commit/paint/effect lifecycle, valid external-sync use cases and dependency arrays",processed,5761f7d6e462,image-a10f5b3f45b168c035efcb597dc073949a30f556,2412.741937522675,2308.33510242809,741.0,482.0,956,622,source/images/5761f7d6e462.png
S-012,R01,"effect timing, route/action cleanup and useEffect versus useLayoutEffect",processed,b44b845b55ca,image-de7fd4c86b0e0549518b44975097a20ebdd2cc8b,751.918576270341,2456.989681244176,672.0,314.0,672,314,source/images/b44b845b55ca.png
S-013,R02,"render/commit/paint/effect lifecycle, valid external-sync use cases and dependency arrays",processed,fcd5299f3077,image-ae90abdc8cf8c66fa2b350877310552f9b01f047,2433.8112382363115,2864.69868330522,801.0,482.0,930,560,source/images/fcd5299f3077.png
S-014,R01,"effect timing, route/action cleanup and useEffect versus useLayoutEffect",processed,5893b10075aa,image-e00d1d2a7f3fb87823a74fc8eaca258822f09dfa,661.8691545577776,2937.1538036435168,953.0,482.0,1351,684,source/images/5893b10075aa.png
S-015,R04,"StrictMode, stale closures, cleanup rules and the mental checklist for effects",processed,7f839c8592d1,image-a7bc962cf038f0ce1dade32caa485474708144d7,2315.969349412245,3414.23373967951,1010.0,319.0,1010,319,source/images/7f839c8592d1.png
S-016,R03,"context provider design, stable setters/callbacks, route layout lifetime and component state preservation",processed,03f27f7eb10c,image-13dbe540b10d8f860faf66d331cdee4b6cf85249,429.9759578393605,3509.643405472353,1414.0,244.0,1414,244,source/images/03f27f7eb10c.png
S-017,R03,"context provider design, stable setters/callbacks, route layout lifetime and component state preservation",processed,0752a04bbbdf,image-c6044643b76f117d138bc7aa6ca03432d54b7c14,473.8163089921136,3823.214428199627,1157.0,482.0,1247,520,source/images/0752a04bbbdf.png
S-018,R04,"StrictMode, stale closures, cleanup rules and the mental checklist for effects",processed,85aa43d6e7ba,image-69b1a7c7120eea9784e853727f341ff6a26eabaf,2344.2201020337475,4034.7342586985233,959.0,482.0,1026,516,source/images/85aa43d6e7ba.png
S-019,R03,"context provider design, stable setters/callbacks, route layout lifetime and component state preservation",processed,a6a7b96355a2,image-b9bb7d4b2f0722c0d220a1865270de89618e0701,502.7222900390616,4473.519950029678,1019.0,365.0,1019,365,source/images/a6a7b96355a2.png
S-020,R04,"StrictMode, stale closures, cleanup rules and the mental checklist for effects",processed,939f333a1590,image-e779edc72e02445f01efd55dc7b71bde2ab59273,2359.996782726177,4534.22447246425,954.0,482.0,1171,592,source/images/939f333a1590.png
S-021,R04,"StrictMode, stale closures, cleanup rules and the mental checklist for effects",processed,b3ebb54a1c27,image-0e33663796f5d23026421f8135e21016b99d44a6,2407.068466241368,5230.566892989958,939.0,482.0,1073,551,source/images/b3ebb54a1c27.png
S-022,R04,"StrictMode, stale closures, cleanup rules and the mental checklist for effects",processed,abd128346554,image-b20e1d507e62e6ef24972513274cec39df88344a,2457.8989122400408,5804.592815492749,669.0,482.0,806,581,source/images/abd128346554.png
