use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status,transcript_file,authoritative_transcript
IU-001,image-aeee978f85c53b13e834ba0c6fca156e48e2d125,fba36d6520f4.png,fba36d6520f4,R02,632.9364132016517,1114.5001220703125,1080.0,463.0,1.0,,T-005|T-004|T-003,MESSAGE|THEN I NEED TO USE CONTEXT FUNC INSUDE USELAYOUT EFFECT TO GET RID OF ERROR|BUT IF I NEED THEM TO BE REMOVED ON SOME ACTION/ON NEXT RENDER/ON ROUTE CHANGE,closed,02-transcript-R02-useeffect-versus-uselayouteffect-and-clear-before-navigation.md,05-full-combined-final-transcript.md
IU-002,image-a7c53f3e030afa28db3793b6917f3aff9cf30b6a,090400d4847a.png,090400d4847a,R02,630.4365352719642,1643.83349609375,1109.0,279.0,1.0,,T-006|T-007|T-008,fucntion from usestate hook|never changes identity|so with this dep arr,closed,02-transcript-R02-useeffect-versus-uselayouteffect-and-clear-before-navigation.md,05-full-combined-final-transcript.md
IU-003,image-040a756d676e5663bab9ebc1aafd919307c9051e,e8147ed22305.png,e8147ed22305,R02,638.9364132016517,1981.8334350585938,1100.0,315.0,1.0,,T-006|T-007|T-008,fucntion from usestate hook|never changes identity|so with this dep arr,closed,02-transcript-R02-useeffect-versus-uselayouteffect-and-clear-before-navigation.md,05-full-combined-final-transcript.md
IU-004,image-91c047eab63e88cb5e4adb9b65d1a58e18d65984,9249f3c0b73b.png,9249f3c0b73b,R01,585.4364132016517,337.3333740234375,839.0,364.0,1.0,,T-005|T-004|T-003,MESSAGE|THEN I NEED TO USE CONTEXT FUNC INSUDE USELAYOUT EFFECT TO GET RID OF ERROR|BUT IF I NEED THEM TO BE REMOVED ON SOME ACTION/ON NEXT RENDER/ON ROUTE CHANGE,closed,01-transcript-R01-root-error-state-and-clearing-on-route-or-action.md,05-full-combined-final-transcript.md
IU-005,image-f8a53e418610a182bcfcc0b0781a4b6d265469c3,4ebe18364aaa.png,4ebe18364aaa,R01,639.2697872250892,743.1666870117188,726.0,283.0,1.0,,T-005|T-004|T-003,MESSAGE|THEN I NEED TO USE CONTEXT FUNC INSUDE USELAYOUT EFFECT TO GET RID OF ERROR|BUT IF I NEED THEM TO BE REMOVED ON SOME ACTION/ON NEXT RENDER/ON ROUTE CHANGE,closed,01-transcript-R01-root-error-state-and-clearing-on-route-or-action.md,05-full-combined-final-transcript.md
IU-006,image-de7fd4c86b0e0549518b44975097a20ebdd2cc8b,b44b845b55ca.png,b44b845b55ca,R02,751.918576270341,2415.9733268207874,672.0,314.0,1.0,,T-006|T-007|T-008,fucntion from usestate hook|never changes identity|so with this dep arr,closed,02-transcript-R02-useeffect-versus-uselayouteffect-and-clear-before-navigation.md,05-full-combined-final-transcript.md
IU-007,image-e00d1d2a7f3fb87823a74fc8eaca258822f09dfa,5893b10075aa.png,5893b10075aa,R03,661.8691545577776,2896.137449220128,953.0,482.0,1.0,,T-006|T-007|T-008,fucntion from usestate hook|never changes identity|so with this dep arr,closed,03-transcript-R03-context-api-stable-setters-and-dependency-arrays.md,05-full-combined-final-transcript.md
IU-008,image-13dbe540b10d8f860faf66d331cdee4b6cf85249,03f27f7eb10c.png,03f27f7eb10c,R03,429.9759578393605,3468.6270510489644,1414.0,244.0,1.0,,T-013|T-012|T-011,on every rerender|and i wont get useeffect exec|i dont have dep,closed,03-transcript-R03-context-api-stable-setters-and-dependency-arrays.md,05-full-combined-final-transcript.md
IU-009,image-c6044643b76f117d138bc7aa6ca03432d54b7c14,0752a04bbbdf.png,0752a04bbbdf,R03,473.8163089921136,3782.1980737762383,1157.0,482.0,1.0,,T-019|T-013|T-012,will have page content styles per page|on every rerender|and i wont get useeffect exec,closed,03-transcript-R03-context-api-stable-setters-and-dependency-arrays.md,05-full-combined-final-transcript.md
IU-010,image-b9bb7d4b2f0722c0d220a1865270de89618e0701,a6a7b96355a2.png,a6a7b96355a2,R04,502.7222900390616,4432.503595606289,1019.0,365.0,1.0,,T-019|T-018|T-017,will have page content styles per page|putting it into dep array|to avoid problems from,closed,04-transcript-R04-page-local-errors-and-page-specific-layout-styles.md,05-full-combined-final-transcript.md
