image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,"router setup, route tree, Outlet, index routes, links, navigation, params, location, loaders, actions and router-aware tests",processed,c818473afc4b,image-46d8d8f4a634d8f6ee3a03bf985bd6a9b77f817a,5665.50687937195,10.0,955.0,482.0,1022,516,source/images/c818473afc4b.png
S-002,R01,"router setup, route tree, Outlet, index routes, links, navigation, params, location, loaders, actions and router-aware tests",processed,8e854e00b520,image-98cb7e0bf05f1c38dbf32196d39a4bf9cb3a1e75,5716.626626653528,526.8373403172009,925.0,359.0,925,359,source/images/8e854e00b520.png
S-003,R01,"router setup, route tree, Outlet, index routes, links, navigation, params, location, loaders, actions and router-aware tests",processed,00f35328f2af,image-bffea2d47bf2728b8a9f322a9e5fca134b8ff3e8,5911.828495592456,944.1269680331316,692.0,354.0,946,484,source/images/00f35328f2af.png
S-004,R01,"router setup, route tree, Outlet, index routes, links, navigation, params, location, loaders, actions and router-aware tests",processed,81797e3f0d42,image-b4e1c7efec5fe29ff965bb580c71da5b39988c03,6987.383411375661,991.6967937986919,957.0,481.0,957,481,source/images/81797e3f0d42.png
S-005,R01,"router setup, route tree, Outlet, index routes, links, navigation, params, location, loaders, actions and router-aware tests",processed,68547fdb44b5,image-2881390abc7692e22b1b3cbaab53a33991bce334,5913.275899967113,1300.453948068709,743.0,354.0,938,447,source/images/68547fdb44b5.png
S-006,R01,"router setup, route tree, Outlet, index routes, links, navigation, params, location, loaders, actions and router-aware tests",processed,c4c0d05c010b,image-e1379b8117c1156205f6c62d17325366e604bb65,6989.527097829256,1483.8283535952796,923.0,482.0,989,517,source/images/c4c0d05c010b.png
S-007,R01,"router setup, route tree, Outlet, index routes, links, navigation, params, location, loaders, actions and router-aware tests",processed,491c251a13a3,image-fa63f0f00d39bc013f0cfb1bda6f93caddf64d82,4666.276789041955,1543.936713823321,843.0,388.0,946,436,source/images/491c251a13a3.png
S-008,R01,"router setup, route tree, Outlet, index routes, links, navigation, params, location, loaders, actions and router-aware tests",processed,fab9219e24ab,image-4c9bf46aa6f607abf9b66708808e2c7817b5b6c4,5903.965445257956,1658.6408456742793,954.0,400.0,954,400,source/images/fab9219e24ab.png
S-009,R01,"router setup, route tree, Outlet, index routes, links, navigation, params, location, loaders, actions and router-aware tests",processed,0e455dcb6483,image-02c132e67e8e34305b3c8b7061173cfab7accb94,4681.275395420199,1926.550931686521,940.0,301.0,940,301,source/images/0e455dcb6483.png
S-010,R01,"router setup, route tree, Outlet, index routes, links, navigation, params, location, loaders, actions and router-aware tests",processed,3623b04eaa0b,image-245c7034161335d5cadf51644c623e0677db3800,5984.86759011373,2063.5629522488452,755.0,482.0,917,586,source/images/3623b04eaa0b.png
