image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,use_count,status
image-7369711f87b63639856073b57896fd4254fafb1f,2738dca77e59.png,2738dca77e5919b420a3672fee8ffb8561a9bbfae4e7ca386dc2dfeacdb984c0,2738dca77e59,image/png,29493,1008,296,RGBA,1,extracted
image-fb7e3064ef9e88cad824cce7b49c3997c6ed52e6,59eed21da005.png,59eed21da0052fba16a0756e88801ba7adb00c2af79445694cde76f347ba3d8b,59eed21da005,image/png,32315,1018,301,RGBA,1,extracted
image-bc9d9c0ec9ff8e4ff0b869ee9d498ff3fcd21479,ed8218c5b4a4.png,ed8218c5b4a4b473145fd64362ef3bdac4fbe0ec1e39e0ebc5d1021a9a6808f9,ed8218c5b4a4,image/png,58391,915,610,RGBA,1,extracted
image-f89c8185d79670346f4e14b120868956d8027419,5b358ecbe2ae.png,5b358ecbe2aebbd3e7683b8dfbb4723f1ebcac0d1b4e1092f19721b1b465bf65,5b358ecbe2ae,image/png,29734,903,308,RGBA,1,extracted
image-3ca695127143fb33d260251f3b816ab0e750d414,898e5c362c36.png,898e5c362c36959d24255e1b3c7712cf77813de6d7c701533eb4bfc9b5bc9953,898e5c362c36,image/png,56272,993,607,RGBA,1,extracted
image-a8659696a68bd3ac274d23520439dc67ad6aa4e9,45b266e304c5.png,45b266e304c5b3effae85a89f71a510b05326788268d10ce4a70e6e827813e88,45b266e304c5,image/png,20928,809,267,RGBA,1,extracted
image-93246eec35d7a3a9acf22ce343ad0053b1e9df1c,c9c3c8ca0239.png,c9c3c8ca023988200735a83911cee62830d7311d83a3713058761d6367d5b3b4,c9c3c8ca0239,image/png,30332,941,325,RGBA,1,extracted
image-a3e771bdcc5f2c802cbd216a640629e1426342a2,b5a6fd8c6796.png,b5a6fd8c6796b8b9c09b1dce9ddb7baa606cd567a8259e4354e06c97307f3079,b5a6fd8c6796,image/png,34027,988,355,RGBA,1,extracted
image-e8c56948dab07d3cf594c3b9fa8675763f8a78b2,6a11745eadda.png,6a11745eaddacca694d5afc8c22b670612f2816b02579f5df7ff2ab0e443f715,6a11745eadda,image/png,27487,1039,315,RGBA,1,extracted
image-9f931f227dfe6b32483cade526986ad7beb3f0e4,16f2fd5f3d4f.png,16f2fd5f3d4f9d8a4b9c7f374e9848a9500ea21db5589ea8e58c277bedaa169b,16f2fd5f3d4f,image/png,46351,976,426,RGBA,1,extracted
image-9e8d549516099d04991cdcbea52b54986e78c146,b875a934290b.png,b875a934290b31b5cac54f380098143ce1009a401c8fc32222cf02080979c675,b875a934290b,image/png,44138,1012,449,RGBA,1,extracted
image-04369036fff395f8bed01fdde07fad328c799f59,5103ea3600b3.png,5103ea3600b34a5642639064944ab1faed7943e5e8c57b92c7d9e1d5a7a33792,5103ea3600b3,image/png,26402,1023,303,RGBA,1,extracted
image-49760cb94d5968b66986fec48db288a1ddb96c19,612b37cea550.png,612b37cea5507952ac0356683d928a2e1d91c771dce8b7053f0f8426519007ea,612b37cea550,image/png,40491,1008,431,RGBA,1,extracted
image-4ff08e98409d78ccc128d52a498819acd42088e9,e1eefa05fd07.png,e1eefa05fd0757b17e08ff36a0ac9bf1d59ce627cfb15055d5bc8c7abf938d44,e1eefa05fd07,image/png,32593,1002,399,RGBA,1,extracted
image-e37e6efdbaf00f8a6c8d8ba9b9578e018bcaf450,590a96bf1f35.png,590a96bf1f359733bc43daa725dbcd7a08380e055c9362a41528bb206470b1c0,590a96bf1f35,image/png,48306,1053,466,RGBA,1,extracted
image-77092c9c0528051524dafa02faf8527b5471e0bc,4bd65656ecde.png,4bd65656ecde179ef0effc01671496e2429818ae0eac417d2baec3826f753efe,4bd65656ecde,image/png,54868,1012,531,RGBA,1,extracted
image-7e8a80c0221c56e5055568667c845d60848bdf20,d28393302d66.png,d28393302d66f98182d444e7117fc6a518e38eac26bf6dce5c02b42ee6badeae,d28393302d66,image/png,48335,973,563,RGBA,1,extracted
