source_id,stage4o_candidate_group,closure_group,closure_decision,ledger_coverage_status,ledger_region,ledger_decision_is_final,ledger_must_recheck,expected_status,expected_region,closure_ok,notes
S-008,r02a-usequery-state-error-core-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-011,r02a-usequery-state-error-core-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-012,r02a-usequery-state-error-core-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-013,r02b-enabled-disabled-conditional-ui-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-016,r02a-usequery-state-error-core-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-017,r02a-usequery-state-error-core-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-018,r02a-usequery-state-error-core-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-020,r02a-usequery-state-error-core-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-021,r02a-usequery-state-error-core-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-022,r02a-usequery-state-error-core-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-023,r02a-usequery-state-error-core-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-024,r02a-usequery-state-error-core-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-025,r02a-usequery-state-error-core-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-026,r02b-enabled-disabled-conditional-ui-candidate,R02B,processed-in-r02b-v001,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,processed-in-r02b-v001,R02B,yes,Formal 36-row R02 candidate checklist item.
S-027,r02b-enabled-disabled-conditional-ui-candidate,R02B,processed-in-r02b-v001,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,processed-in-r02b-v001,R02B,yes,Formal 36-row R02 candidate checklist item.
S-030,r02a-usequery-state-error-core-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-032,r02b-enabled-disabled-conditional-ui-candidate,R02B,processed-in-r02b-v001,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,processed-in-r02b-v001,R02B,yes,Formal 36-row R02 candidate checklist item.
S-033,r02b-enabled-disabled-conditional-ui-candidate,R02B,processed-in-r02b-v001,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,processed-in-r02b-v001,R02B,yes,Formal 36-row R02 candidate checklist item.
S-034,r02a-usequery-state-error-core-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-036,r02a-usequery-state-error-core-candidate,R02A,processed-in-r02a-v002,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,processed-in-r02a-v002,R02A,yes,Formal 36-row R02 candidate checklist item.
S-037,r02b-enabled-disabled-conditional-ui-candidate,R02B,processed-in-r02b-v001,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,processed-in-r02b-v001,R02B,yes,Formal 36-row R02 candidate checklist item.
S-039,r02c-query-keys-manual-refetch-declarative-candidate,R02C,processed-in-r02c-v001,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,processed-in-r02c-v001,R02C,yes,Formal 36-row R02 candidate checklist item.
S-040,r02c-query-keys-manual-refetch-declarative-candidate,R02C,processed-in-r02c-v001,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,processed-in-r02c-v001,R02C,yes,Formal 36-row R02 candidate checklist item.
S-042,r02b-enabled-disabled-conditional-ui-candidate,R02B,processed-in-r02b-v001,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,processed-in-r02b-v001,R02B,yes,Formal 36-row R02 candidate checklist item.
S-043,r02c-query-keys-manual-refetch-declarative-candidate,R02C,processed-in-r02c-v001,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,processed-in-r02c-v001,R02C,yes,Formal 36-row R02 candidate checklist item.
S-045,r02c-query-keys-manual-refetch-declarative-candidate,R02C,processed-in-r02c-v001,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,processed-in-r02c-v001,R02C,yes,Formal 36-row R02 candidate checklist item.
S-047,r02b-enabled-disabled-conditional-ui-candidate,R02B,processed-in-r02b-v001,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,processed-in-r02b-v001,R02B,yes,Formal 36-row R02 candidate checklist item.
S-048,r02c-query-keys-manual-refetch-declarative-candidate,R02C,processed-in-r02c-v001,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,processed-in-r02c-v001,R02C,yes,Formal 36-row R02 candidate checklist item.
S-050,r02c-query-keys-manual-refetch-declarative-candidate,R02C,processed-in-r02c-v001,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,processed-in-r02c-v001,R02C,yes,Formal 36-row R02 candidate checklist item.
S-051,r02c-query-keys-manual-refetch-declarative-candidate,R02C,processed-in-r02c-v001,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,processed-in-r02c-v001,R02C,yes,Formal 36-row R02 candidate checklist item.
S-052,r02c-query-keys-manual-refetch-declarative-candidate,R02C,processed-in-r02c-v001,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,processed-in-r02c-v001,R02C,yes,Formal 36-row R02 candidate checklist item.
S-054,r02c-query-keys-manual-refetch-declarative-candidate,R02C,processed-in-r02c-v001,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,processed-in-r02c-v001,R02C,yes,Formal 36-row R02 candidate checklist item.
S-056,r02b-enabled-disabled-conditional-ui-candidate,R02B,processed-in-r02b-v001,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,processed-in-r02b-v001,R02B,yes,Formal 36-row R02 candidate checklist item.
S-057,r02c-query-keys-manual-refetch-declarative-candidate,R02C,processed-in-r02c-v001,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,processed-in-r02c-v001,R02C,yes,Formal 36-row R02 candidate checklist item.
S-061,r02c-query-keys-manual-refetch-declarative-candidate,R02C,processed-in-r02c-v001,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,processed-in-r02c-v001,R02C,yes,Formal 36-row R02 candidate checklist item.
S-062,r04-overlap-static-staleness-candidate,R04-overlap,reserved-for-r04,reserved-for-r04-from-r02,R04,no-until-r04-boundary-review,yes-for-r04,reserved-for-r04-from-r02,R04,yes,Formal 36-row R02 candidate checklist item.
