source_id,decision,candidate_type,reason
S-080,included-in-R05-v002,stage4d-included-source,included in R05 v001
S-083,included-in-R05-v002,stage4d-included-source,included in R05 v001
S-085,included-in-R05-v002,stage4d-included-source,included in R05 v001
S-093,included-in-R05-v002,stage4d-included-source,included in R05 v001
S-094,included-in-R05-v002,stage4d-included-source,included in R05 v001
S-101,included-in-R05-v002,stage4d-included-source,included in R05 v001
S-106,included-in-R05-v002,stage4d-included-source,included in R05 v001
S-108,included-in-R05-v002,stage4d-included-source,included in R05 v001
S-111,included-in-R05-v002,stage4d-included-source,included in R05 v001
S-112,included-in-R05-v002,stage4d-included-source,included in R05 v001
S-114,included-in-R05-v002,same-road-continuation,added in R05 v002 after boundary audit; same infinite-query road continuation
S-115,included-in-R05-v002,same-road-continuation,added in R05 v002 after boundary audit; same infinite-query road continuation
S-116,included-in-R05-v002,same-road-continuation,added in R05 v002 after boundary audit; same infinite-query road continuation
