region_id,region_name,image_uses,min_y,max_y,min_x,max_x
R01,React Query + browser/HTTP cache,3,498.43104093036527,1008.2538965618731,3573.11610422391,4836.123599551272
R02,"Query basics: statuses, keys, enabled, manual refetch",36,2016.5617070346489,6469.662792055427,7395.821188120934,13075.066350898487
R03,notifyOnChangeProps / select side notes,7,3861.354087906701,6226.120069712153,1940.7990406260435,3305.7955110835064
R04,Staleness / refetch / cache lifetime / rerenders,35,6513.796041745518,9417.34292095821,5131.231519670015,14138.172713030037
R05,Pagination / InfiniteQuery / keepPreviousData side area,10,7942.158535351358,9707.59742172133,125.70887981997656,3098.6744271367043
R06,Query composition: useQueries / dependent / combine,10,11213.332540089636,12716.657712877262,4644.591577176087,7048.454157006196
R07,Prefetch / initialData / placeholderData / useQueryClient,11,10598.507116696876,13389.00743951829,8190.964969219478,9455.15533674351
R08,QueryClient methods / filters / cache control,51,11147.546194142,15438.65510562135,10523.619221125697,18670.584358777203
R09,Offline / network mode / validation,16,14234.133102993736,15995.099249415642,3854.860929490691,7760.061756881887
R10,Mutations,22,16878.507886705953,19465.333673985133,6900.3469783098935,10603.074527341678
R11,Websockets / suspense / enabled,28,25233.43827417812,32437.44759588876,2681.7129892814883,5828.516683417747
R12,Offline persistence / hydration / pruning,69,25547.46653805233,31889.098458161745,8088.728238268339,16867.436571182974
R13,Cancellation / request cancellation / error handling,18,33102.811302679664,37272.07817783716,7127.509213693882,9762.832801923632
R14,Transitions / urgent vs non-urgent renders,8,36451.67316326513,37864.42325148757,2869.5811407308047,4282.582009615613
R15,Testing / MSW / global config / key factories,14,34751.1869032487,39443.06771030786,9627.400026523015,12043.273272488885
R16,Performance / select / structural sharing,18,38496.80491044135,41851.592952404615,11932.940142606072,15845.318964611755
R17,Step-by-step comparison / best practices summary,7,40131.45231948074,42676.76968412801,4025.798365336303,4120.902534242356
UNASSIGNED,Unassigned / outside current Stage 1 regions,174,1238.9665642696343,47257.47087189295,1326.2694501556816,14892.62160574707
